model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
rf,baseline_full,0,849,0.5211415328116157,0.9075647713006803,0.43550679229924516,0.44731149273436116,0.43153645274215924,
rf,baseline_full,1,845,0.5224913241838285,0.9709408556128098,0.39473847764614456,0.5214665915544974,0.3838018410708065,
rf,baseline_full,2,848,0.47342949184452454,0.9735041593685076,0.4624266697122841,0.4402670948339577,0.5134813139623293,
rf,baseline_full,3,849,0.46222572426221015,0.9272579594262882,0.5249622511585043,0.5228388898104327,0.5502076171216718,
rf,baseline_full,4,849,0.518764772804378,0.9310753568060719,0.48564363549920575,0.5054746472902056,0.5329010711860083,
rf,drop_G_race_phase,0,849,0.5149202962469532,0.9919358810307819,0.46246167106545444,0.4828290354291672,0.4530162567896969,
rf,drop_G_race_phase,1,845,0.49608641173005036,1.0021812703065054,0.41897038706856266,0.4896218850070403,0.39629141662934764,
rf,drop_G_race_phase,2,848,0.4406620651364145,1.036527988246407,0.42641802942049045,0.4093698206242247,0.4802346364242993,
rf,drop_G_race_phase,3,849,0.45464225535931446,0.9695869004561173,0.4871850782084233,0.4862307049743143,0.5296122345803842,
rf,drop_G_race_phase,4,849,0.4818623485961947,0.9747233015811582,0.45286016884504043,0.46287033316309945,0.49414119036808996,
rf,drop_G_strategy_history,0,849,0.5230511396195315,0.9095569959345079,0.4481024775267303,0.4594829470609521,0.4434182544649451,
rf,drop_G_strategy_history,1,845,0.514270406070377,0.9813278503890075,0.394548965279773,0.5237679798783367,0.38199458625665517,
rf,drop_G_strategy_history,2,848,0.4874439895545863,0.9619581782591722,0.44935706047419394,0.4299482574196726,0.5001292595341817,
rf,drop_G_strategy_history,3,849,0.47143441633653865,0.9280390572368123,0.5383963084664782,0.5352145779334292,0.5614563532187394,
rf,drop_G_strategy_history,4,849,0.5481632435796452,0.9253455070910065,0.5009093829540119,0.52438795079941,0.5502490840286892,
rf,drop_G_tyre_state,0,849,0.4499483178313697,1.0170131209520477,0.3560838323440934,0.37997782038207706,0.3641772221112495,
rf,drop_G_tyre_state,1,845,0.48216623912070855,1.0437684465912802,0.3402046728194895,0.4823060280802978,0.3275917002537692,
rf,drop_G_tyre_state,2,848,0.3934247834845899,1.0763219200926468,0.38853361457193203,0.37964307320024193,0.43339346283724767,
rf,drop_G_tyre_state,3,849,0.39567404026868386,1.0311014102622762,0.4250835875671163,0.42250684060707333,0.49749342770475224,
rf,drop_G_tyre_state,4,849,0.4408467431040088,1.0270345562229304,0.3975129393320803,0.4292957341820525,0.47402597541340386,
rf,drop_G_track_context,0,849,0.5039265028245731,0.9272379195309358,0.4341526727160603,0.4414138471212622,0.4311793180423524,
rf,drop_G_track_context,1,845,0.4920486957758456,1.0193073920438052,0.3962495135173786,0.4486416351493556,0.38322413295516744,
rf,drop_G_track_context,2,848,0.46616349721635303,1.0019900600114968,0.4457496465670908,0.42644950686816474,0.5033448369790424,
rf,drop_G_track_context,3,849,0.44790552453502264,0.9424709890631922,0.503754847825403,0.5052494120703533,0.5113847320525784,
rf,drop_G_track_context,4,849,0.4985633758874738,0.9734671434604462,0.45199544280196335,0.4784566145764818,0.47982769729427144,
rf,drop_G_race_control_weather,0,849,0.4874974198592844,0.922114511998909,0.38774589721239033,0.4351464310499784,0.3981232439603727,
rf,drop_G_race_control_weather,1,845,0.5096802694257598,0.9833536316520272,0.3969587948307092,0.5233765087263211,0.38626391003632377,
rf,drop_G_race_control_weather,2,848,0.47171998837253015,0.9758557803599274,0.4775938511180571,0.460536447675727,0.506983169708068,
rf,drop_G_race_control_weather,3,849,0.4730040684102185,0.9327369609783571,0.5239686915508998,0.532628060130518,0.5221985170205594,
rf,drop_G_race_control_weather,4,849,0.5538953571913129,0.9033558843849844,0.48968610415344865,0.5092806324110672,0.5145408389066215,
rf,drop_G_traffic_gap_context,0,849,0.516676022914928,0.9069555551872513,0.4366945634297939,0.44840732777225467,0.43262720070343336,
rf,drop_G_traffic_gap_context,1,845,0.5186852960666203,0.9711135604212146,0.39173519942060275,0.5192413957171962,0.37983408468925706,
rf,drop_G_traffic_gap_context,2,848,0.4686808752664596,0.9793287427420492,0.4632462704007512,0.4404042879927326,0.5201073031150297,
rf,drop_G_traffic_gap_context,3,849,0.45503049983456145,0.9383525694865386,0.5131329238344858,0.5115224092659898,0.5410369059656218,
rf,drop_G_traffic_gap_context,4,849,0.5199818962271564,0.9322953501122343,0.47566953286191216,0.4948789448893076,0.531371433496965,
rf,drop_G_rejoin_window,0,849,0.5126612535707515,0.9195079376260965,0.42131188482853654,0.4275945886053304,0.42065985354091373,
rf,drop_G_rejoin_window,1,845,0.529308863746433,0.9612127955937937,0.38752720032673127,0.505033793517901,0.3756590734935562,
rf,drop_G_rejoin_window,2,848,0.48688811172665936,0.9610255457418831,0.45547794487686755,0.43495610772206517,0.5132765192416003,
rf,drop_G_rejoin_window,3,849,0.47065504203738967,0.9238951166871402,0.5229600159771765,0.5230055702301465,0.5526835187057634,
rf,drop_G_rejoin_window,4,849,0.5242738436531655,0.9303948624668498,0.4828596431979972,0.5044651579686763,0.5352132435681591,
