ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.458298058422235,0.03382319848885983,1.1912149845304527,0.14966694905560735,0.4340711168746423,0.03144766425554675,0.4528509852916544,0.4555643802032022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_G_race_control_weather,0.45282562331651616,0.043881380765100605,1.175088379234123,0.10845024143800781,0.42322212711691815,0.07685689725994978,0.42093903855266496,0.44727438227037125,-0.00547243510571882,-0.01612660529632981,-0.010848989757724137,-0.03191194673898945,-0.008289997932830973,0.00547243510571882,-0.01612660529632981
drop_G_race_phase,0.43322436211945947,0.04884288238774335,1.1767828553289577,0.19241372192645065,0.4118354600790271,0.028708959057265473,0.42707694737029656,0.4428870827976734,-0.025073696302775506,-0.014432129201495059,-0.022235656795615177,-0.02577403792135785,-0.012677297405528809,0.025073696302775506,-0.014432129201495059
drop_G_rejoin_window,0.46631246941499266,0.05878175894380261,1.11750943574422,0.0659429644777796,0.41166488932714945,0.0765744734906553,0.4118895958200586,0.4239136966320597,0.008014410992757681,-0.07370554878623281,-0.02240622754749283,-0.04096138947159583,-0.031650683571142535,-0.008014410992757681,-0.07370554878623281
drop_G_strategy_history,0.4556270120726852,0.0432068158443844,1.0702678184924959,0.050078433683961185,0.4352524727415477,0.03471162317231393,0.45273642101358264,0.4570659464346892,-0.0026710463495497883,-0.12094716603795685,0.0011813558669054314,-0.0001145642780717715,0.0015015662314869505,0.0026710463495497883,-0.12094716603795685
drop_G_track_context,0.46422584417190177,0.02111976859042219,1.0525508389545997,0.05134378927396611,0.44388695359921276,0.048148740538668876,0.46158553075770115,0.4522535482301689,0.005927785749666792,-0.13866414557585305,0.009815836724570481,0.00873454546604674,-0.0033108319730333347,-0.005927785749666792,-0.13866414557585305
drop_G_traffic_gap_context,0.44848867735988895,0.015101978527616636,1.141064199465688,0.07374313224884486,0.4312162437825714,0.0357330430723415,0.45069578591124876,0.46085571324088076,-0.009809381062346023,-0.05015078506476467,-0.0028548730920708865,-0.002155199380405648,0.005291333037678536,0.009809381062346023,-0.05015078506476467
drop_G_tyre_state,0.39977474192861406,0.04942808340249453,1.1719898137598053,0.08820530847578985,0.3847417483133008,0.05842132471611644,0.40473107815051057,0.41883431568439755,-0.058523316493620914,-0.01922517077064745,-0.04932936856134146,-0.048119907141143836,-0.03673006451880467,0.058523316493620914,-0.01922517077064745
