ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.3627383652749978,0.028718026946349326,0.12696340157072067,0.016911416518340237,0.374524969800229,0.019570594475737214,0.4358963703962919,0.3401069443345288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_G_pace_position,0.19073936949360953,0.01952077197791994,0.17860579996506135,0.0046486188369315885,0.2365735384061936,0.0288321090163224,0.23210463424140873,0.24469461606693646,-0.17199899578138828,0.05164239839434068,-0.13795143139403537,-0.2037917361548832,-0.09541232826759236,0.17199899578138828,0.05164239839434068
drop_G_race_control_weather,0.35867886715664155,0.03224360208036092,0.12709772076509196,0.01568441259402194,0.3653512154744299,0.020844784143485513,0.41724799503926724,0.3316392598360529,-0.004059498118356264,0.0001343191943712907,-0.009173754325799088,-0.018648375357024682,-0.008467684498475903,0.004059498118356264,0.0001343191943712907
drop_G_race_phase,0.3345338256224301,0.024127161977889458,0.14130219569337696,0.020822352353832924,0.351527607642921,0.039248808656754314,0.37275318044100947,0.3439647318800111,-0.028204539652567695,0.01433879412265629,-0.022997362157307966,-0.06314318995528245,0.003857787545482272,0.028204539652567695,0.01433879412265629
drop_G_rejoin_window,0.3484845354452793,0.01794039599292496,0.1362815043905722,0.017303646746922644,0.3693431245048434,0.015408340732683207,0.3873142542461888,0.3616548727443029,-0.014253829829718512,0.009318102819851543,-0.005181845295385568,-0.048582116150103105,0.021547928409774098,0.014253829829718512,0.009318102819851543
drop_G_strategy_history,0.366863023342178,0.02552210590032799,0.12640230584595524,0.015211717799235523,0.3707376189909247,0.025005392268029624,0.4124539273479041,0.34426391479378526,0.004124658067180209,-0.0005610957247654258,-0.0037873508093042574,-0.02344244304838783,0.004156970459256448,-0.004124658067180209,-0.0005610957247654258
drop_G_track_context,0.31197432441740997,0.029270190545383865,0.1344107225032706,0.024106928295855628,0.31985342805296046,0.028814461914912687,0.393519522768836,0.2923289759837574,-0.050764040857587844,0.0074473209325499334,-0.054671541747268515,-0.042376847627455916,-0.047777968350771416,0.050764040857587844,0.0074473209325499334
drop_G_traffic_gap_context,0.34498580430810705,0.0305903348226321,0.13667133299556916,0.02036627449759457,0.3621323176737009,0.017842322134446448,0.38528044157618485,0.3497028868975889,-0.017752560966890762,0.009707931424848493,-0.01239265212652807,-0.05061592882010707,0.009595942563060067,0.017752560966890762,0.009707931424848493
drop_G_tyre_state,0.34597726369018217,0.024147356366151677,0.1362250108910279,0.023769413325238607,0.36445891747625103,0.01675779958612017,0.3995158087907188,0.34510966351899547,-0.01676110158481564,0.00926160932030723,-0.010066052323977948,-0.036380561605573125,0.005002719184466653,0.01676110158481564,0.00926160932030723
