mode,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
meta,baseline_full,0,849,0.5135146461145049,0.8810353293800797,0.4760494978090864,0.49099751300276173,0.4697775843483877,
meta,drop_ann,0,849,0.5138371654182959,0.8951352657182654,0.4607833988374271,0.48219934232924155,0.45443117985790965,
meta,drop_rf,0,849,0.5027162088016124,0.9080019417997399,0.45752031447868297,0.4751604553112022,0.4512656691302612,
meta,drop_svm,0,849,0.5126614488130755,0.8757226347353437,0.47120726649780253,0.48834206479083697,0.46488754355795,
meta,drop_xgb,0,849,0.5208211875694938,0.8780178617377157,0.46520111344797366,0.47546890030223754,0.4606440395808581,
meta,drop_tcn,0,849,0.5161312183911284,0.8780442538011496,0.4776724125235721,0.4949301873825812,0.4713477428077558,
meta,drop_tcn_gru,0,849,0.4979545347239805,0.8990250984312689,0.4550114371852274,0.48005131729920913,0.4517902845197749,
meta,drop_lstm,0,849,0.5227332784007385,0.8717595177033842,0.4673818911531523,0.4826937166614721,0.46015281844663003,
meta,drop_gru,0,849,0.5138014464960888,0.8705382938265641,0.46637909744280037,0.47132657895333435,0.46706268288871106,
meta,drop_all_tabular_bases,0,849,0.5304313068827987,0.9383346219506546,0.4436064359545685,0.45725646675400106,0.43870511297277676,
meta,drop_all_sequential_bases,0,849,0.5154348811067604,0.8663978024224241,0.4429372201716448,0.4547098513425067,0.4408969688110336,
meta,drop_all_race_context_KEEP_ONLY_PREDS,0,849,0.5001442730507831,0.9088409440962111,0.47585370268795246,0.4888942997388351,0.4698206712987284,
meta,baseline_full,1,845,0.5149399414205102,1.0592982550365055,0.3771602361204883,0.5129195746095048,0.3764680101507688,
meta,drop_ann,1,845,0.524849806814463,1.0345828796348537,0.4159703536062979,0.5083468010871919,0.40122317758869486,
meta,drop_rf,1,845,0.5086253007688135,1.0675763114548549,0.35727950600870584,0.49781034474524255,0.356655829228243,
meta,drop_svm,1,845,0.5111816823921063,1.0700045227456167,0.37050195070665504,0.5110347615427224,0.37019711399711397,
meta,drop_xgb,1,845,0.5050583211699424,1.0599608650135184,0.3766384907516711,0.5174717474894239,0.37500830969796484,
meta,drop_tcn,1,845,0.5131409897173043,1.055683085753834,0.3781762795818977,0.5119958947368161,0.37584925113200973,
meta,drop_tcn_gru,1,845,0.5189279089280384,1.0692264790664041,0.3707275053170502,0.50637365643932,0.36930025376921927,
meta,drop_lstm,1,845,0.5071739472977963,1.067406583140868,0.3647243675556724,0.4980217099279017,0.36455300791162865,
meta,drop_gru,1,845,0.5196242770904507,1.0671113651773292,0.37579168608030444,0.5109492431614863,0.37470231377817587,
meta,drop_all_tabular_bases,1,845,0.4947712340832539,1.066462146229792,0.36964353938060646,0.5049256643287563,0.36582655122655117,
meta,drop_all_sequential_bases,1,845,0.515012924767282,1.0626882967813192,0.37739901517758445,0.5112081984537886,0.3755334826093447,
meta,drop_all_race_context_KEEP_ONLY_PREDS,1,845,0.5254461522059846,1.018669351300985,0.3835926863630484,0.5191230292865436,0.38003245260486646,
meta,baseline_full,2,848,0.4658786547879699,0.9863587394448503,0.4268247215583747,0.4134709437374668,0.454331783989089,
meta,drop_ann,2,848,0.4714938812399302,0.9823797549375959,0.42858034518632937,0.41542365465723,0.455011638092241,
meta,drop_rf,2,848,0.46155331448715387,0.9830268568177748,0.4134155295367222,0.39813096738346304,0.4393823943604386,
meta,drop_svm,2,848,0.47760740284986286,0.9827188609571336,0.4295776919238743,0.4166369458266733,0.451809200293129,
meta,drop_xgb,2,848,0.48902723345523347,0.9594533071736004,0.41531632047334777,0.40312032977818496,0.4421509618802634,
meta,drop_tcn,2,848,0.4765040854694485,0.976352273706421,0.4344364101632977,0.4204302781573328,0.4687583983471666,
meta,drop_tcn_gru,2,848,0.4718722593718255,0.9775462164610081,0.42421483622748574,0.4116695455611711,0.4484691536150146,
meta,drop_lstm,2,848,0.45181682172785786,1.0008987829405365,0.4341207908107302,0.41948259620633604,0.4753417631776641,
meta,drop_gru,2,848,0.4611312163157696,0.9842610277383972,0.43249216081701364,0.421682646025552,0.45061509428687574,
meta,drop_all_tabular_bases,2,848,0.4697758552292958,0.9802756166035975,0.4171082440739983,0.40247027546884073,0.4409059607978613,
meta,drop_all_sequential_bases,2,848,0.4345117832724658,1.0038247951586803,0.4242325223441535,0.4104464002277194,0.44898509335070863,
meta,drop_all_race_context_KEEP_ONLY_PREDS,2,848,0.49025012531016776,0.9688250490548362,0.4199443041137177,0.4079892838880367,0.4399429269326231,
meta,baseline_full,3,849,0.4687718719991455,0.9935202199484924,0.5160814410431012,0.5059636853056775,0.5417044152342434,
meta,drop_ann,3,849,0.46854173976301716,0.9919799901199732,0.519098550103593,0.5175908711618884,0.5264942703067071,
meta,drop_rf,3,849,0.4661671483201867,1.0028648967705485,0.5321193249504099,0.5233596912963947,0.5471899224806202,
meta,drop_svm,3,849,0.46204466684113277,1.008563159502788,0.5225167756920241,0.515941809796856,0.5360675766767778,
meta,drop_xgb,3,849,0.4571062092847441,0.992817986018102,0.5199496268461566,0.5123861070795033,0.5469250084260195,
meta,drop_tcn,3,849,0.4721972170338365,0.9835819662659361,0.5370606664860597,0.5256832784591086,0.5590916750926862,
meta,drop_tcn_gru,3,849,0.43085941145327133,0.9990488622069764,0.5287850387880126,0.5170321237317632,0.5591536905965622,
meta,drop_lstm,3,849,0.47083802926303076,0.9839924964184662,0.5332958546455514,0.5244401979599348,0.5533806875631951,
meta,drop_gru,3,849,0.4582888536328012,0.9876418032871159,0.5155345478224947,0.5023694673855059,0.5414789349511291,
meta,drop_all_tabular_bases,3,849,0.4317272456879839,1.0819811022676362,0.5146747932215728,0.5123567787199678,0.5235884732052578,
meta,drop_all_sequential_bases,3,849,0.48738076934558067,0.9436902023048539,0.5434189417393751,0.5265968635166552,0.5803377148634985,
meta,drop_all_race_context_KEEP_ONLY_PREDS,3,849,0.45690428933805316,0.993725440187353,0.5095754844006776,0.5027730954150664,0.5260047185709471,
meta,baseline_full,4,849,0.5549241106057334,0.9047812117113438,0.49697084351184956,0.5116277777777778,0.5407738273545959,
meta,drop_ann,4,849,0.5552524617268098,0.9094611573121059,0.49610583762438676,0.5060462665984908,0.5407642167388012,
