race_id,driver_id,lapno,race_progress_pct,y_pit,is_raining,fcy_status,p_pit,pit_pred
75,1,0,0.0,0,0,0,0.00014960127009544522,0
75,1,1,1.8867924528301798,0,0,0,0.0033760718069970608,0
75,1,2,3.7735849056603703,0,0,3,0.013506983406841755,0
75,1,3,5.66037735849056,0,0,0,0.09196331351995468,0
75,1,4,7.54716981132075,0,0,0,0.0019102804362773895,0
75,1,5,9.43396226415094,0,0,0,0.00571346515789628,0
75,1,6,11.32075471698113,0,0,0,0.016685955226421356,0
75,1,7,13.20754716981132,0,0,0,0.035949453711509705,0
75,1,8,15.09433962264151,0,0,0,0.01682433858513832,0
75,1,9,16.981132075471688,0,0,1,0.27115195989608765,0
75,1,10,18.86792452830188,0,0,0,0.5922861695289612,1
75,1,11,20.75471698113207,0,0,0,0.03313124552369118,0
75,1,12,22.64150943396226,0,0,0,0.025908298790454865,0
75,1,13,24.528301886792452,0,0,0,0.03770270571112633,0
75,1,14,26.41509433962264,0,0,0,0.030939308926463127,0
75,1,15,28.30188679245283,0,0,0,0.014299391768872738,0
75,1,16,30.18867924528302,0,0,0,0.01122004073113203,0
75,1,17,32.0754716981132,0,0,0,0.012585903517901897,0
75,1,18,33.96226415094339,0,0,0,0.01889157108962536,0
75,1,19,35.84905660377358,0,0,0,0.02390439063310623,0
75,1,20,37.73584905660377,0,0,0,0.02229992486536503,0
75,1,21,39.62264150943396,0,0,0,0.03393182530999184,0
75,1,22,41.50943396226415,1,0,0,0.8827875256538391,1
75,1,23,43.39622641509434,0,0,0,0.0003913843829650432,0
75,1,24,45.28301886792453,0,0,0,0.00045214188867248595,0
75,1,25,47.16981132075472,0,0,0,0.0022646195720881224,0
75,1,26,49.056603773584904,0,0,0,0.0023062527179718018,0
75,1,27,50.943396226415096,0,0,0,0.0027162472251802683,0
75,1,28,52.83018867924528,0,0,0,0.0013261005515232682,0
75,1,29,54.71698113207547,0,0,0,0.0032578802201896906,0
75,1,30,56.60377358490566,0,0,0,0.006532506085932255,0
75,1,31,58.490566037735846,0,0,0,0.006877723149955273,0
75,1,32,60.37735849056604,0,0,0,0.003131094854325056,0
75,1,33,62.264150943396224,0,0,0,0.002210318809375167,0
75,1,34,64.15094339622641,0,0,0,0.0029273328837007284,0
75,1,35,66.0377358490566,0,0,0,0.0037802245933562517,0
75,1,36,67.9245283018868,0,0,0,0.010832572355866432,0
75,1,37,69.81132075471697,0,0,0,0.011284008622169495,0
75,1,38,71.69811320754717,0,0,0,0.007923336699604988,0
75,1,39,73.58490566037736,0,0,0,0.006304597482085228,0
75,1,40,75.47169811320755,0,0,0,0.005889527499675751,0
75,1,41,77.35849056603774,0,0,0,0.008468370884656906,0
75,1,42,79.24528301886792,0,0,0,0.008083336055278778,0
75,1,43,81.13207547169812,0,0,0,0.005762048996984959,0
75,1,44,83.01886792452831,0,0,0,0.003999307285994291,0
75,1,45,84.90566037735849,0,0,0,0.004011104814708233,0
75,1,46,86.79245283018868,0,0,0,0.006002076435834169,0
75,1,47,88.67924528301887,0,0,1,0.0021579312160611153,0
75,1,48,90.56603773584906,0,0,2,0.012731054797768593,0
75,1,49,92.45283018867923,0,0,2,0.046726156026124954,0
75,1,50,94.33962264150944,0,0,0,0.00024211783602368087,0
75,1,51,96.22641509433963,0,0,0,0.00021164487407077104,0
75,1,52,98.11320754716981,0,0,0,0.0003868470375891775,0
75,1,53,100.0,0,0,0,0.0007821893086656928,0
75,2,0,0.0,0,0,0,8.185263868654147e-05,0
75,2,1,1.8867924528301798,0,0,0,0.009812762960791588,0
75,2,2,3.7735849056603703,0,0,3,0.061709195375442505,0
75,2,3,5.66037735849056,0,0,0,0.11368504166603088,0
75,2,4,7.54716981132075,0,0,0,0.003217837540432811,0
75,2,5,9.43396226415094,0,0,0,0.005230922717601061,0
75,2,6,11.32075471698113,0,0,0,0.009274544194340706,0
75,2,7,13.20754716981132,0,0,0,0.008948897011578083,0
75,2,8,15.09433962264151,0,0,0,0.011993764899671078,0
75,2,9,16.981132075471688,0,0,1,0.5079736709594727,1
75,2,10,18.86792452830188,0,0,0,0.5043537020683289,1
75,2,11,20.75471698113207,0,0,0,0.029286524280905724,0
75,2,12,22.64150943396226,0,0,0,0.02850683405995369,0
75,2,13,24.528301886792452,0,0,0,0.01958288811147213,0
75,2,14,26.41509433962264,0,0,0,0.02658124268054962,0
75,2,15,28.30188679245283,0,0,0,0.013055501505732536,0
75,2,16,30.18867924528302,0,0,0,0.01544669084250927,0
75,2,17,32.0754716981132,0,0,0,0.01615152321755886,0
75,2,18,33.96226415094339,0,0,0,0.024837028235197067,0
75,2,19,35.84905660377358,0,0,0,0.022719843313097954,0
75,2,20,37.73584905660377,0,0,0,0.0350419282913208,0
75,2,21,39.62264150943396,0,0,0,0.02203545905649662,0
75,2,22,41.50943396226415,0,0,0,0.025997430086135864,0
75,2,23,43.39622641509434,0,0,0,0.02948954701423645,0
75,2,24,45.28301886792453,0,0,0,0.04000763222575188,0
75,2,25,47.16981132075472,1,0,0,0.9058683514595032,1
75,2,26,49.056603773584904,0,0,0,0.0013781151501461864,0
75,2,27,50.943396226415096,0,0,0,0.0015987494261935353,0
75,2,28,52.83018867924528,0,0,0,0.0030636934097856283,0
75,2,29,54.71698113207547,0,0,0,0.003413427621126175,0
75,2,30,56.60377358490566,0,0,0,0.00174697395414114,0
75,2,31,58.490566037735846,0,0,0,0.005740121938288212,0
75,2,32,60.37735849056604,0,0,0,0.004748574458062649,0
75,2,33,62.264150943396224,0,0,0,0.0018963649636134505,0
75,2,34,64.15094339622641,0,0,0,0.002362629398703575,0
75,2,35,66.0377358490566,0,0,0,0.00358534324914217,0
75,2,36,67.9245283018868,0,0,0,0.008247931487858295,0
75,2,37,69.81132075471697,0,0,0,0.009061881341040134,0
75,2,38,71.69811320754717,0,0,0,0.005478718783706427,0
75,2,39,73.58490566037736,0,0,0,0.006160265766084194,0
75,2,40,75.47169811320755,0,0,0,0.005420361179858446,0
75,2,41,77.35849056603774,0,0,0,0.007268521469086409,0
75,2,42,79.24528301886792,0,0,0,0.005037463735789061,0
75,2,43,81.13207547169812,0,0,0,0.003262244863435626,0
75,2,44,83.01886792452831,0,0,0,0.0031253653578460217,0
75,2,45,84.90566037735849,0,0,0,0.007315551396459341,0
75,2,46,86.79245283018868,0,0,0,0.009992425329983234,0
75,2,47,88.67924528301887,0,0,1,0.004211672581732273,0
75,2,48,90.56603773584906,0,0,2,0.07852048426866531,0
75,2,49,92.45283018867923,0,0,0,0.031399328261613846,0
75,2,50,94.33962264150944,0,0,0,0.00021061259030830115,0
75,2,51,96.22641509433963,0,0,0,0.0001849952241173014,0
75,2,52,98.11320754716981,0,0,0,0.0003454966936260462,0
75,2,53,100.0,0,0,0,0.0004177663358859718,0
75,4,0,0.0,0,0,0,5.144422539160587e-05,0
75,4,1,1.8867924528301798,0,0,0,0.001608189195394516,0
75,4,2,3.7735849056603703,0,0,3,0.00878926832228899,0
75,4,3,5.66037735849056,0,0,0,0.010027420707046986,0
75,4,4,7.54716981132075,0,0,0,0.0011739743640646338,0
75,4,5,9.43396226415094,0,0,0,0.00359233096241951,0
75,4,6,11.32075471698113,0,0,0,0.006250825244933367,0
75,4,7,13.20754716981132,0,0,0,0.007846580818295479,0
75,4,8,15.09433962264151,0,0,0,0.005760025233030319,0
75,4,9,16.981132075471688,0,0,1,0.5781709551811218,1
75,4,10,18.86792452830188,0,0,0,0.2249055653810501,0
75,4,11,20.75471698113207,0,0,0,0.00758534949272871,0
75,4,12,22.64150943396226,0,0,0,0.006170880515128374,0
75,4,13,24.528301886792452,0,0,0,0.010822184383869171,0
75,4,14,26.41509433962264,0,0,0,0.0072966208681464195,0
75,4,15,28.30188679245283,0,0,0,0.009323740378022194,0
75,4,16,30.18867924528302,0,0,0,0.009945391677320004,0
75,4,17,32.0754716981132,0,0,0,0.010607687756419182,0
75,4,18,33.96226415094339,0,0,0,0.008741384372115135,0
75,4,19,35.84905660377358,1,0,0,0.9098883271217346,1
75,4,20,37.73584905660377,0,0,0,0.0004850457771681249,0
75,4,21,39.62264150943396,0,0,0,0.0007587611908093095,0
75,4,22,41.50943396226415,0,0,0,0.0006810367340222001,0
75,4,23,43.39622641509434,0,0,0,0.0006134479190222919,0
75,4,24,45.28301886792453,0,0,0,0.0013952398439869285,0
75,4,25,47.16981132075472,0,0,0,0.001532969530671835,0
75,4,26,49.056603773584904,0,0,0,0.003417493309825659,0
75,4,27,50.943396226415096,0,0,0,0.004424719605594873,0
75,4,28,52.83018867924528,0,0,0,0.003507234388962388,0
75,4,29,54.71698113207547,0,0,0,0.0022981688380241394,0
75,4,30,56.60377358490566,0,0,0,0.0025128053966909647,0
75,4,31,58.490566037735846,0,0,0,0.0033196008298546076,0
75,4,32,60.37735849056604,0,0,0,0.005420756991952658,0
75,4,33,62.264150943396224,0,0,0,0.0104160625487566,0
75,4,34,64.15094339622641,0,0,0,0.007042208686470985,0
75,4,35,66.0377358490566,0,0,0,0.016119496896862984,0
75,4,36,67.9245283018868,0,0,0,0.02502221241593361,0
75,4,37,69.81132075471697,0,0,0,0.02242809161543846,0
75,4,38,71.69811320754717,0,0,0,0.027872083708643913,0
75,4,39,73.58490566037736,0,0,0,0.04702746123075485,0
75,4,40,75.47169811320755,0,0,0,0.010417222045361996,0
75,4,41,77.35849056603774,0,0,0,0.020202679559588432,0
75,4,42,79.24528301886792,0,0,0,0.024154553189873695,0
75,4,43,81.13207547169812,0,0,0,0.01720934920012951,0
75,4,44,83.01886792452831,0,0,0,0.01475888304412365,0
