ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.4957445460305812,0.033322174286764046,0.9810149729794642,0.06425894479431775,0.46227611980607264,0.051414638588821386,0.48241284094673487,0.48221986034176434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_G_race_control_weather,0.4846476124433948,0.041005139178821905,0.984719220412616,0.08051191589084206,0.4506577849076157,0.0713344192308059,0.48508375120028135,0.46935573631245553,-0.011096933587186386,0.003704247433151786,-0.011618334898456928,0.002670910253546488,-0.01286412402930881,0.011096933587186386,0.003704247433151786
drop_G_race_phase,0.4629012691875836,0.03856512783691062,1.0298256774132934,0.05162132977735514,0.4384201996912339,0.02664135693547348,0.44899451611437396,0.4647697018902274,-0.03284327684299759,0.04881070443382929,-0.023855920114838725,-0.0334183248323609,-0.017450158451536912,0.03284327684299759,0.04881070443382929
drop_G_rejoin_window,0.4964057591905752,0.021406631850019398,0.9831839061831552,0.06070323629319906,0.46667228142212647,0.055536886154239316,0.48393314143281485,0.485934156183935,0.0006612131599940119,0.002168933203691048,0.004396161616053829,0.001520300486079984,0.003714295842170645,-0.0006612131599940119,0.002168933203691048
drop_G_strategy_history,0.5101171987519268,0.03035026746359471,0.9800560234381873,0.06433133170412106,0.45780315003278566,0.06476198020824209,0.48205153593301187,0.4780776532272221,0.014372652721345636,-0.0009589495412768434,-0.004472969773286983,-0.00036130501372300117,-0.004142207114542218,-0.014372652721345636,-0.0009589495412768434
drop_G_track_context,0.45879849228224473,0.006577592034094554,1.034675246170902,0.04156413062798365,0.4343979035012577,0.05403982433540229,0.444853517622008,0.44713822770807327,-0.03694605374833648,0.053660273191437735,-0.027878216304814962,-0.03755932332472689,-0.03508163263369107,0.03694605374833648,0.053660273191437735
drop_G_traffic_gap_context,0.4959629084781122,0.03437467502961679,0.98210281816167,0.06255094479810172,0.43736728213766696,0.05229538297596344,0.4596227437799317,0.45973895255205177,0.00021836244753098422,0.0010878451822058377,-0.02490883766840568,-0.02279009716680319,-0.022480907789712568,-0.00021836244753098422,0.0010878451822058377
drop_G_tyre_state,0.43283982871195825,0.03432274304112296,1.0744253856350783,0.051380653293000046,0.4163122048430655,0.047145964199334776,0.43411593946170585,0.4384186850286139,-0.06290471731862296,0.09341041265561412,-0.04596391496300711,-0.04829690148502902,-0.04380117531315042,0.06290471731862296,0.09341041265561412
