race_id,driver_id,lapno,race_progress,pit_stops_so_far,current_compound,race_track,fulfilled_second_compound,is_wet_race,is_raining,minutes_rain,gap_behind_s,n_cars_within_5s_ahead,tyre_age_diff_to_ahead,rejoin_gap_ahead_est_s,rejoin_gap_behind_est_s,y_compound,gap_behind_s_missing,tyre_age_diff_to_ahead_missing,rejoin_gap_ahead_est_s_missing,rejoin_gap_behind_est_s_missing
2,12,1,0.017241379310344807,0,MEDIUM,Australian Grand Prix,0,0,0,0.0,3.83199999999988,-1.1102230246251565e-16,0.0,38.0205,4.328500000000076,HARD,1,1,0,1
2,12,22,0.3793103448275862,1,HARD,Australian Grand Prix,0,0,0,0.0,3.83199999999988,-1.1102230246251565e-16,19.0,43.21349999999984,4.328500000000076,SOFT,1,0,0,1
2,13,25,0.4310344827586206,0,MEDIUM,Australian Grand Prix,0,0,0,0.0,13.483999999999924,1.0,22.0,4.53650000000016,42.653499999999894,HARD,0,0,0,0
2,13,29,0.5,1,HARD,Australian Grand Prix,1,0,0,0.0,14.047999999999774,-1.1102230246251565e-16,-2.0,37.3603250000001,2.3346749999996064,SOFT,0,0,0,0
2,14,25,0.4310344827586206,0,SOFT,Australian Grand Prix,0,0,0,0.0,1.9149999999999636,-1.1102230246251565e-16,20.000000000000004,2.7265000000002146,6.092499999999745,MEDIUM,0,0,0,0
2,17,23,0.396551724137931,0,SOFT,Australian Grand Prix,0,0,0,0.0,16.971999999999753,1.0,21.0,1.048500000000331,33.00949999999966,HARD,0,0,0,0
2,19,18,0.3103448275862069,0,SOFT,Australian Grand Prix,0,0,0,0.0,8.670000000000073,-1.1102230246251565e-16,0.0,0.7294999999999163,2.3454999999999018,HARD,0,0,0,0
2,20,24,0.4137931034482758,0,SOFT,Australian Grand Prix,0,0,0,0.0,12.975999999999658,2.0,23.0,2.349500000000262,5.518499999999676,HARD,0,0,0,0
3,2,15,0.2112676056338028,0,SOFT,Austrian Grand Prix,0,0,0,0.0,11.498000000000047,1.0,0.0,1.4204999999999472,0.9394999999999527,HARD,0,0,0,0
3,3,15,0.2112676056338028,0,MEDIUM,Austrian Grand Prix,0,0,0,0.0,4.018000000000029,-1.1102230246251565e-16,0.0,2.2164999999999964,2.6765000000000327,HARD,0,1,0,0
3,6,15,0.2112676056338028,0,SOFT,Austrian Grand Prix,0,0,0,0.0,0.8570000000001983,1.0,3.0,2.794499999999971,56.867500000000064,HARD,0,0,0,0
3,6,34,0.4788732394366197,1,HARD,Austrian Grand Prix,1,0,0,0.0,3.8600000000001273,2.0,0.0,0.6284999999998035,48.738500000000386,MEDIUM,0,0,0,0
3,7,15,0.2112676056338028,0,MEDIUM,Austrian Grand Prix,0,0,0,0.0,2.1119999999998527,2.0,0.0,17.875500000000102,41.78649999999993,HARD,0,0,0,0
