num__race_progress,num__pit_stops_so_far,num__minutes_rain,num__gap_behind_s,num__n_cars_within_5s_ahead,num__tyre_age_diff_to_ahead,num__rejoin_gap_ahead_est_s,num__rejoin_gap_behind_est_s,cat__current_compound,cat__race_track,cat__fulfilled_second_compound,cat__rained_yet,cat__is_raining,y_compound_int,y_compound
-1.2861903840900886,-0.7367987574615237,-0.12312584027520622,0.09422953461020751,-0.6255191520372567,-0.49378850293931936,-0.6065002527660958,-0.40295935476614386,2.0,1.0,0.0,0.0,0.0,0,HARD
-0.6869919427158747,-0.7367987574615237,-0.12312584027520622,-0.0172157914744362,0.009590339401944224,-0.5946790715312221,0.24881574859223532,-0.16611471239449363,2.0,1.0,0.0,0.0,0.0,0,HARD
-0.5371923323723212,-0.7367987574615237,-0.12312584027520622,-0.5314635069053616,-0.6255191520372567,-0.5946790715312221,-0.0030589126296976343,-0.40210624484314417,3.0,1.0,0.0,0.0,0.0,0,HARD
0.6612045503761061,-0.7367987574615237,-0.12312584027520622,-0.45805834224344283,-0.6255191520372567,-0.49378850293931936,-0.2169046510514508,0.8301577195537752,2.0,1.0,0.0,0.0,0.0,0,HARD
-0.612092137544098,-0.7367987574615237,-0.12312584027520622,-0.027534258753701992,-0.6255191520372567,-0.49378850293931936,-0.016449378404390817,-0.34830700032423423,2.0,1.0,0.0,0.0,0.0,0,HARD
1.1855031865785433,0.3400049602119876,-0.12312584027520622,1.3747777815759206,0.6446998308411451,1.2213511631230274,0.7870455204059046,1.2466353200861913,0.0,1.0,1.0,0.0,0.0,2,MEDIUM
0.9608037710632131,-0.7367987574615237,-0.12312584027520622,0.2867527317952066,-0.6255191520372567,2.835600260593471,-0.4434713319592394,-0.3570513770349383,2.0,1.0,0.0,0.0,0.0,0,HARD
-1.2861903840900886,-0.7367987574615237,-0.12312584027520622,-0.1054078195023744,-0.6255191520372567,-0.49378850293931936,-0.4403915248310726,-0.45190653659800994,3.0,1.0,0.0,0.0,0.0,0,HARD
0.13690591417366918,-0.7367987574615237,-0.12312584027520622,0.12880080959716192,0.009590339401944224,-0.49378850293931936,-0.10527001169611189,-0.376372983806542,2.0,1.0,0.0,0.0,0.0,0,HARD
-1.2861903840900886,-0.7367987574615237,-0.12312584027520622,-0.01765675161457381,0.6446998308411451,-0.49378850293931936,-0.6131954856534424,-0.43132525970574315,3.0,1.0,0.0,0.0,0.0,0,HARD
1.2604029917503201,-0.7367987574615237,-0.12312584027520622,-0.12019468286838718,-0.6255191520372567,2.129366280450152,-0.6004075908386417,0.11109269320890071,0.0,1.0,0.0,0.0,0.0,2,MEDIUM
