mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,xgb,baseline_full,0,19525,0.34,0.47582612254989404,0.07069152746888045,0.49552772808586765,0.4453376205787781,0.5584677419354839,277,345,219,18684
base,xgb,drop_G_race_phase,0,19525,0.36000000000000004,0.4137369923775792,0.07869543904575173,0.4614065180102916,0.4014925373134328,0.5423387096774194,269,401,227,18628
base,xgb,drop_G_race_control,0,19525,0.37,0.44941115678128946,0.07233680568707601,0.49725776965265084,0.45484949832775917,0.5483870967741935,272,326,224,18703
base,xgb,drop_G_track,0,19525,0.3,0.3177648212237294,0.08918308103773849,0.3437779767233662,0.30917874396135264,0.3870967741935484,192,429,304,18600
base,xgb,drop_G_tyre_state,0,19525,0.3,0.4638203964828435,0.07221338158880643,0.45476381104883906,0.37715803452855245,0.5725806451612904,284,469,212,18560
base,xgb,drop_G_strategy_history,0,19525,0.36000000000000004,0.4716371269404351,0.07192040115897375,0.496,0.4435612082670906,0.5625,279,350,217,18679
base,xgb,drop_G_pace,0,19525,0.24000000000000002,0.20000130055210114,0.09259714417056045,0.22857142857142856,0.22350674373795762,0.23387096774193547,116,403,380,18626
base,xgb,drop_G_traffic_proximity,0,19525,0.32,0.4237521914516854,0.07621665748196482,0.494641384995878,0.41841004184100417,0.6048387096774194,300,417,196,18612
base,xgb,drop_G_undercut_defence,0,19525,0.32,0.4562936307959642,0.07332878016012243,0.4896265560165975,0.41607898448519043,0.594758064516129,295,414,201,18615
base,xgb,drop_G_undercut_window,0,19525,0.36000000000000004,0.4645556265725044,0.0747285908128327,0.46851385390428213,0.4014388489208633,0.5625,279,416,217,18613
base,xgb,drop_G_weather,0,19525,0.35000000000000003,0.47381003808014094,0.07056744187994307,0.49601417183348095,0.4423380726698262,0.5645161290322581,280,353,216,18676
base,xgb,drop_ENGINEERED_ALL,0,19525,0.35000000000000003,0.44867617693729567,0.0776944142314608,0.4647773279352227,0.38836265223274696,0.5786290322580645,287,452,209,18577
base,xgb,drop_COL_fcy_status,0,19525,0.37,0.44941115678128946,0.07233680568707601,0.49725776965265084,0.45484949832775917,0.5483870967741935,272,326,224,18703
base,xgb,drop_COL_track_category,0,19525,0.36000000000000004,0.45592914901940435,0.07313087340330908,0.4778761061946903,0.42586750788643535,0.5443548387096774,270,364,226,18665
base,xgb,drop_COL_tyre_change_pursuer,0,19525,0.38,0.4692239844920317,0.07199621115427994,0.492619926199262,0.45408163265306123,0.5383064516129032,267,321,229,18708
