ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_TP,mean_FP,mean_FN,mean_TN,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.2757165788679362,0.053410150968630214,0.13855824476092732,0.0321348770873792,0.29343310139278184,0.04082989004386767,0.19669075511719028,0.6009840154379391,309.0,1314.2,206.4,17658.6,0.0,0.0,0.0,0.0,0.0
drop_COL_close_ahead,0.27165292395274665,0.05273040847981293,0.14735924558328228,0.036922694022514,0.29045659481935787,0.04459525864516366,0.19431318285703658,0.5994590265263735,308.4,1338.0,207.0,17634.8,-0.004063654915189563,0.008801000822354965,-0.002976506573423965,0.004063654915189563,0.008801000822354965
drop_COL_fcy_status,0.27775535039027016,0.053443647465402866,0.13886442632011425,0.03161040366097323,0.29414829074891563,0.041091828565722105,0.19705954322932567,0.6063303715949198,311.8,1324.6,203.6,17648.2,0.0020387715223339486,0.00030618155918693546,0.0007151893561337941,-0.0020387715223339486,0.00030618155918693546
drop_COL_gap_behind_s,0.2756941072869285,0.048400808621908875,0.1399699847808869,0.0311582476243969,0.29214842566896165,0.03829155732267836,0.19386512779940163,0.6128988575277656,315.0,1353.4,200.4,17619.4,-2.2471581007710295e-05,0.0014117400199595842,-0.0012846757238201834,2.2471581007710295e-05,0.0014117400199595842
drop_COL_n_cars_within_5s_ahead,0.25575829956061796,0.04813829033051622,0.15404003978046854,0.03793631675134137,0.28443198465123104,0.04247139472059913,0.18766324409284516,0.6105204888976398,314.0,1412.2,201.4,17560.6,-0.01995827930731825,0.015481795019541222,-0.009001116741550796,0.01995827930731825,0.015481795019541222
drop_COL_rejoin_gap_ahead_est_s,0.27855221236158756,0.0517152223933357,0.14024759552405083,0.032321930014667356,0.29850707093948275,0.04513482032062652,0.200063218167689,0.6105821088559085,314.0,1310.2,201.4,17662.6,0.002835633493651346,0.001689350763123515,0.005073969546700918,-0.002835633493651346,0.001689350763123515
drop_COL_rejoin_gap_behind_est_s,0.2729032710427478,0.05322643411887297,0.14147087650585685,0.03308856154949254,0.2929815089089214,0.03840432573900586,0.19541170520821774,0.6054682986843869,311.4,1328.0,204.0,17644.8,-0.0028133078251884047,0.0029126317449295336,-0.00045159248386045237,0.0028133078251884047,0.0029126317449295336
drop_COL_track_category,0.26420362757117377,0.048130845067154204,0.13984818458409384,0.031412616870590285,0.28613933001258646,0.02720118504643393,0.1891720099127488,0.6020122985820308,309.8,1357.4,205.6,17615.4,-0.011512951296762441,0.0012899398231665249,-0.00729377138019538,0.011512951296762441,0.0012899398231665249
drop_COL_tyre_age_diff_to_ahead,0.27057554124620553,0.054669830514011655,0.14770453958582913,0.038355594657596304,0.29362953788894086,0.046301434375561105,0.1971514298193192,0.5971450174446288,307.4,1311.6,208.0,17661.2,-0.005141037621730682,0.009146294824901813,0.0001964364961590248,0.005141037621730682,0.009146294824901813
drop_COL_tyre_change_pursuer,0.2730800035878005,0.05211683446372329,0.14161566445724777,0.03218216139380994,0.29250790970725643,0.037683874447055364,0.19608485137560622,0.601760970849402,309.4,1318.4,206.0,17654.4,-0.0026365752801357223,0.0030574196963204514,-0.0009251916855254061,0.0026365752801357223,0.0030574196963204514
drop_ENGINEERED_ALL,0.24097472448411567,0.03419934146116922,0.20504038800789998,0.049946572164871805,0.2887096130443959,0.039982657766590844,0.19438053715246534,0.5923769889092612,304.2,1338.6,211.2,17634.2,-0.03474185438382055,0.06648214324697266,-0.004723488348385929,0.03474185438382055,0.06648214324697266
drop_G_pace,0.09362721179756847,0.015634705804329622,0.137005852831925,0.020657620909315742,0.1362801952331514,0.01735096840261965,0.07994620995612604,0.46851129853394474,242.4,2817.2,273.0,16155.6,-0.18208936707036774,-0.0015523919290023058,-0.15715290615963043,0.18208936707036774,-0.0015523919290023058
