ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.4393311894975773,0.05154810417984413,0.1916048220083891,0.05479654704878904,0.48084306354569817,0.041958227764192196,0.4363666896491297,0.54104562157773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_G_pace_position,0.15137354716218815,0.014148402656667166,0.35011293667490284,0.07751251916660819,0.23364273050364898,0.02008319070531671,0.15753957848767658,0.4564658962259549,-0.2879576423353892,0.15850811466651374,-0.2472003330420492,-0.27882711116145315,-0.08457972535177505,0.2879576423353892,0.15850811466651374
drop_G_race_control_weather,0.3623415886050238,0.11626918282473066,0.24420672479802566,0.0759000999827808,0.4248328048085118,0.11057639774067712,0.37049818654377253,0.5234977345223242,-0.07698960089255352,0.052601902789636557,-0.05601025873718635,-0.06586850310535719,-0.017547887055405775,0.07698960089255352,0.052601902789636557
drop_G_race_phase,0.431534530693953,0.04034162653998068,0.21259620316183656,0.07820178360576942,0.4783387892978295,0.031302984172656485,0.4345190428338922,0.5373029852478183,-0.007796658803624346,0.020991381153447453,-0.002504274247868643,-0.0018476468152375247,-0.003742636329911675,0.007796658803624346,0.020991381153447453
drop_G_rejoin_window,0.41786194836808094,0.14430554234268272,0.21796431362197582,0.0747151239392993,0.44997988147370804,0.12578998262233573,0.41745651347158186,0.49998576382179094,-0.021469241129496386,0.026359491613586722,-0.030863182071990125,-0.018910176177547866,-0.04105985775593901,0.021469241129496386,0.026359491613586722
drop_G_strategy_history,0.44679264611646036,0.06684015547131417,0.18478054270264915,0.04404253765436628,0.4932351679063641,0.05353360910357112,0.46395595740818196,0.5345711308165364,0.007461456618883033,-0.00682427930573995,0.012392104360665956,0.02758926775905224,-0.006474490761193552,-0.007461456618883033,-0.00682427930573995
drop_G_track_context,0.43056093562164854,0.035473594871020246,0.18728606865174247,0.06837506470946077,0.4704797383653541,0.035358359407604525,0.4572578960019477,0.4865780279476227,-0.00877025387592878,-0.004318753356646637,-0.010363325180344052,0.020891206352817993,-0.054467593630107225,0.00877025387592878,-0.004318753356646637
drop_G_traffic_gap_context,0.3850615609860358,0.14126377893332037,0.21788288048937793,0.09195240415074016,0.4336245121235939,0.11929639210602266,0.3956798354767989,0.5134040717808046,-0.054269628511541546,0.026278058480988825,-0.04721855142210429,-0.04068685417233081,-0.027641549796925347,0.054269628511541546,0.026278058480988825
drop_G_tyre_state,0.4422325764659226,0.09184473973416452,0.17595185315358813,0.0477502120708306,0.48850166471477624,0.058988668735676326,0.45398127036922836,0.5338946212884128,0.0029013869683452986,-0.01565296885480097,0.007658601169078072,0.017614580720098638,-0.007151000289317144,-0.0029013869683452986,-0.01565296885480097
