mode,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
meta,baseline_full,0,19227,0.533675974588276,0.06471155970022549,0.5149572649572649,0.5724465558194775,0.4679611650485437,0.32
meta,drop_rf,0,19227,0.5407581336422407,0.06437308990312438,0.5124324324324324,0.5780487804878048,0.4601941747572815,0.33
meta,drop_xgb,0,19227,0.5367263567148929,0.06470792946338172,0.5398406374501992,0.5541922290388548,0.5262135922330097,0.25
meta,drop_svm,0,19227,0.5349782385532794,0.06470873690853109,0.5156723963599595,0.5379746835443038,0.49514563106796117,0.29000000000000004
meta,drop_ann,0,19227,0.5378798183245824,0.0643332008835425,0.5136842105263157,0.5609195402298851,0.47378640776699027,0.31
meta,drop_tcn,0,19227,0.5336124297813117,0.06454048884927104,0.5216589861751152,0.4964912280701754,0.5495145631067961,0.23
meta,drop_tcn_gru,0,19227,0.5214715579755973,0.06607627358902875,0.511340206185567,0.545054945054945,0.4815533980582524,0.29000000000000004
meta,drop_lstm,0,19227,0.5279435747864326,0.06603921060096325,0.5267249757045676,0.5272373540856031,0.5262135922330097,0.24000000000000002
meta,drop_gru,0,19227,0.5156703524195076,0.06617085262562505,0.5070422535211268,0.5260960334029228,0.4893203883495146,0.3
meta,drop_hybrid_vse,0,19227,0.5294002920764805,0.06490426980790412,0.5290322580645161,0.5035087719298246,0.5572815533980583,0.22
meta,drop_all_tabular_bases,0,19227,0.5375290765804072,0.0650637111037592,0.5294705294705294,0.5452674897119342,0.5145631067961165,0.25
meta,drop_all_sequential_bases,0,19227,0.3183034796895708,0.08687955508265405,0.34887459807073956,0.29766803840877915,0.42135922330097086,0.22
meta,drop_all_race_context_KEEP_ONLY_PREDS,0,19227,0.537669777169481,0.06402423731342285,0.5196261682242991,0.5009009009009009,0.5398058252427185,0.23
meta,baseline_full,1,19486,0.5280483785824757,0.06481461591125914,0.5052974735126324,0.4341736694677871,0.6042884990253411,0.23
meta,drop_rf,1,19486,0.5303861270152493,0.0641169240955379,0.5138075313807532,0.4501466275659824,0.5984405458089669,0.24000000000000002
meta,drop_xgb,1,19486,0.5177298450900578,0.06654014140772707,0.5025466893039049,0.44511278195488724,0.5769980506822612,0.25
meta,drop_svm,1,19486,0.5276561355856089,0.06487949464097875,0.5148861646234676,0.46740858505564387,0.5730994152046783,0.25
meta,drop_ann,1,19486,0.5223789833108877,0.06509046179265827,0.5078838174273859,0.4421965317919075,0.5964912280701754,0.24000000000000002
meta,drop_tcn,1,19486,0.5223254367933421,0.06468293564839607,0.5170305676855895,0.46835443037974683,0.5769980506822612,0.25
meta,drop_tcn_gru,1,19486,0.5092063223889218,0.06715144728853395,0.48031496062992124,0.40290620871862615,0.594541910331384,0.24000000000000002
