,HARD,MEDIUM,SOFT,INTERMEDIATE,WET
HARD,1376,328,84,43,0
MEDIUM,383,738,128,54,0
SOFT,153,212,320,69,0
INTERMEDIATE,2,52,65,209,0
WET,0,1,2,21,0
