race_id,driver_id,lapno,race_progress,position,fcy_status,pit_stops_so_far,tyre_change_pursuer,track_category,y_pit,current_compound,lap_time,interval,tyre_age,gap_behind_s,n_cars_within_5s_ahead,tyre_age_diff_to_ahead,rejoin_gap_ahead_est_s,rejoin_gap_behind_est_s,close_ahead,race_track,rained_yet,is_raining,minutes_rain,fulfilled_second_compound
33,2,27,0.421875,8,3,2,False,2,0,SOFT,115.695,5.940000000000509,4.0,5.139999999999873,0,-21.0,4.113350000000082,22.94965000000002,0,German Grand Prix,1,1,44.06525,1
33,2,28,0.4375,7,4,2,False,2,1,SOFT,122.599,0.5910000000003492,5.0,1.7330000000001746,0,4.0,7.52034999999978,21.74765000000025,0,German Grand Prix,1,1,46.10856666666667,1
33,2,29,0.453125,8,0,3,False,2,0,INTERMEDIATE,128.131,1.0379999999995562,1.0,31.646999999999935,0,-1.0,27.821000000000367,11.083999999999833,0,German Grand Prix,1,1,48.244083333333336,1
33,2,30,0.46875,8,0,3,False,2,0,INTERMEDIATE,102.224,0.8170000000000073,2.0,35.51000000000022,1,-1.0,22.608999999999924,14.947000000000116,0,German Grand Prix,1,1,49.94781666666667,1
33,2,31,0.484375,8,0,3,False,2,0,INTERMEDIATE,108.255,0.9830000000001746,3.0,22.182999999999993,1,-1.0,23.08100000000013,1.6199999999998909,0,German Grand Prix,1,1,51.752066666666664,1
33,2,32,0.5,8,0,3,False,2,0,INTERMEDIATE,135.185,1.6809999999995853,4.0,3.13799999999992,1,-1.0,15.768999999999778,62.9079999999999,0,German Grand Prix,1,1,54.00515,1
33,2,33,0.515625,8,0,3,False,2,0,INTERMEDIATE,132.267,0.6450000000004366,5.0,1.2830000000003563,2,-1.0,18.687999999999647,25.934000000000196,0,German Grand Prix,1,1,56.2096,1
33,2,34,0.53125,8,0,3,False,2,0,INTERMEDIATE,95.315,1.0330000000003563,6.0,2.0919999999996435,2,-1.0,17.294000000000324,25.35900000000038,0,German Grand Prix,1,1,57.798183333333334,1
33,2,35,0.546875,8,0,3,False,2,0,INTERMEDIATE,91.912,1.149000000000342,7.0,3.6460000000001855,1,-1.0,14.878000000000156,28.25799999999981,0,German Grand Prix,1,1,59.33005,1
33,2,36,0.5625,8,0,3,False,2,0,INTERMEDIATE,90.825,1.155999999999949,8.0,4.9050000000002,2,-1.0,12.614000000000033,32.30000000000018,0,German Grand Prix,1,1,60.8438,1
33,2,37,0.578125,8,0,3,False,2,0,INTERMEDIATE,90.576,1.3460000000004584,9.0,5.996000000000095,2,-1.0,11.797000000000024,36.02300000000014,0,German Grand Prix,1,1,62.3534,1
33,2,38,0.59375,8,1,3,False,2,0,INTERMEDIATE,90.169,1.4769999999998618,10.0,6.64600000000064,1,-1.0,3.768949999999222,46.50805000000082,0,German Grand Prix,1,1,63.85621666666667,1
33,2,39,0.609375,7,0,3,False,2,0,INTERMEDIATE,90.138,2.5799999999999272,11.0,7.445999999999913,1,-1.0,9.87900000000036,42.39399999999978,0,German Grand Prix,1,1,65.35851666666667,1
33,2,40,0.625,6,0,3,False,2,0,INTERMEDIATE,90.207,2.2539999999999054,12.0,9.221000000000004,2,-1.0,5.695999999999913,57.66000000000031,0,German Grand Prix,1,1,66.86196666666666,1
33,2,41,0.640625,7,0,3,False,2,1,INTERMEDIATE,114.838,0.5879999999997381,13.0,9.615999999999984,1,-1.0,2.2979999999997744,61.34699999999975,0,German Grand Prix,1,1,68.77593333333333,1
33,2,42,0.65625,10,0,4,False,2,0,INTERMEDIATE,131.163,2.0440000000007785,1.0,9.100000000000364,1,-13.0,11.462999999999738,26.340000000000146,0,German Grand Prix,1,1,70.96198333333334,1
33,2,43,0.671875,10,0,4,False,2,0,INTERMEDIATE,107.306,1.3260000000000218,2.0,-148.09600000000046,1,-13.0,6.2830000000003565,16.09400000000005,0,German Grand Prix,1,1,72.75041666666667,1
33,2,44,0.6875,10,0,4,False,2,0,INTERMEDIATE,117.124,0.9829999999992652,3.0,-149.95399999999972,2,-13.0,3.2200000000002547,,1,German Grand Prix,1,1,74.70248333333333,1
33,2,45,0.703125,9,0,4,False,2,0,INTERMEDIATE,118.984,0.3919999999998254,4.0,-151.08600000000024,0,-14.0,15.523000000000138,,1,German Grand Prix,1,1,76.68555,1
33,2,46,0.71875,5,0,4,False,2,0,INTERMEDIATE,87.031,0.4170000000003711,5.0,1.9409999999998035,0,0.0,0.0840000000007421,,1,German Grand Prix,1,1,78.13606666666666,1
33,2,47,0.734375,3,0,4,False,2,1,INTERMEDIATE,91.812,0.693000000000211,6.0,-151.59299999999985,0,,6.030000000000655,8.773999999999432,0,German Grand Prix,1,1,79.66626666666667,1
33,2,48,0.75,9,0,5,False,2,0,SOFT,98.078,2.365000000000691,1.0,-149.65200000000004,2,-1.0,4.507999999999811,,1,German Grand Prix,1,1,81.3009,1
33,2,49,0.765625,9,0,5,False,2,0,SOFT,78.592,1.824999999999818,2.0,-148.3010000000004,2,-1.0,1.1500000000005457,,1,German Grand Prix,1,1,82.61076666666666,1
33,2,50,0.78125,9,1,5,False,2,0,SOFT,79.527,0.6679999999996653,3.0,-148.5660000000007,2,-5.0,14.56395000000066,7.333049999999275,1,German Grand Prix,1,1,83.93621666666667,1
33,2,51,0.796875,7,3,5,False,2,0,SOFT,77.59,1.4809999999997674,4.0,1.9200000000000728,1,-1.0,7.333349999999882,13.747650000000249,1,German Grand Prix,1,1,85.22938333333333,1
33,2,52,0.8125,7,4,5,False,2,0,SOFT,78.499,0.9309999999995852,5.0,3.8649999999997817,2,-1.0,5.388350000000173,15.624649999999749,0,German Grand Prix,1,1,86.5377,1
33,2,53,0.828125,7,4,5,False,2,0,SOFT,78.273,0.7910000000001673,6.0,7.63799999999992,2,-1.0,1.615350000000035,18.300650000000132,0,German Grand Prix,1,1,87.84225,1
33,2,54,0.84375,6,4,5,False,2,0,SOFT,77.045,2.9940000000005966,7.0,1.1000000000003638,1,-4.0,8.153349999999591,3.4736500000008164,0,German Grand Prix,1,1,89.12633333333333,1
33,2,55,0.859375,6,4,5,False,2,0,SOFT,77.664,2.1729999999997744,8.0,1.8969999999999343,1,-4.0,7.35635000000002,5.928649999999834,1,German Grand Prix,1,1,90.42073333333332,1
33,2,56,0.875,6,4,5,False,2,0,SOFT,77.723,0.8519999999998618,9.0,2.0450000000000728,1,-4.0,7.208349999999882,9.238650000000234,0,German Grand Prix,1,1,91.71611666666666,1
33,2,57,0.890625,5,4,5,False,2,0,SOFT,107.711,0.6770000000005894,10.0,3.787000000000262,1,-4.0,5.466349999999693,21.282650000000103,0,German Grand Prix,1,1,93.5113,1
33,2,58,0.90625,5,4,5,False,2,0,SOFT,120.494,1.425000000000182,11.0,2.2409999999999854,1,-4.0,7.012349999999969,32.44865000000027,0,German Grand Prix,1,1,95.51953333333331,1
33,2,59,0.921875,5,0,5,False,2,0,SOFT,119.763,0.5570000000006985,12.0,0.2640000000001237,1,-4.0,13.375,,0,German Grand Prix,1,1,97.51558333333334,1
33,2,60,0.9375,4,0,5,False,2,0,SOFT,77.85,0.6719999999986612,13.0,0.8329999999996289,0,-3.0,11.662000000000262,,1,German Grand Prix,1,1,98.81308333333334,1
33,2,61,0.953125,4,0,5,False,2,0,SOFT,77.741,0.5819999999985157,14.0,1.2970000000013897,0,-3.0,9.751999999998588,,1,German Grand Prix,1,1,100.10876666666668,1
33,2,62,0.96875,3,0,5,False,2,0,SOFT,76.823,0.8130000000001019,15.0,-150.28499999999983,2,-2.0,5.8840000000000146,,1,German Grand Prix,1,1,101.38915,1
33,2,63,0.984375,2,0,5,False,2,0,SOFT,76.794,4.332999999998719,16.0,1.1030000000000657,1,-1.0,2.6210000000000946,,1,German Grand Prix,1,1,102.66905,1
33,2,64,1.0,2,0,5,False,2,0,SOFT,80.346,7.333000000000539,17.0,0.9719999999997526,0,-1.0,2.90900000000056,,1,German Grand Prix,1,1,104.00815,1
33,3,1,0.015625,4,0,5,False,2,0,WET,105.105,0.5530000000003383,1.0,5.093999999999994,0,,6.560000000000002,,0,German Grand Prix,1,1,1.1164333333333334,1
33,3,2,0.03125,3,0,0,False,2,0,WET,95.883,2.518999999999778,2.0,12.358000000000004,0,,2.134999999999991,0.4370000000000118,0,German Grand Prix,1,1,2.714483333333334,1
33,3,3,0.046875,3,0,0,False,2,1,WET,123.343,0.6799999999998363,3.0,10.476999999999975,0,,3.86099999999999,0.84699999999998,0,German Grand Prix,1,1,4.7702,1
33,3,4,0.0625,4,0,1,False,2,0,INTERMEDIATE,142.095,0.7310000000002219,1.0,1.198000000000036,1,-3.0,9.29299999999995,,0,German Grand Prix,1,1,7.13845,1
33,3,5,0.078125,3,0,1,False,2,0,INTERMEDIATE,93.888,1.54300000000012,2.0,3.465000000000032,0,,3.701999999999885,,1,German Grand Prix,1,1,8.70325,1
33,3,6,0.09375,3,0,1,False,2,0,INTERMEDIATE,91.181,1.722999999999956,3.0,10.557999999999993,0,,2.4429999999999836,2.69500000000005,0,German Grand Prix,1,1,10.222933333333334,1
33,3,7,0.109375,3,0,1,False,2,0,INTERMEDIATE,90.413,1.4110000000000582,4.0,17.937000000000012,0,,0.3959999999999581,3.3590000000000373,0,German Grand Prix,1,1,11.729816666666666,1
33,3,8,0.125,3,0,1,False,2,0,INTERMEDIATE,90.148,1.5750000000002728,5.0,22.125999999999976,0,,,1.5629999999999882,0,German Grand Prix,1,1,13.232283333333331,1
33,3,9,0.140625,3,0,1,False,2,0,INTERMEDIATE,89.794,1.6840000000001965,6.0,23.56600000000003,0,,,3.0030000000000427,0,German Grand Prix,1,1,14.72885,1
33,3,10,0.15625,3,0,1,False,2,0,INTERMEDIATE,89.574,1.776000000000295,7.0,25.46199999999999,0,,,4.898999999999887,0,German Grand Prix,1,1,16.22175,1
33,3,11,0.171875,3,0,1,False,2,0,INTERMEDIATE,89.934,1.5369999999998072,8.0,26.337999999999965,0,,,5.774999999999864,0,German Grand Prix,1,1,17.72065,1
33,3,12,0.1875,3,0,1,False,2,0,INTERMEDIATE,90.54,1.777000000000044,9.0,27.567999999999984,0,,,7.004999999999882,0,German Grand Prix,1,1,19.22965,1
33,3,13,0.203125,3,0,1,False,2,0,INTERMEDIATE,90.778,1.8139999999998508,10.0,28.146000000000413,0,,,7.583000000000311,0,German Grand Prix,1,1,20.742616666666667,1
