race_id,driver_id,lapno,race_progress,position,fcy_status,pit_stops_so_far,tyre_change_pursuer,track_category,y_pit,current_compound,lap_time,interval,tyre_age,gap_behind_s,n_cars_within_5s_ahead,tyre_age_diff_to_ahead,rejoin_gap_ahead_est_s,rejoin_gap_behind_est_s,close_ahead,race_track,is_wet_race,is_raining,minutes_rain,fulfilled_second_compound,gap_behind_s_missing,tyre_age_diff_to_ahead_missing,rejoin_gap_ahead_est_s_missing,rejoin_gap_behind_est_s_missing,tyre_age_missing
1,1,1,0.01818181818181818,1,0,0,False,3,0,MEDIUM,134.661,0.0,4.0,8.213999999999999,0,,1.3104999999999905,7.217500000000001,0,Abu Dhabi Grand Prix,0,0,0.0,0,0,1,0,0,0
1,1,2,0.03636363636363636,1,0,0,False,3,0,MEDIUM,,0.0,5.0,,0,,,,0,Abu Dhabi Grand Prix,0,0,0.0,0,1,1,1,1,0
1,1,3,0.05454545454545454,1,0,0,False,3,0,MEDIUM,,0.0,6.0,,0,,,,0,Abu Dhabi Grand Prix,0,0,0.0,0,1,1,1,1,0
1,1,4,0.07272727272727272,1,0,0,False,3,0,MEDIUM,,0.0,7.0,,0,,,,0,Abu Dhabi Grand Prix,0,0,0.0,0,1,1,1,1,0
1,1,5,0.09090909090909091,1,0,0,False,3,0,MEDIUM,103.982,0.0,8.0,9.00800000000001,0,,0.16449999999997544,1.6295000000000073,0,Abu Dhabi Grand Prix,0,0,0.0,0,0,1,0,0,0
1,1,6,0.10909090909090909,1,0,0,False,3,0,MEDIUM,104.686,0.0,9.0,9.954000000000008,0,,1.5015000000000782,1.7504999999999882,0,Abu Dhabi Grand Prix,0,0,0.0,0,0,1,0,0,0
1,1,7,0.12727272727272726,1,0,0,False,3,1,MEDIUM,127.36599999999999,0.0,10.0,10.42900000000003,0,,2.304499999999962,1.3335000000000719,0,Abu Dhabi Grand Prix,0,0,0.0,0,0,1,0,0,0
1,1,8,0.14545454545454545,5,0,1,False,3,0,HARD,147.462,0.8449999999997999,1.0,16.444000000000074,4,-10.0,2.9104999999999563,1.1355000000000928,0,Abu Dhabi Grand Prix,0,0,0.0,1,0,0,0,0,0
1,1,9,0.16363636363636364,5,0,1,False,3,0,HARD,104.895,1.3730000000000473,2.0,17.628000000000043,4,-10.0,1.6384999999999081,3.275500000000079,0,Abu Dhabi Grand Prix,0,0,0.0,1,0,0,0,0,0
1,1,10,0.18181818181818182,5,0,1,False,3,0,HARD,105.144,2.4720000000002074,3.0,19.369000000000028,4,-10.0,0.9414999999999054,0.2355000000001155,0,Abu Dhabi Grand Prix,0,0,0.0,1,0,0,0,0,0
