race_id,model_a,model_b,n_valid,pearson,spearman,disagree_rate,total_disagree,a_not_b,b_not_a
18,gru,lstm,527,0.8938233018046666,0.7024661536614915,0.0018975332068311196,1,0,1
18,gru,tcn,527,0.7526842201889397,0.4416883224638941,0.011385199240986717,6,1,5
18,gru,tcn_gru,527,0.6684289757815188,0.4295344025459609,0.013282732447817837,7,1,6
18,lstm,tcn,527,0.7990258947433068,0.3262419889401297,0.009487666034155597,5,1,4
18,lstm,tcn_gru,527,0.7351974626047101,0.5719623726970356,0.011385199240986717,6,1,5
18,tcn,tcn_gru,527,0.6872570439091423,0.5132465756838958,0.017077798861480076,9,4,5
19,gru,lstm,607,0.9098031654948717,0.843216742228285,0.009884678747940691,6,4,2
19,gru,tcn,607,0.9411330155570522,0.6225105873545821,0.008237232289950576,5,2,3
19,gru,tcn_gru,607,0.914321387275177,0.4030838540803703,0.0032948929159802307,2,2,0
19,lstm,tcn,607,0.812738519175554,0.632395963627404,0.018121911037891267,11,4,7
19,lstm,tcn_gru,607,0.8103874128537967,0.5275324338338628,0.013179571663920923,8,4,4
19,tcn,tcn_gru,607,0.9199322197817476,0.6366441047772513,0.008237232289950576,5,4,1
20,gru,lstm,653,0.893165343041907,0.7334836915247404,0.018376722817764167,12,8,4
20,gru,tcn,653,0.8013820364734622,0.6411395043773619,0.02909647779479326,19,13,6
20,gru,tcn_gru,653,0.8069931301730348,0.5370021559490809,0.036753445635528334,24,11,13
20,lstm,tcn,653,0.7641953724029935,0.6381135648096153,0.03215926493108729,21,12,9
20,lstm,tcn_gru,653,0.782776651279933,0.5591047066541365,0.036753445635528334,24,9,15
20,tcn,tcn_gru,653,0.8320306306742647,0.6351620530206775,0.026033690658499236,17,4,13
21,gru,lstm,558,0.8544668661856111,0.8490393356701167,0.05197132616487455,29,28,1
