race_id,row_id,y_true,y_pred,p_max,correct,explained_class,rank,feature,shap_signed,shap_abs,feature_value,group,direction
2,19,0,0,0.9524905681610107,1,HARD,1,race_track,0.8784230947494507,3.6678500175476074,Australian Grand Prix,G_track,push_HARD
2,19,0,0,0.9524905681610107,1,HARD,2,p_xgb_c0,0.7406125068664551,0.7406125068664551,0.9732374548912048,OTHER,push_HARD
2,19,0,0,0.9524905681610107,1,HARD,3,p_ann_c4,0.2896076738834381,0.2896076738834381,0.12807638943195343,OTHER,push_HARD
2,19,0,0,0.9524905681610107,1,HARD,4,p_svm_c0,0.24906794726848602,0.24906794726848602,0.9499177793882043,OTHER,push_HARD
2,19,0,0,0.9524905681610107,1,HARD,5,p_ann_c1,-0.2352083921432495,0.2352083921432495,0.2412654310464859,OTHER,away_HARD
2,19,0,0,0.9524905681610107,1,HARD,6,p_rf_c3,-0.2295914739370346,0.2295914739370346,0.02846496720591413,OTHER,away_HARD
2,18,0,0,0.9456719756126404,1,HARD,1,race_track,0.8687008619308472,3.6501827239990234,Australian Grand Prix,G_track,push_HARD
2,18,0,0,0.9456719756126404,1,HARD,2,p_xgb_c0,0.7321241497993469,0.7321241497993469,0.985741138458252,OTHER,push_HARD
2,18,0,0,0.9456719756126404,1,HARD,3,p_ann_c4,0.2902620732784271,0.2902620732784271,0.12998494505882263,OTHER,push_HARD
2,18,0,0,0.9456719756126404,1,HARD,4,p_svm_c0,0.2365575134754181,0.2365575134754181,0.9601400550327053,OTHER,push_HARD
2,18,0,0,0.9456719756126404,1,HARD,5,p_rf_c3,-0.2345850020647049,0.2345850020647049,0.028485645167342838,OTHER,away_HARD
2,18,0,0,0.9456719756126404,1,HARD,6,race_progress,0.2328098565340042,0.2328098565340042,0.3620689655172414,G_race_phase,push_HARD
2,29,2,0,0.9242076873779297,0,HARD,1,race_track,0.94087815284729,3.597979784011841,Australian Grand Prix,G_track,push_HARD
2,29,2,0,0.9242076873779297,0,HARD,2,p_xgb_c0,0.6797965168952942,0.6797965168952942,0.8929393291473389,OTHER,push_HARD
2,29,2,0,0.9242076873779297,0,HARD,3,p_ann_c4,0.30085986852645874,0.30085986852645874,0.12940171360969543,OTHER,push_HARD
2,29,2,0,0.9242076873779297,0,HARD,4,p_svm_c0,0.22986771166324615,0.22986771166324615,0.9433914145926349,OTHER,push_HARD
2,29,2,0,0.9242076873779297,0,HARD,5,p_rf_c3,-0.22649893164634705,0.22649893164634705,0.037362492236462354,OTHER,away_HARD
2,29,2,0,0.9242076873779297,0,HARD,6,p_rf_c0,0.22359603643417358,0.22359603643417358,0.7606279254697795,OTHER,push_HARD
2,23,2,0,0.9080604314804077,0,HARD,1,race_track,1.0221660137176514,3.5693705081939697,Australian Grand Prix,G_track,push_HARD
2,23,2,0,0.9080604314804077,0,HARD,2,p_xgb_c0,0.6679304242134094,0.6679304242134094,0.8705682754516602,OTHER,push_HARD
2,23,2,0,0.9080604314804077,0,HARD,3,p_ann_c4,0.30205094814300537,0.30205094814300537,0.1305650919675827,OTHER,push_HARD
2,23,2,0,0.9080604314804077,0,HARD,4,p_svm_c0,0.23556916415691376,0.23556916415691376,0.950296244780958,OTHER,push_HARD
2,23,2,0,0.9080604314804077,0,HARD,5,p_rf_c0,0.22537052631378174,0.22537052631378174,0.7601551559301325,OTHER,push_HARD
2,23,2,0,0.9080604314804077,0,HARD,6,p_ann_c1,-0.22456371784210205,0.22456371784210205,0.238215371966362,OTHER,away_HARD
24,479,0,0,0.9783931970596313,1,HARD,1,race_track,0.9957311153411865,3.720578908920288,Austrian Grand Prix,G_track,push_HARD
24,479,0,0,0.9783931970596313,1,HARD,2,p_xgb_c0,0.7263533473014832,0.7263533473014832,0.9711424708366394,OTHER,push_HARD
24,479,0,0,0.9783931970596313,1,HARD,3,p_rf_c1,-0.3028772175312042,0.3028772175312042,0.18384529452303697,OTHER,away_HARD
24,479,0,0,0.9783931970596313,1,HARD,4,p_svm_c0,0.29612618684768677,0.29612618684768677,0.9248392573039321,OTHER,push_HARD
24,479,0,0,0.9783931970596313,1,HARD,5,race_progress,0.22643029689788818,0.22643029689788818,0.3661971830985915,G_race_phase,push_HARD
24,479,0,0,0.9783931970596313,1,HARD,6,p_ann_c1,-0.2191629856824875,0.2191629856824875,0.26996341347694397,OTHER,away_HARD
24,475,0,0,0.9773563146591187,1,HARD,1,race_track,0.9950153827667236,3.6828930377960205,Austrian Grand Prix,G_track,push_HARD
24,475,0,0,0.9773563146591187,1,HARD,2,p_xgb_c0,0.7263707518577576,0.7263707518577576,0.9736850261688232,OTHER,push_HARD
24,475,0,0,0.9773563146591187,1,HARD,3,p_rf_c1,-0.3028772175312042,0.3028772175312042,0.18389244654114337,OTHER,away_HARD
24,475,0,0,0.9773563146591187,1,HARD,4,p_svm_c0,0.29612618684768677,0.29612618684768677,0.9245138763790886,OTHER,push_HARD
24,475,0,0,0.9773563146591187,1,HARD,5,p_ann_c1,-0.23141472041606903,0.23141472041606903,0.2686944007873535,OTHER,away_HARD
24,475,0,0,0.9773563146591187,1,HARD,6,race_progress,0.23114654421806335,0.23114654421806335,0.3943661971830985,G_race_phase,push_HARD
24,481,1,0,0.7172508835792542,0,HARD,1,race_track,1.0828824043273926,3.976795196533203,Austrian Grand Prix,G_track,push_HARD
24,481,1,0,0.7172508835792542,0,HARD,2,p_svm_c0,0.2916267514228821,0.2916267514228821,0.7414386015285742,OTHER,push_HARD
