feature,mean_abs_shap,class,rank,group
row_id_a85df79e0956dda0acbeb41a194b0eeab840bf1f,0.0,HARD,83,OTHER
row_id_a860e4b7f7f37c55a843c1c88697fdf0ed70fe7f,0.0,HARD,84,OTHER
row_id_a869bea0339589b5053a67624a3d54a0ffd18a4c,0.0,HARD,85,OTHER
row_id_a86c393556a96297ee5e334928f22096077ae076,0.0,HARD,86,OTHER
row_id_ab30b819692d95819a9d939155c9506e6df450c9,0.0,HARD,87,OTHER
row_id_a8899a4970d47b3bdfb56a0b67553798127e51e0,0.0,HARD,88,OTHER
row_id_a89cc831ea30d099ae6d804e7e84f78edc032320,0.0,HARD,89,OTHER
row_id_a8ac63c230b934452b551f2c528396808bd5740a,0.0,HARD,90,OTHER
row_id_a8ad25fb7da6da01c508426cbee82f9453c417ff,0.0,HARD,91,OTHER
row_id_a8cd44ada11a6e40bb90536d4be4392658659965,0.0,HARD,92,OTHER
row_id_a8d1ebc1b03a3b8e6279d0a991c61844274178cf,0.0,HARD,93,OTHER
row_id_a8d29691e72455c1d51fa712e9e0be15d8996d5a,0.0,HARD,94,OTHER
row_id_a8df4beb09ea5f583768c127d7b05dd69a137929,0.0,HARD,95,OTHER
row_id_a90256fb1c4e3e2d121e1eea8f1a51bcecb443d2,0.0,HARD,96,OTHER
row_id_a908356f5745527951ba9e57d95c210d9538a8d5,0.0,HARD,97,OTHER
row_id_a9106d40f6c91beb9494ed63c20474f935cdffc9,0.0,HARD,98,OTHER
row_id_a9325031104702df71df6b68c2ab390e4882bc4a,0.0,HARD,99,OTHER
row_id_a95d5f7a386617764e44c94ad2426debeea12362,0.0,HARD,100,OTHER
row_id_a9641837999fda66831f4c39802b164506e08ccd,0.0,HARD,101,OTHER
row_id_ab2398cb827fa468b8a1d09abe7b7d5f545a8b2e,0.0,HARD,102,OTHER
row_id_ac914b6b819c27e7affabac72c0c96435e66bea1,0.0,HARD,103,OTHER
row_id_ab3aa6961abd7f2a156d9e82443ffeaa7cb18f4f,0.0,HARD,104,OTHER
row_id_ae2a0ddb1009923d0e69ca6c04819ae2d1dfccff,0.0,HARD,105,OTHER
row_id_adb0b9c1c969eab1d837c50e13fdc49cdca1965a,0.0,HARD,106,OTHER
row_id_adbb174bb617b6666b7c583236b3482beae13474,0.0,HARD,107,OTHER
row_id_adc668af963332babf8e9f01c5e2a0d6f30a18bd,0.0,HARD,108,OTHER
row_id_adca210e1abad80ecc56c58b5845a82c9775fe99,0.0,HARD,109,OTHER
row_id_adcbd781706c3c0b94839fc23b19c0784a9fe194,0.0,HARD,110,OTHER
row_id_addc17567324bfb95c07f87a0fb87cc5d96d3b25,0.0,HARD,111,OTHER
row_id_adfb9cdd711a4403ef9df3e6d8d531559f2ba356,0.0,HARD,112,OTHER
row_id_ae0185c1034505fd4ca9806f02bc7ee67ce16732,0.0,HARD,113,OTHER
row_id_ae123b85378858e5b2edd50af77eac0a081e08bb,0.0,HARD,114,OTHER
row_id_ae14647af6f95addc9d6adc160f21f9fa17275cd,0.0,HARD,115,OTHER
row_id_ae168d1a6ca08cd794d35920721c3ca037c8737f,0.0,HARD,116,OTHER
row_id_ae2112d3dad4ea681aabddf6a76329505937bb39,0.0,HARD,117,OTHER
row_id_ae26b6737e6d4e3025a3c70e4fe3430af05e4bda,0.0,HARD,118,OTHER
row_id_ae2938081c29ea0268fef23377e9db93d8aeccca,0.0,HARD,119,OTHER
row_id_ae33e9ba9b29abc390383ca4197720bfe3bef70b,0.0,HARD,120,OTHER
row_id_ab5909a024728c681359ed6fe1a5d84901b8d9db,0.0,HARD,121,OTHER
row_id_ae35c1081b50f8327dab528fa5697abd51db54f5,0.0,HARD,122,OTHER
row_id_ae3d3cef26696e04c35f8129f5afbb727c5287f2,0.0,HARD,123,OTHER
row_id_ae49349bc82cac8371cbbbd3c3a4f871f98d5a6b,0.0,HARD,124,OTHER
row_id_ae56cd64e280e0f5a9a5252a93d0ad8ce7723937,0.0,HARD,125,OTHER
row_id_ae5beb363bd2bac256dc45d8bc514c9d0fe57ade,0.0,HARD,126,OTHER
row_id_ae66ab673d33190b17111419679984c58a0ced8c,0.0,HARD,127,OTHER
row_id_ae74f71a1c4583170ac702e6f1a4c648cefaab15,0.0,HARD,128,OTHER
row_id_ae8a02e32d6d1e28b95cf6fbf09d121ac3ea7ad0,0.0,HARD,129,OTHER
row_id_ae8c1b9acbd609086418717667b37ecd2c39abe8,0.0,HARD,130,OTHER
row_id_aea51470ebd7004f558821108396acf44f632954,0.0,HARD,131,OTHER
row_id_aeb3d8961f0c5a645852651d1d968c4e74670ed2,0.0,HARD,132,OTHER
row_id_aebdc79b1ea75fc189dbced2318976863354c641,0.0,HARD,133,OTHER
row_id_aec254788ffc1dbddfc364dbd66d65d8cdd3308a,0.0,HARD,134,OTHER
row_id_aefd44854ce699fd5f71abae7a12c61505a94c1a,0.0,HARD,135,OTHER
row_id_ad8c740ff4327e48432587c75c56d38268a82283,0.0,HARD,136,OTHER
row_id_ad7c8d563561bc066f09664a9f13ab44796a1361,0.0,HARD,137,OTHER
row_id_ad4f440664eec57bcd88d7d418058ba04056aeca,0.0,HARD,138,OTHER
row_id_ad2d8cf9b189fb1bf60dc551151db3d34a27e649,0.0,HARD,139,OTHER
row_id_ab8010d2b34c2be4455df7ed06d019a102ce846f,0.0,HARD,140,OTHER
row_id_ab827513289102747233bcb252ef3e68e188605f,0.0,HARD,141,OTHER
row_id_ab8590f6723193f8b97f31fc028892d9d15e4b8e,0.0,HARD,142,OTHER
row_id_ab8d0085a36bf48e2355e16a966d5bab2e2174c1,0.0,HARD,143,OTHER
row_id_abb16b42523d5b8781c2b39eecabdbf0e42acdf2,0.0,HARD,144,OTHER
row_id_abcfcb30463a017b0a6456d5c03a0978872251f0,0.0,HARD,145,OTHER
row_id_abd2333c562597af67b18552914d9264aeed7f9e,0.0,HARD,146,OTHER
row_id_ac0cb5aac9307fe2095cb74d76aa280abfbed9a2,0.0,HARD,147,OTHER
row_id_ac101cbe5cbbf6968125ba098f75c8a3e26e7d01,0.0,HARD,148,OTHER
row_id_ac1ded36a419e4729c183088cd79aff8eb0e2557,0.0,HARD,149,OTHER
row_id_ac38a064f1889632254b6670ad6ce408ab3f54dd,0.0,HARD,150,OTHER
row_id_ac3a52d2fa61303dd02c230b8d79b3d9986628c0,0.0,HARD,151,OTHER
row_id_ac3ac67d4bcfe8cc8737f8e8e08bab2241480c60,0.0,HARD,152,OTHER
row_id_ac3c5272beba6db96c2e35e8c1ff9119f3584734,0.0,HARD,153,OTHER
row_id_ac4383d38d4030bde1142ad6d2d810d816704f52,0.0,HARD,154,OTHER
row_id_ac70b42141bfe9f1579db8f2bd2e799f46a6443d,0.0,HARD,155,OTHER
row_id_a7ed565e7e60a5a4e717ba8dd958eb60d1816eaf,0.0,HARD,156,OTHER
row_id_ac940b1c92f359a34ec6fe1deacc1f29e62415f4,0.0,HARD,157,OTHER
row_id_ac9e9536a07a1c96e1e43fb44cca7f6c409fbe84,0.0,HARD,158,OTHER
row_id_aca9dd381af59b4f8ffd76d56e87920a3b8ba087,0.0,HARD,159,OTHER
row_id_acd98c06a36097ed0c42fea21a37dd1fd7c145f3,0.0,HARD,160,OTHER
row_id_ace98f148817f2d4c396baf4232c7e2004e6a226,0.0,HARD,161,OTHER
row_id_acf0508c37c044f23b22b071f8ae5a5d929beb59,0.0,HARD,162,OTHER
row_id_acf8d3941ab7c24eac45e44d8ff6d45778702441,0.0,HARD,163,OTHER
row_id_ad0cdd10ef0f26975f96387eb30ef9487914d9dc,0.0,HARD,164,OTHER
row_id_ad0e53f9b10a3ccd65e948349c7169f5324d9600,0.0,HARD,165,OTHER
row_id_ad0e815c132196c1e01501d001742b2a85aa605b,0.0,HARD,166,OTHER
row_id_ad240f5e7df0fa3982deece24a791a5715037696,0.0,HARD,167,OTHER
row_id_ad2c7fd7b34b850f08da6b290657d799658c3065,0.0,HARD,168,OTHER
row_id_a801f43d3f474a21ce1008be6e047e47f07d9e48,0.0,HARD,169,OTHER
row_id_a68d31cc320f6e13d9f4d2c1e3356fec31d9076d,0.0,HARD,170,OTHER
row_id_a7e7f85135653143e30618cf25754719371eab7a,0.0,HARD,171,OTHER
row_id_a2fc0c25239f34ab0f8b16eddcbb2e6747203bb6,0.0,HARD,172,OTHER
row_id_a245c023ecec0538b8e2ea434d9a43933c128886,0.0,HARD,173,OTHER
row_id_a249b6b520502099e6ea0595dd0428753fd2a7ba,0.0,HARD,174,OTHER
row_id_a24b73ff93608e804e7979bfc2d85acbcd8bd075,0.0,HARD,175,OTHER
row_id_a252fdb30d23f47b974080d9ed49a15498099896,0.0,HARD,176,OTHER
row_id_a285d50fda78cb0a0e63f0d825849ed26f0354a4,0.0,HARD,177,OTHER
row_id_a2909469c440c5c5292a1acfe31ddad95b14f640,0.0,HARD,178,OTHER
row_id_a29454d02d44a50bdce3a4d64376170b0c518a7d,0.0,HARD,179,OTHER
