slice_col,slice_value,rank_group,ablation_name,delta_PR_AUC_vs_ref
slice_track_cat,3,BEST,stream_p_svm,-0.36247263210328606
slice_track_cat,3,WORST,stream_p_svm,-0.36247263210328606
slice_track_cat,3,WORST,stream_p_rf,-0.3706955454256503
slice_track_cat,3,WORST,stream_p_ann,-0.5555946379069763
slice_traffic,CLEAN_AIR,BEST,stream_tcn_proba,0.0
slice_traffic,CLEAN_AIR,BEST,stream_p_xgb,-0.21570685593370525
slice_traffic,CLEAN_AIR,BEST,stream_p_rf,-0.3623483592539115
slice_traffic,CLEAN_AIR,WORST,stream_p_rf,-0.3623483592539115
slice_traffic,CLEAN_AIR,WORST,stream_p_svm,-0.37161682541600954
slice_traffic,CLEAN_AIR,WORST,stream_p_ann,-0.5313033049673658
slice_traffic,IN_TRAFFIC,BEST,stream_tcn_proba,0.0
slice_traffic,IN_TRAFFIC,BEST,stream_p_xgb,-0.187000045297185
slice_traffic,IN_TRAFFIC,BEST,stream_p_rf,-0.3296324610768796
slice_traffic,IN_TRAFFIC,WORST,stream_p_rf,-0.3296324610768796
slice_traffic,IN_TRAFFIC,WORST,stream_p_svm,-0.3417774842671405
slice_traffic,IN_TRAFFIC,WORST,stream_p_ann,-0.5339463795244299
slice_traffic_x_undercut,CLEAN_AIR×NO_PRESSURE,BEST,stream_tcn_proba,0.0
slice_traffic_x_undercut,CLEAN_AIR×NO_PRESSURE,BEST,stream_p_xgb,-0.22006340193150897
slice_traffic_x_undercut,CLEAN_AIR×NO_PRESSURE,BEST,stream_p_rf,-0.36757290589947933
slice_traffic_x_undercut,CLEAN_AIR×NO_PRESSURE,WORST,stream_p_rf,-0.36757290589947933
slice_traffic_x_undercut,CLEAN_AIR×NO_PRESSURE,WORST,stream_p_svm,-0.37967274705847565
slice_traffic_x_undercut,CLEAN_AIR×NO_PRESSURE,WORST,stream_p_ann,-0.5277482486960463
slice_traffic_x_undercut,IN_TRAFFIC×NO_PRESSURE,BEST,stream_tcn_proba,0.0
slice_traffic_x_undercut,IN_TRAFFIC×NO_PRESSURE,BEST,stream_p_xgb,-0.19724363208229595
slice_traffic_x_undercut,IN_TRAFFIC×NO_PRESSURE,BEST,stream_p_rf,-0.3304547413073052
slice_traffic_x_undercut,IN_TRAFFIC×NO_PRESSURE,WORST,stream_p_rf,-0.3304547413073052
slice_traffic_x_undercut,IN_TRAFFIC×NO_PRESSURE,WORST,stream_p_svm,-0.34370918205794815
slice_traffic_x_undercut,IN_TRAFFIC×NO_PRESSURE,WORST,stream_p_ann,-0.5335041585540947
slice_tyre_age_bin,0_5,BEST,stream_p_xgb,0.05666444434288162
slice_tyre_age_bin,0_5,BEST,stream_p_rf,0.02421280135333395
slice_tyre_age_bin,0_5,BEST,stream_tcn_proba,0.0
slice_tyre_age_bin,0_5,WORST,stream_tcn_proba,0.0
slice_tyre_age_bin,0_5,WORST,stream_p_svm,-0.007971810821737285
slice_tyre_age_bin,0_5,WORST,stream_p_ann,-0.044645689310332456
slice_tyre_age_bin,16_plus,BEST,stream_tcn_proba,0.0
slice_tyre_age_bin,16_plus,BEST,stream_p_xgb,-0.2403138254707749
slice_tyre_age_bin,16_plus,BEST,stream_p_svm,-0.39714987157900417
slice_tyre_age_bin,16_plus,WORST,stream_p_svm,-0.39714987157900417
slice_tyre_age_bin,16_plus,WORST,stream_p_rf,-0.41597967785837453
slice_tyre_age_bin,16_plus,WORST,stream_p_ann,-0.6225055711659709
slice_tyre_age_bin,6_15,BEST,stream_tcn_proba,0.0
slice_tyre_age_bin,6_15,BEST,stream_p_xgb,-0.1684651746555279
slice_tyre_age_bin,6_15,BEST,stream_p_rf,-0.2831318705553816
slice_tyre_age_bin,6_15,WORST,stream_p_rf,-0.2831318705553816
slice_tyre_age_bin,6_15,WORST,stream_p_svm,-0.3332709345033387
slice_tyre_age_bin,6_15,WORST,stream_p_ann,-0.3773159327415565
slice_undercut_pressure,NO_PRESSURE,BEST,stream_tcn_proba,0.0
slice_undercut_pressure,NO_PRESSURE,BEST,stream_p_xgb,-0.21525037749301623
slice_undercut_pressure,NO_PRESSURE,BEST,stream_p_rf,-0.36191066824662094
slice_undercut_pressure,NO_PRESSURE,WORST,stream_p_rf,-0.36191066824662094
slice_undercut_pressure,NO_PRESSURE,WORST,stream_p_svm,-0.3757848077505584
slice_undercut_pressure,NO_PRESSURE,WORST,stream_p_ann,-0.5293862588973525
slice_wetness,DRY,BEST,stream_tcn_proba,0.0
slice_wetness,DRY,BEST,stream_p_xgb,-0.20584646362177283
slice_wetness,DRY,BEST,stream_p_rf,-0.3694274670200876
slice_wetness,DRY,WORST,stream_p_rf,-0.3694274670200876
slice_wetness,DRY,WORST,stream_p_svm,-0.38251106526119766
slice_wetness,DRY,WORST,stream_p_ann,-0.5584417951412913
slice_wetness,POST_RAIN,BEST,stream_tcn_proba,0.0
slice_wetness,POST_RAIN,BEST,stream_p_xgb,-0.09636266949458694
slice_wetness,POST_RAIN,BEST,stream_p_svm,-0.15764716246687704
slice_wetness,POST_RAIN,WORST,stream_p_svm,-0.15764716246687704
slice_wetness,POST_RAIN,WORST,stream_p_rf,-0.25319901789138
slice_wetness,POST_RAIN,WORST,stream_p_ann,-0.37998841251147947
slice_wetness_x_fcy,DRY×GREEN,BEST,stream_tcn_proba,0.0
slice_wetness_x_fcy,DRY×GREEN,BEST,stream_p_xgb,-0.20584646362177283
slice_wetness_x_fcy,DRY×GREEN,BEST,stream_p_rf,-0.3694274670200876
slice_wetness_x_fcy,DRY×GREEN,WORST,stream_p_rf,-0.3694274670200876
slice_wetness_x_fcy,DRY×GREEN,WORST,stream_p_svm,-0.38251106526119766
slice_wetness_x_fcy,DRY×GREEN,WORST,stream_p_ann,-0.5584417951412913
slice_wetness_x_fcy,POST_RAIN×GREEN,BEST,stream_tcn_proba,0.0
slice_wetness_x_fcy,POST_RAIN×GREEN,BEST,stream_p_xgb,-0.09636266949458694
slice_wetness_x_fcy,POST_RAIN×GREEN,BEST,stream_p_svm,-0.15764716246687704
slice_wetness_x_fcy,POST_RAIN×GREEN,WORST,stream_p_svm,-0.15764716246687704
slice_wetness_x_fcy,POST_RAIN×GREEN,WORST,stream_p_rf,-0.25319901789138
slice_wetness_x_fcy,POST_RAIN×GREEN,WORST,stream_p_ann,-0.37998841251147947
