slice_col,slice_value,ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_n_rows,mean_n_pos,mean_pos_rate,ref_PR_AUC,ref_LogLoss,ref_F1,delta_PR_AUC_vs_ref,delta_LogLoss_vs_ref,delta_F1_vs_ref
slice_fcy,GREEN,stream_p_ann,0.07364575760423284,0.01091225264068007,0.30291718305047577,0.11037965027292003,0.10633913296814286,0.014919984867887802,0.11655003568156105,0.2004607426945698,19424.8,553.4,0.028490855085948896,0.6060966614109813,0.1367699438807553,0.6190055632210718,-0.5324509038067484,0.16614723916972046,-0.5126664302529289
slice_fcy,GREEN,stream_p_rf,0.24844384536871938,0.04450263746066781,0.1011738882610691,0.008595194223664627,0.2772860364840682,0.03106123830184451,0.23585420305238514,0.35886866933206035,19424.8,553.4,0.028490855085948896,0.6060966614109813,0.1367699438807553,0.6190055632210718,-0.3576528160422619,-0.03559605561968621,-0.3417195267370036
slice_fcy,GREEN,stream_p_svm,0.23718463739745904,0.0476481579520446,0.19853737590595588,0.0656457600567962,0.31238426048879697,0.033907296197156704,0.2470157699669439,0.43125412069307634,19424.8,553.4,0.028490855085948896,0.6060966614109813,0.1367699438807553,0.6190055632210718,-0.36891202401352224,0.061767432025200575,-0.30662130273227484
slice_fcy,GREEN,stream_p_xgb,0.3963835924016866,0.06670257712341372,0.08952910582299038,0.012878334782170837,0.4342426087532399,0.06195488619407627,0.40024992456654107,0.4979508282851547,19424.8,553.4,0.028490855085948896,0.6060966614109813,0.1367699438807553,0.6190055632210718,-0.2097130690092947,-0.047240838057764925,-0.18476295446783192
slice_fcy,GREEN,stream_tcn_proba,0.6060966614109813,0.049076052275604846,0.1367699438807553,0.03407381413732353,0.6190055632210718,0.029071331616462824,0.7030078328137088,0.5563375730104982,19424.8,553.4,0.028490855085948896,0.6060966614109813,0.1367699438807553,0.6190055632210718,0.0,0.0,0.0
slice_phase_x_traffic,early×CLEAN_AIR,stream_p_ann,0.09115561342952914,0.03689064889757827,0.37917279555690636,0.15730310763966004,0.11618772176347199,0.03495785002704416,0.10921852583252326,0.25274138904573684,4708.6,159.2,0.03382761868809076,0.5961191149398977,0.1642843148675897,0.5790974746437498,-0.5049635015103685,0.21488848068931665,-0.46290975288027786
slice_phase_x_traffic,early×CLEAN_AIR,stream_p_rf,0.27906901677278917,0.0917773832710937,0.11605214346702084,0.012421848995858353,0.28680520855319,0.06737708390580789,0.329236795143885,0.3107262845849802,4708.6,159.2,0.03382761868809076,0.5961191149398977,0.1642843148675897,0.5790974746437498,-0.3170500981671085,-0.048232171400568874,-0.2922922660905598
slice_phase_x_traffic,early×CLEAN_AIR,stream_p_svm,0.2233839732248551,0.0595300307128687,0.24573971437474113,0.16264173882326496,0.3033896737315308,0.027658817263611583,0.2893069442768642,0.3490542066629023,4708.6,159.2,0.03382761868809076,0.5961191149398977,0.1642843148675897,0.5790974746437498,-0.3727351417150426,0.08145539950715142,-0.275707800912219
slice_phase_x_traffic,early×CLEAN_AIR,stream_p_xgb,0.39171009470012463,0.08873982814943045,0.10689375285161337,0.020791027155401792,0.3997748109638321,0.0713081763373759,0.41215141990382465,0.4226263410502541,4708.6,159.2,0.03382761868809076,0.5961191149398977,0.1642843148675897,0.5790974746437498,-0.20440902023977303,-0.05739056201597634,-0.17932266367991773
slice_phase_x_traffic,early×CLEAN_AIR,stream_tcn_proba,0.5961191149398977,0.07032770532827809,0.1642843148675897,0.030919072734438648,0.5790974746437498,0.05686418970871302,0.6862531198030515,0.5121887351778656,4708.6,159.2,0.03382761868809076,0.5961191149398977,0.1642843148675897,0.5790974746437498,0.0,0.0,0.0
