ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.4883310296007982,,0.908043815147706,,0.43648699576682015,,0.45044559191317746,0.43591894902503425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_G_pit_stops_left_only,0.4860418296367742,,0.9528357952344279,,0.4350132473997522,,0.44899811387561106,0.43457058190915643,-0.0022891999640239913,0.044791980086721805,-0.0014737483670679286,-0.0014474780375663965,-0.0013483671158778243,0.0022891999640239913,0.044791980086721805
drop_G_race_control_weather,0.46847001183451653,,0.9665893935234292,,0.4091652795178433,,0.4354465445131373,0.4206975252066135,-0.019861017766281686,0.05854557837572316,-0.027321716248976835,-0.014999047400040155,-0.015221423818420732,0.019861017766281686,0.05854557837572316
drop_G_race_phase,0.48053620589920953,,0.9538779709421027,,0.4305381781535275,,0.4490105525665597,0.4243322387869209,-0.007794823701588682,0.04583415579439665,-0.005948817613292634,-0.0014350393466177613,-0.011586710238113362,0.007794823701588682,0.04583415579439665
drop_G_rejoin_window,0.4834782198434232,,0.9194047099473331,,0.4340783565487998,,0.44527983101790863,0.4339373867403323,-0.0048528097573750095,0.011360894799627097,-0.0024086392180203697,-0.005165760895268823,-0.0019815622847019765,0.0048528097573750095,0.011360894799627097
drop_G_strategy_history,0.48278330265627895,,0.9673065520223364,,0.42897935167624013,,0.44236495461572556,0.42872933363621274,-0.005547726944519271,0.05926273687463035,-0.0075076440905800235,-0.008080637297451898,-0.007189615388821513,0.005547726944519271,0.05926273687463035
drop_G_track_context,0.4765257194452202,,0.9463532551772992,,0.4277287263170583,,0.43183864048625786,0.42734973173438473,-0.011805310155578008,0.038309440029593134,-0.008758269449761824,-0.018606951426919593,-0.008569217290649522,0.011805310155578008,0.038309440029593134
drop_G_traffic_gap_context,0.48304003137704293,,0.9206197116222339,,0.4331619809704418,,0.4446830327634266,0.43295251091604825,-0.005290998223755283,0.012575896474527837,-0.003325014796378367,-0.005762559149750879,-0.0029664381089860026,0.005290998223755283,0.012575896474527837
drop_G_tyre_state,0.4224262390386473,,1.0397393478778012,,0.3508665416597237,,0.36669686164412896,0.3567839826068588,-0.06590479056215093,0.13169553273009516,-0.08562045410709646,-0.0837487302690485,-0.07913496641817547,0.06590479056215093,0.13169553273009516
