model,n_folds,total_rows,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,logloss_mean,logloss_std,macro_pr_auc_ovr_mean,macro_pr_auc_ovr_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std
rf,5,4240,0.6337402404736252,0.021123872697658315,0.497235978472646,0.03735368727174731,0.6258270444083536,0.02026374370183469,0.5173785611401466,0.038916668177581076,0.5146315638563267,0.05126487007814538,0.8742828051701201,0.037433868308961296,0.5411274761466853,0.04873308144575009,0.8752746250472995,0.007012457432960953
meta,5,4240,0.6233352775786629,0.026786726229498795,0.48441715130686214,0.06936707849627367,0.618185961258279,0.020007392081354543,0.5076601383650192,0.07297993440303965,0.5015475728765776,0.0846233177361371,0.9085948176806438,0.05913385503123401,0.5575043474271231,0.05822467808411672,0.8385912000657694,0.05063943217762123
xgb,5,4240,0.6185789378068991,0.03988419078552656,0.4684314405502592,0.03471611202118628,0.6122796066168666,0.03114824047370805,0.4997507657358419,0.05342606958493399,0.4739912440766325,0.04821843962088234,0.923238812878241,0.06804498079857293,0.521597179822885,0.05902391872702013,0.85941602698521,0.02211433142649927
svm,5,4240,0.6040092393404792,0.02021476310659336,0.45030999243390174,0.05253477296212687,0.6003347128857606,0.019608734847379905,0.47262835304267925,0.06776570997214552,0.4498413878882099,0.04745394428097975,0.9416662824472274,0.04767275537543457,0.5084677363140748,0.056128036885957834,0.8588889596212699,0.02166821602858546
tcn_gru,5,4240,0.5419594698818185,0.054895788451868294,0.40350602008974723,0.038296925398085,0.5493879645966004,0.04524985887516544,0.4180536669763166,0.03628699086842517,0.4554644450289417,0.09936172734969989,1.2292936878804608,0.1310320063841585,0.4402418675487182,0.04406456582847804,0.8316030020220284,0.018654112543130978
