rows,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,logloss,macro_pr_auc_ovr,macro_roc_auc_ovr,model,fold
849,0.6489988221436984,0.45741956882255386,0.6343763319249845,0.5455708394405498,0.444640735592775,0.8506646109824945,0.5513911182728086,0.8802984004891599,rf,0
849,0.6607773851590106,0.4572810132221079,0.6435582686640847,0.5590495137046861,0.4498290489323293,0.9108317754306348,0.5324154465929152,0.8790041366480242,xgb,0
849,0.6360424028268551,0.46363230977243897,0.6277557478474701,0.5279581202028006,0.44909864995791116,0.933349739649227,0.5294124839775944,0.8824800581913804,svm,0
849,0.5889281507656066,0.4106238835132331,0.581110251976676,0.4355924895619772,0.4096177697748213,1.0883573567929512,0.479011735900293,0.8423902193026496,tcn_gru,0
849,0.6454652532391049,0.4569441374755946,0.6293939165840923,0.5463893835929285,0.4417331596344794,0.8499988486324873,0.5590992489732579,0.8220490049664942,meta,0
845,0.6473372781065089,0.5109817419085939,0.6448575579745062,0.5283644018206793,0.4990687963377618,0.8456373526729806,0.5709546205371953,0.8684987484453709,rf,1
845,0.5597633136094674,0.44984023737930734,0.567993511424751,0.4885825248115189,0.43474752450614523,0.9419051623086123,0.5391869706634399,0.8444060548027019,xgb,1
845,0.6082840236686391,0.4950839102419902,0.614017644600483,0.5164133014156468,0.4872521271831617,0.9352368129828759,0.5393310231966583,0.8367999821828696,svm,1
845,0.5017751479289941,0.38469069055986527,0.5102273237203726,0.4535728950610135,0.38173549285963077,1.348107710448082,0.44955388442099037,0.803814622436333,tcn_gru,1
845,0.6165680473372781,0.4976250885357464,0.6223629342284733,0.5096641316764936,0.4923352540180126,0.9288046950003319,0.5353165873875949,0.7758617683681388,meta,1
848,0.6379716981132075,0.4725058152274902,0.6304969781232137,0.4502783339538,0.5273544277602878,0.9385697186391989,0.48012493913682375,0.8700335715291958,rf,2
848,0.6285377358490566,0.44386863222020495,0.6199229002562148,0.432199504510603,0.46717293411115096,0.9944230914899713,0.4437724691130098,0.8365398507886077,xgb,2
848,0.5860849056603774,0.3601315060277604,0.5821877295760193,0.3601883559669389,0.3717790554533281,0.9891314831767426,0.4241461673256334,0.8446667499281437,svm,2
848,0.6108490566037735,0.4595058744132953,0.6114000888745431,0.4320120789528211,0.534209129456554,1.2090048057886857,0.46109421769613573,0.8424327340708823,tcn_gru,2
848,0.5919811320754716,0.3829639327788705,0.5917421775866994,0.38082130894464666,0.4100216650715526,0.9821064090505786,0.6078331031524631,0.8651420020677513,meta,2
849,0.5971731448763251,0.5534986354396886,0.591462172987319,0.5425260455307882,0.5868058645096057,0.8715658815812796,0.5038094472163224,,rf,3
849,0.5995288574793876,0.4618712640310541,0.5941238300602483,0.4705731447447473,0.46081267273340065,0.9550583320168379,0.4904880902239389,,xgb,3
849,0.5877502944640753,0.45608888652922364,0.5871170253127783,0.46114262684048485,0.4524150994270307,0.9809486037601656,0.48246631374224885,,svm,3
849,0.48645465253239106,0.35542604959640645,0.5095374846505262,0.35947237674534765,0.3642581732389619,1.379702093001021,0.36474949796501577,,tcn_gru,3
849,0.6065959952885748,0.5680622713957775,0.6050379326172328,0.5523157185008786,0.6249297269969666,0.9364439059925993,0.47160641675945847,,meta,3
849,0.6372202591283863,0.49177413096490347,0.6279421810317447,0.5201531849549154,0.5152879950812032,0.8649764619746468,0.5993572555702762,0.8822677797254714,rf,4
849,0.6442873969375736,0.5292960558986216,0.6357995226790343,0.5483491409076537,0.5573940401001366,0.8139757031451493,0.6021229225211209,0.8777140657015059,xgb,4
849,0.6018845700824499,0.4766133495980956,0.590595417092052,0.49743936078752543,0.48866200741961763,0.8696647726671262,0.5669826933282389,0.8716090481826857,svm,4
849,0.5217903415783275,0.4072836023659362,0.534664673760884,0.40961849456042343,0.5875016598147406,1.1212964733715638,0.44680000176115636,0.8377744322782485,tcn_gru,4
849,0.6560659599528857,0.5164903263483218,0.6423928452748964,0.5491101491101491,0.5387180586618769,0.8456202297272218,0.6136663808628409,0.8913120248606934,meta,4
