race_id,driver_id,lapno,race_progress,position,fcy_status,pit_stops_so_far,tyre_change_pursuer,track_category,y_pit,current_compound,lap_time,interval,tyre_age,close_ahead,race_track,rained_yet,is_raining,minutes_rain,fulfilled_second_compound
1,3,55,0.9482758620689655,1,0,2,False,3,0,HARD,93.185,0.0,17,0,Melbourne,,,,1
1,3,56,0.9655172413793104,1,0,2,False,3,0,HARD,93.309,0.0,18,0,Melbourne,,,,1
1,3,57,0.9827586206896551,1,0,2,False,3,0,HARD,93.857,0.0,19,0,Melbourne,,,,1
1,4,0,0.0,4,0,2,False,3,0,MEDIUM,,,2,0,Melbourne,,,,0
1,4,1,0.017241379310344827,3,0,0,False,3,0,MEDIUM,105.402,1.853,3,1,Melbourne,,,,0
1,4,2,0.034482758620689655,3,0,0,False,3,0,MEDIUM,97.435,1.829,4,0,Melbourne,,,,0
1,4,3,0.05172413793103448,3,0,0,False,3,0,MEDIUM,97.917,3.425,5,0,Melbourne,,,,0
1,4,4,0.06896551724137931,3,0,0,False,3,0,MEDIUM,96.796,4.255,6,1,Melbourne,,,,0
1,4,5,0.08620689655172414,3,0,0,False,3,0,MEDIUM,96.766,4.356,7,0,Melbourne,,,,0
1,4,6,0.10344827586206896,3,0,0,False,3,0,MEDIUM,95.857,4.733,8,1,Melbourne,,,,0
1,4,7,0.1206896551724138,3,0,0,False,3,0,MEDIUM,95.446,4.855,9,1,Melbourne,,,,0
1,4,8,0.13793103448275862,3,0,0,False,3,0,MEDIUM,95.752,5.519,10,0,Melbourne,,,,0
1,4,9,0.15517241379310345,3,0,0,False,3,0,MEDIUM,95.74,6.214,11,0,Melbourne,,,,0
1,4,10,0.1724137931034483,3,0,0,False,3,0,MEDIUM,95.555,6.709,12,0,Melbourne,,,,0
1,4,11,0.1896551724137931,3,0,0,False,3,0,MEDIUM,96.194,6.564,13,0,Melbourne,,,,0
1,4,12,0.20689655172413793,3,3,0,False,3,1,MEDIUM,136.538,7.875,14,0,Melbourne,,,,0
1,4,13,0.22413793103448276,3,4,1,False,3,0,MEDIUM,135.46,0.787,1,0,Melbourne,,,,0
1,4,14,0.2413793103448276,3,4,1,False,3,0,MEDIUM,140.764,0.83,2,1,Melbourne,,,,0
1,4,15,0.25862068965517243,3,0,1,False,3,0,MEDIUM,134.334,0.639,3,1,Melbourne,,,,0
1,4,16,0.27586206896551724,3,0,1,False,3,0,MEDIUM,95.433,0.657,4,1,Melbourne,,,,0
1,4,17,0.29310344827586204,3,0,1,False,3,0,MEDIUM,94.139,0.73,5,1,Melbourne,,,,0
1,4,18,0.3103448275862069,3,0,1,False,3,0,MEDIUM,94.035,0.882,6,0,Melbourne,,,,0
1,4,19,0.3275862068965517,3,0,1,False,3,0,MEDIUM,94.654,1.567,7,0,Melbourne,,,,0
1,4,20,0.3448275862068966,3,0,1,False,3,0,MEDIUM,94.867,2.294,8,0,Melbourne,,,,0
1,4,21,0.3620689655172414,3,0,1,False,3,0,MEDIUM,94.374,2.852,9,0,Melbourne,,,,0
1,4,22,0.3793103448275862,3,0,1,False,3,0,MEDIUM,94.131,3.157,10,0,Melbourne,,,,0
1,4,23,0.39655172413793105,3,0,1,False,3,0,MEDIUM,94.551,3.45,11,0,Melbourne,,,,0
1,4,24,0.41379310344827586,3,0,1,False,3,0,MEDIUM,94.439,3.085,12,0,Melbourne,,,,0
1,4,25,0.43103448275862066,3,0,1,False,3,0,MEDIUM,95.368,3.176,13,0,Melbourne,,,,0
1,4,26,0.4482758620689655,3,0,1,False,3,0,MEDIUM,95.86,4.163,14,0,Melbourne,,,,0
1,4,27,0.46551724137931033,3,0,1,False,3,0,MEDIUM,96.614,5.678,15,0,Melbourne,,,,0
1,4,28,0.4827586206896552,3,0,1,False,3,0,MEDIUM,96.231,6.941,16,0,Melbourne,,,,0
1,4,29,0.5,3,0,1,False,3,0,MEDIUM,96.264,8.092,17,0,Melbourne,,,,0
1,4,30,0.5172413793103449,3,0,1,False,3,0,MEDIUM,95.727,7.843,18,0,Melbourne,,,,0
1,4,31,0.5344827586206896,3,0,1,False,3,0,MEDIUM,95.505,7.9,19,0,Melbourne,,,,0
1,4,32,0.5517241379310345,3,0,1,False,3,0,MEDIUM,95.626,6.987,20,0,Melbourne,,,,0
1,4,33,0.5689655172413793,3,0,1,False,3,0,MEDIUM,95.2,7.157,21,0,Melbourne,,,,0
1,4,34,0.5862068965517241,3,0,1,False,3,0,MEDIUM,94.904,6.415,22,0,Melbourne,,,,0
1,4,35,0.603448275862069,3,0,1,False,3,0,MEDIUM,94.728,5.859,23,0,Melbourne,,,,0
1,4,36,0.6206896551724138,2,0,1,False,3,0,MEDIUM,94.995,24.368,24,0,Melbourne,,,,0
1,4,37,0.6379310344827587,2,0,1,False,3,1,MEDIUM,112.635,41.813,25,0,Melbourne,,,,0
1,4,38,0.6551724137931034,3,0,2,False,3,0,HARD,99.13,2.277,1,0,Melbourne,,,,1
1,4,39,0.6724137931034483,3,0,2,False,3,0,HARD,92.917,1.15,2,0,Melbourne,,,,1
1,4,40,0.6896551724137931,3,0,2,False,3,0,HARD,93.898,1.294,3,0,Melbourne,,,,1
1,4,41,0.7068965517241379,3,0,2,False,3,0,HARD,93.144,0.881,4,0,Melbourne,,,,1
1,4,42,0.7241379310344828,3,0,2,False,3,0,HARD,93.742,1.372,5,0,Melbourne,,,,1
1,4,43,0.7413793103448276,3,0,2,False,3,0,HARD,93.718,1.188,6,0,Melbourne,,,,1
1,4,44,0.7586206896551724,3,0,2,False,3,0,HARD,93.112,1.008,7,0,Melbourne,,,,1
1,4,45,0.7758620689655172,3,0,2,False,3,0,HARD,94.356,1.422,8,0,Melbourne,,,,1
1,4,46,0.7931034482758621,3,0,2,False,3,0,HARD,94.404,1.143,9,0,Melbourne,,,,1
1,4,47,0.8103448275862069,3,0,2,False,3,0,HARD,95.249,1.137,10,0,Melbourne,,,,1
1,4,48,0.8275862068965517,3,0,2,False,3,0,HARD,93.866,1.263,11,0,Melbourne,,,,1
1,4,49,0.8448275862068966,3,0,2,False,3,0,HARD,92.997,1.194,12,0,Melbourne,,,,1
1,4,50,0.8620689655172413,3,0,2,False,3,0,HARD,92.987,0.95,13,0,Melbourne,,,,1
1,4,51,0.8793103448275862,3,0,2,False,3,0,HARD,93.152,0.767,14,0,Melbourne,,,,1
1,4,52,0.896551724137931,3,0,2,False,3,0,HARD,93.307,0.925,15,0,Melbourne,,,,1
1,4,53,0.9137931034482759,3,0,2,False,3,0,HARD,94.237,1.694,16,0,Melbourne,,,,1
1,4,54,0.9310344827586207,3,0,2,False,3,0,HARD,93.771,2.04,17,0,Melbourne,,,,1
1,4,55,0.9482758620689655,3,0,2,False,3,0,HARD,93.441,2.114,18,0,Melbourne,,,,1
