number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.5577609186105384,2026-02-04 23:24:38.894766,2026-02-05 00:00:03.508234,0 days 00:35:24.613468,0.4936111842654619,3.005575058716044,0.08960785365368121,8,2,1124,4.330880728874676,0.0018747059221802516,40.381112767087885,0.8394633936788146,COMPLETE
1,0.5344986488190473,2026-02-05 00:00:03.515337,2026-02-05 00:28:45.734180,0 days 00:28:42.218843,0.5090949803242604,2.1597250932105787,0.12106896936002161,8,2,345,2.6237821581611893,0.026892128247368887,26.646294743608884,0.6849356442713105,COMPLETE
2,0.5976622582764957,2026-02-05 00:28:45.756110,2026-02-05 02:56:59.321459,0 days 02:28:13.565349,0.6736419905302216,2.9620728443102124,0.023993242906812727,2,8,1646,2.571172192068058,0.008674832802525461,18.580937406325,0.7465447373174767,COMPLETE
3,0.6017170903169169,2026-02-05 02:56:59.326291,2026-02-05 04:45:18.269721,0 days 01:48:18.943430,0.9793792198447356,3.4211651325607844,0.012151617026673379,3,9,1637,0.48836057003191935,0.027000447632122594,31.553257348384555,0.9795542149013333,COMPLETE
