fold,n_valid,accuracy,precision,recall,f1,roc_auc,pr_auc,logloss
0,2988,0.9009370816599732,0.0703125,0.23684210526315788,0.10843373493975904,0.6693853021978022,0.05971218366628671,0.26876755073990494
1,2958,0.9587559161595672,0.045454545454545456,0.00980392156862745,0.016129032258064516,0.62341063876531,0.06441338550827258,0.17467520237086262
2,2877,0.9680222453945082,0.0,0.0,0.0,0.709359144485208,0.0868173155224242,0.17063981648258345
3,2771,0.9769036448935402,0.0,0.0,0.0,0.6342988086442556,0.06121439221813628,0.16021171493830846
4,2972,0.9572678331090175,0.1111111111111111,0.05434782608695652,0.072992700729927,0.6568727355072463,0.07499772670529387,0.22280581626233362
