fold,n_valid,best_iteration,accuracy,precision_macro,recall_macro,f1_macro,logloss
0,854,20,0.5936768149882904,0.3794984313070595,0.38499869636973355,0.36668553196446707,0.9786194670289141
1,854,27,0.6088992974238876,0.42361330229108607,0.41460481262433363,0.41492255539273354,0.9241966677577385
2,858,19,0.5652680652680653,0.41325722615952437,0.3676087709804815,0.3801309460052063,1.0221241056396058
3,860,24,0.6093023255813953,0.44815991026517343,0.4633239795728235,0.45138814284910156,0.9294739612924791
4,854,42,0.6370023419203747,0.5135279563798341,0.4889115073163557,0.4941553252340255,0.8349784094423347
