fold,n_valid,best_iteration,accuracy,precision,recall,f1,roc_auc,pr_auc,logloss
0,19462,344,0.9550405919227212,0.31724137931034485,0.6388888888888888,0.423963133640553,0.9388655917759726,0.4987679745883284,0.11098987855270358
1,19541,19,0.8935571362775703,0.1634446397188049,0.6788321167883211,0.26345609065155806,0.8883532196456552,0.2621688658063379,0.29354815653968214
2,19260,0,0.8288681204569055,0.10573065902578796,0.6783088235294118,0.18294496777392166,0.8182939868215934,0.16419248908549963,0.6329657389458943
3,19399,0,0.761894943038301,0.08681341287800864,0.7009966777408638,0.15449386783818414,0.7788037233622316,0.10515416327917075,0.6362998568999991
4,19462,0,0.7082519782139554,0.06563509607209658,0.6783831282952548,0.11968992248062016,0.7487062233834293,0.07625587324946842,0.6440505815737216
