ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.44033518511293207,0.10207162735774955,1.2900164596920942,0.2070857878774186,0.3754286994365323,0.13918949833191424,0.39274997037913195,0.41809102387404085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_G_race_control_weather,0.3976063495652457,0.051980581809905425,1.2387502672143076,0.13892369525885204,0.3637592833079705,0.11690569239243684,0.402110914029896,0.38656848141448175,-0.04272883554768636,-0.05126619247778663,-0.01166941612856176,0.009360943650764064,-0.0315225424595591,0.04272883554768636,-0.05126619247778663
drop_G_race_phase,0.4294498445975897,0.07227359698201577,1.254794537886898,0.2982984682903593,0.4224499140403509,0.046671869443597684,0.42243377275525873,0.4438041150550359,-0.010885340515342345,-0.03522192180519612,0.04702121460381864,0.029683802376126778,0.025713091180995074,0.010885340515342345,-0.03522192180519612
drop_G_rejoin_window,0.44182399034263586,0.05138945286207114,1.385210190434623,0.2347327529860546,0.36711618908236887,0.11730463503067101,0.41724963437423374,0.39190490389023014,0.0014888052297037935,0.09519373074252879,-0.008312510354163416,0.024499663995101784,-0.026186119983810707,-0.0014888052297037935,0.09519373074252879
drop_G_strategy_history,0.45006232494201565,0.068624650444755,1.1656193482130988,0.07758837326069579,0.37971521313747847,0.1526027570877669,0.3762934354159845,0.4234020653783716,0.009727139829083575,-0.12439711147899546,0.004286513700946182,-0.016456534963147473,0.00531104150433076,-0.009727139829083575,-0.12439711147899546
drop_G_track_context,0.4362698402275965,0.05680744710106442,1.2454624022683114,0.1295788410201523,0.3646746550585648,0.10337233278018376,0.3828485338360118,0.39135746158742396,-0.004065344885335553,-0.04455405742378282,-0.010754044377967509,-0.009901436543120146,-0.026733562286616885,0.004065344885335553,-0.04455405742378282
drop_G_traffic_gap_context,0.45304668724010905,0.07426330070815576,1.2578637825836303,0.19417306774344484,0.37324419508042195,0.12765802487589747,0.39125492131098716,0.4098672365962776,0.012711502127176977,-0.03215267710846392,-0.0021845043561103394,-0.0014950490681447937,-0.00822378727776324,-0.012711502127176977,-0.03215267710846392
drop_G_tyre_state,0.4001132970348162,0.08077349235846117,1.2984230076049348,0.2240175800122674,0.30969326308115175,0.1466317101325953,0.31728163417847577,0.35912116840990577,-0.040221888078115886,0.008406547912840567,-0.06573543635538054,-0.07546833620065618,-0.05896985546413508,0.040221888078115886,0.008406547912840567
