ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.5029340277696954,,0.9227853164221738,,0.42542948381067475,,0.4420656904288139,0.4245735345681899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_G_race_control_weather,0.47223001693675054,,0.9848774881701975,,0.3948365554010524,,0.4672021824070093,0.40610745270243054,-0.030704010832944884,0.06209217174802373,-0.030592928409622355,0.025136491978195397,-0.018466081865759376,0.030704010832944884,0.06209217174802373
drop_G_race_phase,0.4992722243952207,,0.9841418986044369,,0.43863675790512546,,0.46695567346263733,0.42749225394196594,-0.003661803374474748,0.06135658218226314,0.013207274094450716,0.02488998303382345,0.002918719373776024,0.003661803374474748,0.06135658218226314
drop_G_rejoin_window,0.4976910940518519,,0.9416701037934788,,0.43115920155625354,,0.44860191997878857,0.4318250325962206,-0.005242933717843512,0.018884787371305056,0.0057297177455787884,0.006536229549974681,0.007251498028030712,0.005242933717843512,0.018884787371305056
drop_G_strategy_history,0.495371238384401,,0.9344095335583095,,0.4298326578255362,,0.44456147893360576,0.42951364736170294,-0.007562789385294422,0.011624217136135706,0.004403174014861455,0.0024957885047918738,0.0049401127935130296,0.007562789385294422,0.011624217136135706
drop_G_track_context,0.4770086290266776,,0.9599267596759415,,0.43829671801151804,,0.44502635267107865,0.4362963301341349,-0.025925398743017802,0.03714144325376778,0.012867234200843292,0.0029606622422647666,0.011722795565944966,0.025925398743017802,0.03714144325376778
drop_G_traffic_gap_context,0.4990083835903353,,0.9287183836880777,,0.43275030014665594,,0.4481450895443511,0.4338363401867415,-0.003925644179360144,0.005933067265903924,0.007320816335981195,0.006079399115537232,0.009262805618551584,0.003925644179360144,0.005933067265903924
drop_G_tyre_state,0.43044177805903383,,1.0679248764255442,,0.35904029850351404,,0.37743874395773036,0.3658462261266166,-0.0724922497106616,0.14513956000337047,-0.0663891853071607,-0.06462694647108352,-0.05872730844157331,0.0724922497106616,0.14513956000337047
