fold,n_valid,accuracy,precision_macro,recall_macro,f1_macro,logloss
0,417,0.41247002398081534,0.34160380160380155,0.31733085545084516,0.30417239264345125,1.2140408088639119
1,418,0.47368421052631576,0.400713257673644,0.34612251547735423,0.33053154710458077,1.0800347884564403
2,418,0.5167464114832536,0.5926960591375365,0.4273530641239554,0.4433699338361523,1.1303508746763078
3,418,0.5095693779904307,0.2947516591468673,0.3125591058562381,0.2951827667248919,1.1895488994388785
4,410,0.47560975609756095,0.472081631198936,0.343094838348616,0.3314136120618791,1.1270583374505367
