number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,state
31,1.4177760115268294,2026-02-26 11:11:40.706085,2026-02-26 11:11:43.390685,0 days 00:00:02.684600,1.1983778713078364,5,sigmoid,,,linear,16211.0,0.000689919457758249,PRUNED
32,1.1611775075150088,2026-02-26 11:11:43.414469,2026-02-26 11:11:43.779033,0 days 00:00:00.364564,0.0038796886816621335,5,sigmoid,,,linear,12035.0,0.003232325702368217,COMPLETE
33,1.163084181762469,2026-02-26 11:11:43.813006,2026-02-26 11:11:44.173167,0 days 00:00:00.360161,0.002005451147653505,5,sigmoid,,,linear,11884.0,0.001412575119462864,COMPLETE
34,1.1616487112413274,2026-02-26 11:11:44.199330,2026-02-26 11:11:44.582779,0 days 00:00:00.383449,0.004741482901937035,5,sigmoid,,,linear,13753.0,0.0001482869717141767,COMPLETE
35,1.3483019731083559,2026-02-26 11:11:44.608445,2026-02-26 11:11:45.060765,0 days 00:00:00.452320,0.023750230043832275,5,isotonic,,,linear,15560.0,0.0003461742497374849,PRUNED
36,1.356505695940019,2026-02-26 11:11:45.083790,2026-02-26 11:11:46.417932,0 days 00:00:01.334142,0.017837167251450695,3,sigmoid,balanced,0.030892144003612475,rbf,,,PRUNED
37,1.161893544502671,2026-02-26 11:11:46.441841,2026-02-26 11:11:46.818043,0 days 00:00:00.376202,0.004988742336799623,5,sigmoid,,,linear,12484.0,0.003615063425169337,COMPLETE
38,2.1027085719048175,2026-02-26 11:11:46.845967,2026-02-26 11:11:47.829193,0 days 00:00:00.983226,0.1048549848199652,5,isotonic,balanced,,linear,18693.0,6.83826333111646e-05,PRUNED
39,1.150494092666484,2026-02-26 11:11:47.853484,2026-02-26 11:11:48.163917,0 days 00:00:00.310433,0.001955116882910721,3,sigmoid,,,linear,13986.0,0.0013622084992200721,COMPLETE
40,1.4093508333084537,2026-02-26 11:11:48.209341,2026-02-26 11:11:49.516720,0 days 00:00:01.307379,0.017377355590176925,3,sigmoid,balanced,0.06179099378323133,rbf,,,PRUNED
41,1.352190701579648,2026-02-26 11:11:49.540181,2026-02-26 11:11:49.819948,0 days 00:00:00.279767,0.001801493621209157,3,isotonic,,,linear,14840.0,0.0017163718393650358,COMPLETE
42,1.1483792117267584,2026-02-26 11:11:49.845547,2026-02-26 11:11:50.142350,0 days 00:00:00.296803,0.0027579716228857275,3,sigmoid,,,linear,13801.0,0.0008942978515543303,COMPLETE
43,1.1512840047834065,2026-02-26 11:11:50.186790,2026-02-26 11:11:50.490827,0 days 00:00:00.304037,0.0018130852029934223,3,sigmoid,,,linear,11800.0,0.004548302137444393,COMPLETE
44,1.1524020353922353,2026-02-26 11:11:50.516774,2026-02-26 11:11:50.819909,0 days 00:00:00.303135,0.0016538288141923281,3,sigmoid,,,linear,11640.0,0.004876422907994433,COMPLETE
45,1.1494323006660256,2026-02-26 11:11:50.846658,2026-02-26 11:11:51.146375,0 days 00:00:00.299717,0.0022169380041035303,3,sigmoid,,,linear,9680.0,0.00484555248448766,COMPLETE
46,1.153549057528896,2026-02-26 11:11:51.175487,2026-02-26 11:11:51.496639,0 days 00:00:00.321152,0.0015216817663398633,3,sigmoid,,,linear,5525.0,0.004084195666416769,COMPLETE
47,1.1576466983737757,2026-02-26 11:11:51.523288,2026-02-26 11:11:51.819767,0 days 00:00:00.296479,0.0011909406662637518,3,sigmoid,,,linear,10202.0,0.005576687858594515,COMPLETE
48,1.2826505496900644,2026-02-26 11:11:51.848019,2026-02-26 11:11:52.850949,0 days 00:00:01.002930,0.01458583101025885,3,sigmoid,,0.0007216810248930895,rbf,,,PRUNED
49,1.150678158315568,2026-02-26 11:11:52.874834,2026-02-26 11:11:53.175788,0 days 00:00:00.300954,0.0019193175491652227,3,sigmoid,,,linear,9218.0,0.005439347712236622,COMPLETE
