number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,state
138,1.2463776865232328,2026-02-26 11:12:36.113204,2026-02-26 11:12:36.390812,0 days 00:00:00.277608,0.0037973668512081555,3,sigmoid,balanced,,linear,3178.0,0.0007893968219822542,PRUNED
139,1.2448345734468755,2026-02-26 11:12:36.422340,2026-02-26 11:12:36.692126,0 days 00:00:00.269786,0.007987594165949378,3,sigmoid,,,linear,4538.0,0.0027356753822501017,PRUNED
140,1.149779172551341,2026-02-26 11:12:36.715358,2026-02-26 11:12:37.081805,0 days 00:00:00.366447,0.0021179709062564066,3,sigmoid,,,linear,5470.0,0.002035782068103468,COMPLETE
141,1.1529203492183,2026-02-26 11:12:37.108982,2026-02-26 11:12:37.477593,0 days 00:00:00.368611,0.0015904770737697029,3,sigmoid,,,linear,6266.0,0.0005262303923458396,COMPLETE
142,1.148304000325091,2026-02-26 11:12:37.505039,2026-02-26 11:12:37.850375,0 days 00:00:00.345336,0.0028474872247304353,3,sigmoid,,,linear,7737.0,0.001318915283544957,COMPLETE
143,1.2130743336274572,2026-02-26 11:12:37.890019,2026-02-26 11:12:38.149725,0 days 00:00:00.259706,0.0030412135090386004,3,sigmoid,,,linear,6886.0,0.0009513372489791539,PRUNED
144,1.2248576190166107,2026-02-26 11:12:38.173714,2026-02-26 11:12:38.455565,0 days 00:00:00.281851,0.004742495014613657,3,sigmoid,,,linear,4221.0,0.0011076652890330677,PRUNED
145,1.1490082663208487,2026-02-26 11:12:38.487431,2026-02-26 11:12:38.838153,0 days 00:00:00.350722,0.002367034180927314,3,sigmoid,,,linear,7645.0,2.6531577284285632e-05,COMPLETE
146,1.2317082557502748,2026-02-26 11:12:38.866679,2026-02-26 11:12:39.139204,0 days 00:00:00.272525,0.005777408359982552,3,sigmoid,,,linear,11449.0,0.001402472427936195,PRUNED
147,1.2159940145288821,2026-02-26 11:12:39.164244,2026-02-26 11:12:39.418091,0 days 00:00:00.253847,0.003466850810289466,3,sigmoid,,,linear,6074.0,0.0006238612858231556,PRUNED
148,1.3629201860710083,2026-02-26 11:12:39.442874,2026-02-26 11:12:39.805167,0 days 00:00:00.362293,0.004372086837913529,3,isotonic,,,linear,13138.0,0.0004074813416739803,COMPLETE
149,1.1518106642749684,2026-02-26 11:12:39.850492,2026-02-26 11:12:40.231112,0 days 00:00:00.380620,0.0017336098656705622,3,sigmoid,,,linear,3465.0,0.0008566633981805655,COMPLETE
150,1.2904934019580983,2026-02-26 11:12:40.260484,2026-02-26 11:12:41.256696,0 days 00:00:00.996212,0.01119673048141139,3,sigmoid,,0.0002584846743706993,rbf,,,PRUNED
151,1.211706500720746,2026-02-26 11:12:41.281761,2026-02-26 11:12:41.521425,0 days 00:00:00.239664,0.0028283499483706676,3,sigmoid,,,linear,5582.0,0.0006725188300938823,PRUNED
152,1.1486134135596333,2026-02-26 11:12:41.547986,2026-02-26 11:12:41.893026,0 days 00:00:00.345040,0.002567996095635997,3,sigmoid,,,linear,7211.0,0.0012543766855139882,COMPLETE
153,1.2141197898176597,2026-02-26 11:12:41.930423,2026-02-26 11:12:42.192080,0 days 00:00:00.261657,0.0031977770618797853,3,sigmoid,,,linear,7842.0,0.001778951452020775,PRUNED
154,1.1499423502892392,2026-02-26 11:12:42.217309,2026-02-26 11:12:42.555565,0 days 00:00:00.338256,0.0020764098011440994,3,sigmoid,,,linear,8036.0,0.0013269901668466956,COMPLETE
155,1.2193899994921316,2026-02-26 11:12:42.590913,2026-02-26 11:12:42.836086,0 days 00:00:00.245173,0.003950992965734169,3,sigmoid,,,linear,8270.0,0.000818367803025725,PRUNED
156,1.2225078080046485,2026-02-26 11:12:42.860940,2026-02-26 11:12:43.176336,0 days 00:00:00.315396,0.002548539190519983,5,sigmoid,,,linear,6596.0,0.0005169457328753963,PRUNED
157,1.1533057093950896,2026-02-26 11:12:43.201600,2026-02-26 11:12:43.466547,0 days 00:00:00.264947,0.00102294078295534,3,sigmoid,,,linear,8757.0,0.0010685921339964384,PRUNED
158,1.2353469630580647,2026-02-26 11:12:43.491979,2026-02-26 11:12:43.766176,0 days 00:00:00.274197,0.006354848253750833,3,sigmoid,,,linear,4809.0,0.00035982442279748085,PRUNED
159,1.1516393319532887,2026-02-26 11:12:43.790827,2026-02-26 11:12:44.164675,0 days 00:00:00.373848,0.0017588863698233639,3,sigmoid,,,linear,3995.0,0.0023360765751047345,COMPLETE
160,1.2114153024708216,2026-02-26 11:12:44.200265,2026-02-26 11:12:44.442209,0 days 00:00:00.241944,0.002781926353253137,3,sigmoid,,,linear,5121.0,0.0007309007368938995,PRUNED
161,1.2522349812796023,2026-02-26 11:12:44.465028,2026-02-26 11:12:44.710350,0 days 00:00:00.245322,0.004521048315836707,3,sigmoid,balanced,,linear,15489.0,0.0005743930617769986,PRUNED
162,1.2146771252173674,2026-02-26 11:12:44.735530,2026-02-26 11:12:45.037402,0 days 00:00:00.301872,0.0032781577855608658,3,sigmoid,,,linear,4614.0,0.0010077015375668022,PRUNED
163,1.1494045291465071,2026-02-26 11:12:45.102080,2026-02-26 11:12:45.455439,0 days 00:00:00.353359,0.002225224857897393,3,sigmoid,,,linear,3745.0,0.0013571577177019954,COMPLETE
164,1.211969908507343,2026-02-26 11:12:45.490603,2026-02-26 11:12:45.734950,0 days 00:00:00.244347,0.0028701404300307937,3,sigmoid,,,linear,4378.0,0.0009407053757469662,PRUNED
165,1.1473472803495333,2026-02-26 11:12:45.761748,2026-02-26 11:12:46.053259,0 days 00:00:00.291511,0.0014596448268890366,3,sigmoid,,,linear,5861.0,0.0004350423046248031,PRUNED
166,1.216820944604283,2026-02-26 11:12:46.088353,2026-02-26 11:12:46.361904,0 days 00:00:00.273551,0.0035845786331748434,3,sigmoid,,,linear,2831.0,0.0015712341567597698,PRUNED
167,1.150558379586707,2026-02-26 11:12:46.389338,2026-02-26 11:12:46.709263,0 days 00:00:00.319925,0.0019421885196117346,3,sigmoid,,,linear,7471.0,0.0006997104571865608,COMPLETE
168,1.2288953280553412,2026-02-26 11:12:46.742452,2026-02-26 11:12:46.977379,0 days 00:00:00.234927,0.00534383413202262,3,sigmoid,,,linear,5320.0,0.001185517868228683,PRUNED
169,1.1487380006260508,2026-02-26 11:12:47.003392,2026-02-26 11:12:47.322730,0 days 00:00:00.319338,0.0024945359301836935,3,sigmoid,,,linear,6888.0,0.0008236767361005907,COMPLETE
170,1.2196670614224405,2026-02-26 11:12:47.356211,2026-02-26 11:12:47.613752,0 days 00:00:00.257541,0.00399063121104545,3,sigmoid,,,linear,4145.0,0.00030314975893879387,PRUNED
171,1.3224584892856308,2026-02-26 11:12:47.640548,2026-02-26 11:12:47.957683,0 days 00:00:00.317135,0.0013382461862117894,3,isotonic,,,linear,3294.0,0.0005510971541678308,COMPLETE
172,1.1484902146212699,2026-02-26 11:12:47.996714,2026-02-26 11:12:48.336746,0 days 00:00:00.340032,0.002656679951501724,3,sigmoid,,,linear,11019.0,0.00045565116330100223,COMPLETE
173,1.2134321379068465,2026-02-26 11:12:48.371338,2026-02-26 11:12:48.617499,0 days 00:00:00.246161,0.0030952025093015415,3,sigmoid,,,linear,12562.0,0.0004812679627773772,PRUNED
174,1.1493001354888097,2026-02-26 11:12:48.644655,2026-02-26 11:12:50.075744,0 days 00:00:01.431089,0.0022589482262895563,3,sigmoid,,,linear,10136.0,0.0006146174316171365,COMPLETE
175,1.2252398357262981,2026-02-26 11:12:50.108322,2026-02-26 11:12:50.353316,0 days 00:00:00.244994,0.0047985731707696445,3,sigmoid,,,linear,9146.0,0.000994883112273475,PRUNED
176,1.2163744251835562,2026-02-26 11:12:50.380856,2026-02-26 11:12:50.618306,0 days 00:00:00.237450,0.0035209615812712503,3,sigmoid,,,linear,6203.0,0.0007499780445937618,PRUNED
177,1.1504809537534253,2026-02-26 11:12:50.649925,2026-02-26 11:12:51.007424,0 days 00:00:00.357499,0.0019577135813886337,3,sigmoid,,,linear,3607.0,0.00036366725239536267,COMPLETE
178,1.270947007942774,2026-02-26 11:12:51.037927,2026-02-26 11:12:52.081888,0 days 00:00:01.043961,0.011117989721426932,3,sigmoid,,0.007537002799398255,rbf,,,PRUNED
179,1.2238857826379186,2026-02-26 11:12:52.127871,2026-02-26 11:12:52.458669,0 days 00:00:00.330798,0.0027922424017022534,5,sigmoid,,,linear,4775.0,0.0009082159231194539,PRUNED
180,1.1519908663325507,2026-02-26 11:12:52.487567,2026-02-26 11:12:52.820748,0 days 00:00:00.333181,0.0017081491642915998,3,sigmoid,,,linear,4364.0,0.00045460937275847407,COMPLETE
181,1.22115343056937,2026-02-26 11:12:52.853194,2026-02-26 11:12:53.106102,0 days 00:00:00.252908,0.004204368482627497,3,sigmoid,,,linear,9498.0,0.001838263427336846,PRUNED
182,1.2110246001941902,2026-02-26 11:12:53.141192,2026-02-26 11:12:53.391333,0 days 00:00:00.250141,0.002718868873002883,3,sigmoid,,,linear,10597.0,0.00040830863625278995,PRUNED
183,1.1487763031436395,2026-02-26 11:12:53.421970,2026-02-26 11:12:53.755771,0 days 00:00:00.333801,0.002474087955533443,3,sigmoid,,,linear,11462.0,0.000519635524057615,COMPLETE
184,1.2144408527724573,2026-02-26 11:12:53.792589,2026-02-26 11:12:54.030118,0 days 00:00:00.237529,0.003244122904017175,3,sigmoid,,,linear,5246.0,0.00025504205127649724,PRUNED
185,1.1492370735906234,2026-02-26 11:12:54.056182,2026-02-26 11:12:54.394292,0 days 00:00:00.338110,0.002280419653607992,3,sigmoid,,,linear,9778.0,0.0006102881341217847,COMPLETE
186,1.2189352049306956,2026-02-26 11:12:54.431488,2026-02-26 11:12:54.680300,0 days 00:00:00.248812,0.003885845058807805,3,sigmoid,,,linear,3991.0,0.000689959859328477,PRUNED
187,1.2295493760722944,2026-02-26 11:12:54.705588,2026-02-26 11:12:54.955960,0 days 00:00:00.250372,0.005443309635745245,3,sigmoid,,,linear,10483.0,0.0011040052592711134,PRUNED
188,1.4436597179040012,2026-02-26 11:12:54.982192,2026-02-26 11:12:56.700028,0 days 00:00:01.717836,2.4367918167684115,3,sigmoid,,,linear,11134.0,0.00044214391179774395,PRUNED
189,1.2119074958063332,2026-02-26 11:12:56.739748,2026-02-26 11:12:56.975325,0 days 00:00:00.235577,0.00286022979693905,3,sigmoid,,,linear,6519.0,0.000821912001514072,PRUNED
190,1.2291348420109036,2026-02-26 11:12:57.001088,2026-02-26 11:12:57.254731,0 days 00:00:00.253643,0.0018405009458955443,3,sigmoid,balanced,,linear,5673.0,0.0013887128800891596,PRUNED
191,1.2393746880551852,2026-02-26 11:12:57.279573,2026-02-26 11:12:57.535633,0 days 00:00:00.256060,0.007023019258528437,3,sigmoid,,,linear,13995.0,0.00033305126362492035,PRUNED
192,1.148503805201646,2026-02-26 11:12:57.561564,2026-02-26 11:12:57.877621,0 days 00:00:00.316057,0.002644985184713979,3,sigmoid,,,linear,6151.0,0.000516040585034868,COMPLETE
193,1.21502119543279,2026-02-26 11:12:57.905693,2026-02-26 11:12:58.156852,0 days 00:00:00.251159,0.003327559407633336,3,sigmoid,,,linear,6939.0,0.0005099379836760607,PRUNED
194,1.148659558116575,2026-02-26 11:12:58.181585,2026-02-26 11:12:58.495585,0 days 00:00:00.314000,0.0025394828785188224,3,sigmoid,,,linear,6253.0,0.0006061594307823405,COMPLETE
195,1.1495963147067885,2026-02-26 11:12:58.531782,2026-02-26 11:12:58.855069,0 days 00:00:00.323287,0.002167418068130922,3,sigmoid,,,linear,5915.0,0.00040285202499703156,COMPLETE
196,1.2238279646413852,2026-02-26 11:12:58.884965,2026-02-26 11:12:59.127316,0 days 00:00:00.242351,0.004592414812631265,3,sigmoid,,,linear,2639.0,0.0007215456996097809,PRUNED
197,1.2158952997259123,2026-02-26 11:12:59.161827,2026-02-26 11:12:59.414798,0 days 00:00:00.252971,0.0034527810409891602,3,sigmoid,,,linear,4910.0,0.0008833221175727812,PRUNED
198,1.148301778683713,2026-02-26 11:12:59.440501,2026-02-26 11:12:59.703905,0 days 00:00:00.263404,0.0013594246413961484,3,sigmoid,,,linear,3110.0,5.5789822544901986e-05,PRUNED
199,1.2113791837136505,2026-02-26 11:12:59.738275,2026-02-26 11:12:59.988202,0 days 00:00:00.249927,0.0027761003171710855,3,sigmoid,,,linear,12173.0,0.0005148916282663555,PRUNED
200,1.1513172040070754,2026-02-26 11:13:00.017203,2026-02-26 11:13:00.372179,0 days 00:00:00.354976,0.0018085377346103038,3,sigmoid,,,linear,3785.0,0.0011910214080611175,COMPLETE
201,1.361711984494017,2026-02-26 11:13:00.402973,2026-02-26 11:13:00.751279,0 days 00:00:00.348306,0.0038645075042682215,3,isotonic,,,linear,8250.0,0.0006426136125480316,COMPLETE
202,1.211706875942396,2026-02-26 11:13:00.791947,2026-02-26 11:13:01.058992,0 days 00:00:00.267045,0.0028283549308634787,3,sigmoid,,,linear,6000.0,0.00047267519510670036,PRUNED
203,1.1492184813688218,2026-02-26 11:13:01.085054,2026-02-26 11:13:01.490893,0 days 00:00:00.405839,0.002286780570911862,3,sigmoid,,,linear,6575.0,0.0005417951721071891,COMPLETE
204,1.212015752794423,2026-02-26 11:13:01.519796,2026-02-26 11:13:01.771194,0 days 00:00:00.251398,0.002877363052847165,3,sigmoid,,,linear,7347.0,0.0003144506642753345,PRUNED
205,1.2181107137041716,2026-02-26 11:13:01.796582,2026-02-26 11:13:02.039474,0 days 00:00:00.242892,0.0037680402530923976,3,sigmoid,,,linear,4534.0,0.0007589339958914385,PRUNED
206,1.1496649008775135,2026-02-26 11:13:02.064610,2026-02-26 11:13:02.407104,0 days 00:00:00.342494,0.0021483466193997227,3,sigmoid,,,linear,5492.0,0.0010088087373710827,COMPLETE
207,1.146266756231233,2026-02-26 11:13:02.454465,2026-02-26 11:13:02.705450,0 days 00:00:00.250985,0.0016096023393259592,3,sigmoid,,,linear,13159.0,0.00039918213920660733,PRUNED
208,1.2238366166675978,2026-02-26 11:13:02.731379,2026-02-26 11:13:03.021394,0 days 00:00:00.290015,0.004593721081210261,3,sigmoid,,,linear,6026.0,0.0005951068981511618,PRUNED
209,1.4351824290314459,2026-02-26 11:13:03.047214,2026-02-26 11:13:04.174618,0 days 00:00:01.127404,0.011076395834594835,3,sigmoid,,0.31768449507475144,rbf,,,PRUNED
210,1.2229631696873584,2026-02-26 11:13:04.207355,2026-02-26 11:13:04.495412,0 days 00:00:00.288057,0.0026291997997765957,5,sigmoid,,,linear,5126.0,0.00046340743036635306,PRUNED
211,1.2163846761535018,2026-02-26 11:13:04.522830,2026-02-26 11:13:04.790145,0 days 00:00:00.267315,0.0035223783000722843,3,sigmoid,,,linear,7086.0,0.0008392846014352634,PRUNED
212,1.1487734569206718,2026-02-26 11:13:04.823224,2026-02-26 11:13:05.139506,0 days 00:00:00.316282,0.0024758476064273304,3,sigmoid,,,linear,2408.0,0.000509814564131388,COMPLETE
213,1.2125602074022532,2026-02-26 11:13:05.181579,2026-02-26 11:13:05.439234,0 days 00:00:00.257655,0.002962378610552681,3,sigmoid,,,linear,2824.0,0.00036886503526292877,PRUNED
214,1.1492122772033238,2026-02-26 11:13:05.464986,2026-02-26 11:13:05.808783,0 days 00:00:00.343797,0.002289233167653053,3,sigmoid,,,linear,2318.0,0.0006668081040740162,COMPLETE
215,1.150798523525658,2026-02-26 11:13:05.838757,2026-02-26 11:13:06.176330,0 days 00:00:00.337573,0.0018969495461219322,3,sigmoid,,,linear,2021.0,0.00046444769484798893,COMPLETE
216,1.213774941426339,2026-02-26 11:13:06.204361,2026-02-26 11:13:06.447674,0 days 00:00:00.243313,0.0031464391933944697,3,sigmoid,,,linear,3548.0,0.0005802004856976985,PRUNED
217,1.2208954709417288,2026-02-26 11:13:06.476240,2026-02-26 11:13:06.729032,0 days 00:00:00.252792,0.004167312515616836,3,sigmoid,,,linear,3289.0,0.0015046064374298054,PRUNED
218,1.3630174244941138,2026-02-26 11:13:06.754886,2026-02-26 11:13:07.172961,0 days 00:00:00.418075,0.0672346007462104,3,sigmoid,,,linear,4115.0,0.0010893724581264503,PRUNED
219,1.2306261465017079,2026-02-26 11:13:07.210749,2026-02-26 11:13:07.477405,0 days 00:00:00.266656,0.005609274442850281,3,sigmoid,,,linear,5652.0,0.0007668344484629953,PRUNED
220,1.242748107268383,2026-02-26 11:13:07.515210,2026-02-26 11:13:07.793600,0 days 00:00:00.278390,0.003382892996924966,3,sigmoid,balanced,,linear,8815.0,0.0002721748058940574,PRUNED
221,1.1463914220004474,2026-02-26 11:13:07.827101,2026-02-26 11:13:08.103155,0 days 00:00:00.276054,0.0015890573861631404,3,sigmoid,,,linear,17258.0,0.0009639365532951201,PRUNED
222,1.2105004278827998,2026-02-26 11:13:08.136351,2026-02-26 11:13:08.388310,0 days 00:00:00.251959,0.0026323877102877357,3,sigmoid,,,linear,2403.0,0.0005513752447044938,PRUNED
223,1.1494752675806728,2026-02-26 11:13:08.420620,2026-02-26 11:13:08.738971,0 days 00:00:00.318351,0.0022029884956284874,3,sigmoid,,,linear,2740.0,0.00039259992412963744,COMPLETE
224,1.2117608810922025,2026-02-26 11:13:08.768881,2026-02-26 11:13:09.021062,0 days 00:00:00.252181,0.002836953585591139,3,sigmoid,,,linear,6689.0,0.0006688695148860283,PRUNED
225,1.3159784198807287,2026-02-26 11:13:09.047036,2026-02-26 11:13:09.380658,0 days 00:00:00.333622,0.028569459966603015,3,sigmoid,,,linear,3026.0,0.00047270741728729966,PRUNED
226,1.221103214705815,2026-02-26 11:13:09.405673,2026-02-26 11:13:09.665743,0 days 00:00:00.260070,0.0041974689009397865,3,sigmoid,,,linear,4449.0,0.0012569016298260452,PRUNED
227,1.2153016720929048,2026-02-26 11:13:09.692430,2026-02-26 11:13:09.949000,0 days 00:00:00.256570,0.003367772005719844,3,sigmoid,,,linear,6392.0,0.0003306985597040461,PRUNED
228,1.150567427504828,2026-02-26 11:13:09.982032,2026-02-26 11:13:10.315384,0 days 00:00:00.333352,0.0019404620993241123,3,sigmoid,,,linear,2193.0,0.0008186057211549078,COMPLETE
229,1.1487588117391234,2026-02-26 11:13:10.345968,2026-02-26 11:13:10.673529,0 days 00:00:00.327561,0.0024831644780052733,3,sigmoid,,,linear,4822.0,0.0005886233310776604,COMPLETE
230,1.2256330819808157,2026-02-26 11:13:10.711407,2026-02-26 11:13:10.961814,0 days 00:00:00.250407,0.00485661600215287,3,sigmoid,,,linear,3918.0,0.00041958224068855556,PRUNED
231,1.3678843288109142,2026-02-26 11:13:10.985896,2026-02-26 11:13:11.308346,0 days 00:00:00.322450,0.003095518689286629,3,isotonic,,,linear,3437.0,0.0006761128575174199,COMPLETE
232,1.1488545242627617,2026-02-26 11:13:11.336520,2026-02-26 11:13:11.652582,0 days 00:00:00.316062,0.0024362779799216626,3,sigmoid,,,linear,7296.0,0.0011952882250556023,COMPLETE
233,1.2106158967156733,2026-02-26 11:13:11.689087,2026-02-26 11:13:12.039165,0 days 00:00:00.350078,0.002651694359352556,3,sigmoid,,,linear,6838.0,0.0015716096378842253,PRUNED
234,1.4476956201703481,2026-02-26 11:13:12.070821,2026-02-26 11:13:13.971171,0 days 00:00:01.900350,91.37387946057683,3,sigmoid,,,linear,7349.0,0.0009418370859488062,PRUNED
235,1.1502891900656118,2026-02-26 11:13:14.007427,2026-02-26 11:13:14.341587,0 days 00:00:00.334160,0.0019971563087360466,3,sigmoid,,,linear,2002.0,0.00129269594003724,COMPLETE
236,1.2182067697323056,2026-02-26 11:13:14.372934,2026-02-26 11:13:14.631896,0 days 00:00:00.258962,0.003781914954363683,3,sigmoid,,,linear,7847.0,0.000514147336639081,PRUNED
237,1.2120577627532665,2026-02-26 11:13:14.659317,2026-02-26 11:13:14.907010,0 days 00:00:00.247693,0.0028840524995336837,3,sigmoid,,,linear,6267.0,0.0007847477866817776,PRUNED
238,1.1492008704223173,2026-02-26 11:13:14.933323,2026-02-26 11:13:15.313226,0 days 00:00:00.379903,0.0022930544061562264,3,sigmoid,,,linear,4220.0,0.0010940920681466071,COMPLETE
239,1.430760418544823,2026-02-26 11:13:15.342355,2026-02-26 11:13:16.324509,0 days 00:00:00.982154,0.5172037490245138,3,sigmoid,,,linear,7668.0,0.001856947044699356,PRUNED
240,1.352229395134955,2026-02-26 11:13:16.350479,2026-02-26 11:13:17.330567,0 days 00:00:00.980088,0.010934981407974238,3,sigmoid,,1.0906754571387709e-05,rbf,,,PRUNED
241,1.2180685835410745,2026-02-26 11:13:17.361605,2026-02-26 11:13:17.602784,0 days 00:00:00.241179,0.0037621445341717305,3,sigmoid,,,linear,7061.0,0.0004539994415242382,PRUNED
242,1.2108837400433587,2026-02-26 11:13:17.628513,2026-02-26 11:13:17.870141,0 days 00:00:00.241628,0.002695808831167921,3,sigmoid,,,linear,15767.0,0.000896674439024197,PRUNED
243,1.2130696797578182,2026-02-26 11:13:17.896816,2026-02-26 11:13:18.134511,0 days 00:00:00.237695,0.0030404408459190303,3,sigmoid,,,linear,15036.0,0.0006720917254494982,PRUNED
244,1.150864281225824,2026-02-26 11:13:18.160981,2026-02-26 11:13:18.478586,0 days 00:00:00.317605,0.0018850699190052222,3,sigmoid,,,linear,16493.0,0.0009499631518398354,COMPLETE
245,1.1490788929887503,2026-02-26 11:13:18.514504,2026-02-26 11:13:18.838954,0 days 00:00:00.324450,0.0023387822285462793,3,sigmoid,,,linear,2577.0,0.0005598718548185806,COMPLETE
246,1.2158589142076022,2026-02-26 11:13:18.876045,2026-02-26 11:13:19.127361,0 days 00:00:00.251316,0.003447577981125872,3,sigmoid,,,linear,14284.0,1.295749042034941e-05,PRUNED
247,1.2179387488374938,2026-02-26 11:13:19.152336,2026-02-26 11:13:19.432500,0 days 00:00:00.280164,0.0015785068522581934,5,sigmoid,,,linear,5913.0,0.0013237459638501788,PRUNED
248,1.209700314218594,2026-02-26 11:13:19.458187,2026-02-26 11:13:19.692855,0 days 00:00:00.234668,0.0024935491097200575,3,sigmoid,,,linear,12560.0,0.0007928876971930629,PRUNED
249,1.2217529385780086,2026-02-26 11:13:19.719220,2026-02-26 11:13:19.964389,0 days 00:00:00.245169,0.004291860762401772,3,sigmoid,,,linear,6581.0,0.0006194602225450626,PRUNED
250,1.2141961568464414,2026-02-26 11:13:19.990855,2026-02-26 11:13:20.258130,0 days 00:00:00.267275,0.003208884076189551,3,sigmoid,,,linear,5169.0,0.0003778440751047203,PRUNED
