fold,n_valid,best_iteration,accuracy,precision,recall,f1,roc_auc,pr_auc,logloss
0,9474,60,0.9535571036521004,0.3156498673740053,0.3953488372093023,0.35103244837758113,0.8714568575332851,0.33944470070757005,0.1311744414941641
1,9467,-1,0.9761276011408049,0.0,0.0,0.0,0.7837472575565032,0.08034323199039989,0.3133368396634363
2,9459,-1,0.9723015117877154,0.0,0.0,0.0,0.7739602691551428,0.1447230940947498,0.30321350480288994
3,9475,-1,0.9742480211081794,0.0,0.0,0.0,0.7203491531564169,0.10547701346245945,0.29959064456571527
4,9366,-1,0.9739483237241084,0.0,0.0,0.0,0.7133598380424194,0.14156890414582954,0.30486281632649187
