fold,n_valid,best_iteration,accuracy,precision_macro,recall_macro,f1_macro,logloss
0,417,7,0.4316546762589928,0.34462148962148964,0.3232207617941724,0.3181637127316083,1.215675545424236
1,418,-1,0.5980861244019139,0.5672186932849365,0.5679588393503101,0.5674831689514063,1.4221022819181317
2,418,-1,0.5741626794258373,0.4795298866673106,0.46769547627706,0.45561810900769717,1.4337466325085577
3,418,-1,0.5765550239234449,0.4979165221804035,0.4184438233057973,0.4376895679523445,1.4474249573221591
4,410,-1,0.551219512195122,0.532081968006717,0.6093300575563625,0.49866402551434974,1.4542086603010589
