fold,n_valid,accuracy,precision_macro,recall_macro,f1_macro,logloss
0,417,0.4148681055155875,0.304419814024113,0.30673083614740543,0.29637909129811857,1.1913284622194313
1,418,0.6148325358851675,0.5580599352338483,0.5722762065709031,0.561154410734809,0.9368152044501078
2,418,0.5526315789473685,0.4046762485481998,0.4065176139442686,0.39526143790849677,1.0646063745503271
3,418,0.5861244019138756,0.471420916555038,0.42243749362912064,0.43485637676542427,1.0753168645886253
4,410,0.6121951219512195,0.5942372524230932,0.6591274739774962,0.5705928622900927,0.9680345007703545
