number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
10,0.28542528949265833,2026-02-26 10:43:42.934606,2026-02-26 10:44:18.507521,0 days 00:00:35.572915,0.8727055573922242,0.025717765705988056,0.10935846007206476,10,10,5,1418,0.0011082662189295662,0.002442728047335309,12.283567770845156,0.6058694368028292,COMPLETE
11,0.3017597339211685,2026-02-26 10:44:18.552025,2026-02-26 10:44:53.807717,0 days 00:00:35.255692,0.8677710604717518,0.022965807548542275,0.10102030747918664,10,10,5,1448,0.0010762082896295078,0.0010626301757801235,13.461619906650913,0.6044023461243514,COMPLETE
12,0.28252233125870213,2026-02-26 10:44:53.835463,2026-02-26 10:45:11.518552,0 days 00:00:17.683089,0.8271866813280468,0.04397598555773198,0.1791236125783941,10,10,6,1467,0.0053555343956804,0.001032356005617281,12.056247752035626,0.6012835728128687,COMPLETE
13,0.4440862483463599,2026-02-26 10:45:11.567387,2026-02-26 10:45:49.389783,0 days 00:00:37.822396,0.990569964941715,0.36505296387966435,0.11070304465236816,3,10,6,1365,0.006472626908959856,0.001200695200407433,26.37992804227719,0.9861351784261821,COMPLETE
14,0.2924301203047126,2026-02-26 10:45:49.417059,2026-02-26 10:46:26.772350,0 days 00:00:37.355291,0.8373586055478868,0.03884792751326031,0.13390203891867758,9,9,2,1499,0.008228997340933535,0.003684147136494577,12.920151782262826,0.7495910822966338,COMPLETE
15,0.322618518460923,2026-02-26 10:46:26.800300,2026-02-26 10:46:49.010247,0 days 00:00:22.209947,0.8998205682078344,0.006208833693110951,0.19620216668267537,8,8,6,1193,0.302409639970028,0.00449803967649685,15.955814199214892,0.6045608408717322,COMPLETE
16,0.3982241096298271,2026-02-26 10:46:49.036768,2026-02-26 10:47:34.842314,0 days 00:00:45.805546,0.7829191477493624,0.7061166766166465,0.08345124322551382,4,10,8,1623,0.003779551123964298,0.004601808415015351,21.536347333662416,0.7307694773762466,COMPLETE
17,0.173320953325129,2026-02-26 10:47:34.869998,2026-02-26 10:48:39.740409,0 days 00:01:04.870411,0.40735355067611023,0.004471097878739296,0.1481873568025126,9,8,5,1152,9.228025470857187,0.0021927772854842,77.05789829321506,0.7093607961740002,PRUNED
18,0.3306735316006426,2026-02-26 10:48:39.765253,2026-02-26 10:49:36.028051,0 days 00:00:56.262798,0.7635307961687846,0.1045378628027831,0.08750902744768387,7,7,7,1292,0.0181799157056173,0.01096217979111254,15.338485015735952,0.632383167447272,COMPLETE
19,0.42042733955071654,2026-02-26 10:49:36.064136,2026-02-26 10:50:57.245847,0 days 00:01:21.181711,0.9103702795847813,0.021667324800232663,0.04675255793888606,10,9,3,1618,0.002127584570684558,0.007546005805343813,22.545618704143774,0.7719898235665422,COMPLETE
20,0.16750119459501284,2026-02-26 10:50:57.272029,2026-02-26 10:51:31.179676,0 days 00:00:33.907647,0.998481897088584,2.8307185177542165,0.11569463631777338,8,10,5,969,0.013372501428914562,0.04714963436309331,36.45318334444363,0.6962831044441021,PRUNED
21,0.2863667571579342,2026-02-26 10:51:31.203910,2026-02-26 10:52:08.344809,0 days 00:00:37.140899,0.8200653814084076,0.051356024794405195,0.17043595972029904,10,9,4,1723,0.0032624237165700463,3.55300680006998,12.384475536046725,0.6382406434173492,COMPLETE
22,0.2825784678039255,2026-02-26 10:52:08.373328,2026-02-26 10:52:43.260856,0 days 00:00:34.887528,0.8428082400527196,0.0407295934171467,0.16967072118422677,9,10,4,1690,0.005206595722578578,9.605232552239205,12.320591707405157,0.6407938839219325,COMPLETE
23,0.31512822263905876,2026-02-26 10:52:43.296812,2026-02-26 10:53:09.203421,0 days 00:00:25.906609,0.660689243684231,0.024819894595976673,0.15785757712880755,9,10,2,1558,0.0010586434386867412,0.0020571802176131363,15.364913893468021,0.6022227024435685,COMPLETE
24,0.28459531971684277,2026-02-26 10:53:09.231727,2026-02-26 10:53:45.550940,0 days 00:00:36.319213,0.8702600966931244,0.16093646995820615,0.12463633087296666,9,10,6,1330,0.2741409294197116,8.726317095919438,12.053139465980754,0.6500996621222943,COMPLETE
25,0.3567628413392037,2026-02-26 10:53:45.577434,2026-02-26 10:54:33.348489,0 days 00:00:47.771055,0.9330330870602792,0.19607346155068428,0.12245970464164278,7,8,8,1265,0.5013666866792805,2.530139825014599,18.055554841884828,0.6554290405124678,COMPLETE
26,0.15472974205396894,2026-02-26 10:54:33.374911,2026-02-26 10:55:03.747287,0 days 00:00:30.372376,0.8480043753244176,0.28223810205081923,0.16555301418311277,6,9,6,1718,0.18022974349126536,1.9068375992974727,14.354460873009302,0.7051207915900207,PRUNED
27,0.35345226164386045,2026-02-26 10:55:03.770231,2026-02-26 10:55:46.028431,0 days 00:00:42.258200,0.7771161366410292,0.07959961561332553,0.12499856488523865,9,10,7,1059,0.03741725143791219,9.86249395889305,18.049053811706823,0.6343714885887238,COMPLETE
28,0.4175593828594196,2026-02-26 10:55:46.075086,2026-02-26 10:56:27.359390,0 days 00:00:41.284304,0.7100220474076737,0.6594482479797515,0.16860746767512133,8,9,3,1748,0.651314535535419,9.97280892715561,24.868692578435187,0.7706476334490638,COMPLETE
29,0.1584869796191196,2026-02-26 10:56:27.386347,2026-02-26 10:57:00.349756,0 days 00:00:32.963409,0.9481280967041278,1.4936734379244763,0.18735646462780575,3,9,9,1342,0.10869909188513636,0.6370625355273827,32.154619193497965,0.6678572979434835,PRUNED
