number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight_mode,params_gamma,params_kernel,params_max_iter,params_pos_weight,params_tol,state
124,0.10278260524061085,2026-02-26 13:22:55.832346,2026-02-26 13:23:56.923399,0 days 00:01:01.091053,0.026059905371785368,5,sigmoid,custom,0.06574233570729733,rbf,,10.682009065273531,,COMPLETE
125,0.10271377697558995,2026-02-26 13:23:56.952183,2026-02-26 13:24:56.088589,0 days 00:00:59.136406,0.04229611246346931,5,sigmoid,custom,0.06276897741068171,rbf,,10.59344514522022,,COMPLETE
126,0.08849013588838567,2026-02-26 13:24:56.117043,2026-02-26 13:25:59.214009,0 days 00:01:03.096966,0.0417076500460287,5,sigmoid,custom,0.041543012484729434,rbf,,11.906250700406124,,PRUNED
127,0.10283071711288612,2026-02-26 13:25:59.240431,2026-02-26 13:26:58.564886,0 days 00:00:59.324455,0.024266971452519735,5,sigmoid,custom,0.0604410574984855,rbf,,10.426921794268646,,COMPLETE
128,0.08552942777085301,2026-02-26 13:26:58.594331,2026-02-26 13:27:55.590448,0 days 00:00:56.996117,0.014142924317576931,5,sigmoid,custom,0.049903897347864296,rbf,,10.12748869138579,,PRUNED
129,0.1026373846727194,2026-02-26 13:27:55.615953,2026-02-26 13:28:56.105866,0 days 00:01:00.489913,0.042096001953834686,5,sigmoid,custom,0.05889167402670678,rbf,,10.974367334272925,,COMPLETE
130,0.08945297914663843,2026-02-26 13:28:56.163130,2026-02-26 13:29:54.918561,0 days 00:00:58.755431,0.04512917806459039,5,sigmoid,custom,0.03645597184013988,rbf,,10.741854174119116,,PRUNED
131,0.10253852644098549,2026-02-26 13:29:54.945444,2026-02-26 13:31:17.767310,0 days 00:01:22.821866,0.019654001761647853,5,sigmoid,custom,0.058873183877306036,rbf,,15.750076830753349,,COMPLETE
132,0.10432373668361161,2026-02-26 13:31:17.813744,2026-02-26 13:32:45.647158,0 days 00:01:27.833414,0.0191351999994411,5,sigmoid,custom,0.11293296812507049,rbf,,15.800076633414694,,COMPLETE
133,0.10258568522147134,2026-02-26 13:32:45.676806,2026-02-26 13:34:01.863664,0 days 00:01:16.186858,0.011598008275492077,5,sigmoid,custom,0.057903834904204116,rbf,,13.840905258182739,,COMPLETE
134,0.10257954711752296,2026-02-26 13:34:01.892741,2026-02-26 13:35:11.505587,0 days 00:01:09.612846,0.014896805173964134,5,sigmoid,custom,0.055678467567834865,rbf,,12.540138545384067,,COMPLETE
135,0.09188108214073833,2026-02-26 13:35:11.543416,2026-02-26 13:36:19.625979,0 days 00:01:08.082563,0.010956564031725713,5,sigmoid,custom,0.02300920082280569,rbf,,12.509622445969182,,PRUNED
136,0.09998375193248939,2026-02-26 13:36:19.652650,2026-02-26 13:37:36.919154,0 days 00:01:17.266504,0.015140401547240962,5,sigmoid,custom,0.0023756833977408563,rbf,,14.238720577067012,,PRUNED
137,0.08876957071678904,2026-02-26 13:37:36.946117,2026-02-26 13:38:35.291048,0 days 00:00:58.344931,0.01892575858510694,5,sigmoid,custom,0.03670974936788786,rbf,,10.468894716754725,,PRUNED
138,0.10252565127972824,2026-02-26 13:38:35.316770,2026-02-26 13:39:42.032002,0 days 00:01:06.715232,0.023154035830654215,5,sigmoid,custom,0.05701303330500069,rbf,,11.964449859850088,,COMPLETE
139,0.08474945255316414,2026-02-26 13:39:42.082422,2026-02-26 13:40:46.994162,0 days 00:01:04.911740,0.023971174443354035,5,sigmoid,custom,0.04720178783263155,rbf,,11.779388913518146,,PRUNED
140,0.10391128560076009,2026-02-26 13:40:47.020042,2026-02-26 13:41:46.506179,0 days 00:00:59.486137,0.01351041419540496,5,sigmoid,custom,0.11169332163807841,rbf,,9.799572159949514,,COMPLETE
141,0.11675226449600641,2026-02-26 13:41:46.533481,2026-02-26 13:41:47.360567,0 days 00:00:00.827086,0.009186504765064229,3,sigmoid,custom,,linear,11100.0,15.061383913921425,0.0020104719279271928,PRUNED
142,0.08612767903151065,2026-02-26 13:41:47.385608,2026-02-26 13:42:35.342899,0 days 00:00:47.957291,0.025037275718670943,5,sigmoid,custom,0.057611113950445283,rbf,,8.172077808488927,,PRUNED
143,0.10559059005683982,2026-02-26 13:42:35.369363,2026-02-26 13:43:39.253070,0 days 00:01:03.883707,0.010916923746407629,5,isotonic,custom,0.009811098555567924,rbf,,11.676797266923328,,PRUNED
144,0.10247934963331459,2026-02-26 13:43:39.278906,2026-02-26 13:44:52.259847,0 days 00:01:12.980941,0.017866135823169618,5,sigmoid,custom,0.05718396656435895,rbf,,13.111365239683114,,COMPLETE
145,0.1025518504559487,2026-02-26 13:44:52.307905,2026-02-26 13:46:04.525462,0 days 00:01:12.217557,0.01778594866620127,5,sigmoid,custom,0.04694241640925544,rbf,,13.141401049043214,,COMPLETE
146,0.08698999745053954,2026-02-26 13:46:04.553974,2026-02-26 13:47:14.987056,0 days 00:01:10.433082,0.01638007719344233,5,sigmoid,custom,0.0346861521405185,rbf,,12.956312663687045,,PRUNED
147,0.08541881182905682,2026-02-26 13:47:15.013700,2026-02-26 13:48:42.365745,0 days 00:01:27.352045,0.01972146234923516,5,sigmoid,custom,0.048677664974140784,rbf,,17.620056207950242,,PRUNED
148,0.09672232676903925,2026-02-26 13:48:42.392563,2026-02-26 13:49:35.195880,0 days 00:00:52.803317,0.013777102348959977,5,sigmoid,custom,0.021007706513646855,rbf,,9.400808440136911,,PRUNED
149,0.08467131381384667,2026-02-26 13:49:35.221506,2026-02-26 13:50:49.272431,0 days 00:01:14.050925,0.01740338785536768,5,sigmoid,custom,0.04190539141834648,rbf,,13.625186379839821,,PRUNED
150,0.1053125142445766,2026-02-26 13:50:49.297929,2026-02-26 13:51:51.447588,0 days 00:01:02.149659,0.023560042806502292,5,sigmoid,custom,0.001113061048828704,rbf,,11.243490785795355,,PRUNED
151,0.08771614995772058,2026-02-26 13:51:51.472479,2026-02-26 13:53:16.976633,0 days 00:01:25.504154,0.01159752106648359,5,sigmoid,custom,0.027887804241679696,rbf,,15.83240530610671,,PRUNED
152,0.10257690170498175,2026-02-26 13:53:17.001246,2026-02-26 13:54:30.087468,0 days 00:01:13.086222,0.014991669662114168,5,sigmoid,custom,0.062225858199426554,rbf,,13.085741045521013,,COMPLETE
153,0.10252572542118363,2026-02-26 13:54:30.116927,2026-02-26 13:55:43.506096,0 days 00:01:13.389169,0.01593295750799791,5,sigmoid,custom,0.058544220965476776,rbf,,13.255286476567672,,COMPLETE
154,0.10252328167904898,2026-02-26 13:55:43.533458,2026-02-26 13:56:56.512587,0 days 00:01:12.979129,0.016409557212771257,5,sigmoid,custom,0.05924544405975166,rbf,,13.21217514807282,,COMPLETE
155,0.10252057519626241,2026-02-26 13:56:56.540094,2026-02-26 13:58:09.893398,0 days 00:01:13.353304,0.015566079610690883,5,sigmoid,custom,0.05360343272547919,rbf,,13.357852030058758,,COMPLETE
156,0.10254205438530047,2026-02-26 13:58:09.936417,2026-02-26 13:59:22.882460,0 days 00:01:12.946043,0.015146000675922134,5,sigmoid,custom,0.057970977971725866,rbf,,13.213910882952934,,COMPLETE
157,0.0873463845664569,2026-02-26 13:59:22.916414,2026-02-26 14:00:34.377339,0 days 00:01:11.460925,0.016204773968588104,5,sigmoid,custom,0.033320588655809266,rbf,,13.049339841749566,,PRUNED
158,0.10251981943993205,2026-02-26 14:00:34.401717,2026-02-26 14:01:53.169779,0 days 00:01:18.768062,0.013274021155064004,5,sigmoid,custom,0.053635122354132474,rbf,,14.362871483655944,,COMPLETE
159,0.10257650429353941,2026-02-26 14:01:53.199893,2026-02-26 14:03:10.324514,0 days 00:01:17.124621,0.01176556440957129,5,sigmoid,custom,0.05000137620432245,rbf,,13.934754575852395,,COMPLETE
160,0.10258720340942981,2026-02-26 14:03:10.353467,2026-02-26 14:04:29.123693,0 days 00:01:18.770226,0.012696682411608559,5,sigmoid,custom,0.047164669813632105,rbf,,14.409776341942198,,COMPLETE
161,0.08590507467236619,2026-02-26 14:04:29.160642,2026-02-26 14:05:47.293718,0 days 00:01:18.133076,0.01330489940257149,5,sigmoid,custom,0.035932171157747834,rbf,,14.419284492841062,,PRUNED
162,0.0939536383022024,2026-02-26 14:05:47.319195,2026-02-26 14:07:02.067101,0 days 00:01:14.747906,0.016010418123592995,5,sigmoid,custom,0.016081404877671644,rbf,,13.730751226517492,,PRUNED
163,0.11564326054224461,2026-02-26 14:07:02.096243,2026-02-26 14:07:04.812035,0 days 00:00:02.715792,0.007949293388286201,5,sigmoid,custom,,linear,16616.0,15.637842706839756,4.354738665033056e-06,PRUNED
164,0.10263355651267791,2026-02-26 14:07:04.849067,2026-02-26 14:08:16.526137,0 days 00:01:11.677070,0.012461321130953192,5,sigmoid,custom,0.04810830595730885,rbf,,12.98258135505672,,COMPLETE
165,0.10261955022576805,2026-02-26 14:08:16.559429,2026-02-26 14:09:29.130237,0 days 00:01:12.570808,0.012582668741863447,5,sigmoid,custom,0.0479486392976366,rbf,,13.218627720728282,,COMPLETE
166,0.10253737230107537,2026-02-26 14:09:29.160016,2026-02-26 14:10:45.848250,0 days 00:01:16.688234,0.013468883662049744,5,sigmoid,custom,0.05210334523065753,rbf,,13.994315213462544,,COMPLETE
167,0.09016256981435662,2026-02-26 14:10:45.883228,2026-02-26 14:12:06.015406,0 days 00:01:20.132178,0.01433720398505062,5,sigmoid,custom,0.022727803609487025,rbf,,14.734705566915476,,PRUNED
168,0.08812152797014447,2026-02-26 14:12:06.043939,2026-02-26 14:13:20.449559,0 days 00:01:14.405620,0.01839909251220855,5,sigmoid,custom,0.02969253613362693,rbf,,13.799630873295452,,PRUNED
169,0.10364925001197448,2026-02-26 14:13:20.480894,2026-02-26 14:14:51.403703,0 days 00:01:30.922809,0.01272432331016239,5,sigmoid,custom,0.0877639063991591,rbf,,16.644179549732538,,COMPLETE
170,0.08487009687967237,2026-02-26 14:14:51.436487,2026-02-26 14:15:25.073446,0 days 00:00:33.636959,0.015503500380582532,3,sigmoid,custom,0.04333666108075542,rbf,,12.693930062219152,,PRUNED
171,0.10337487094890221,2026-02-26 14:15:25.099232,2026-02-26 14:16:45.482785,0 days 00:01:20.383553,0.019947503663662547,5,sigmoid,custom,0.09347505533827878,rbf,,14.43486846952603,,COMPLETE
172,0.08495256172410649,2026-02-26 14:16:45.515304,2026-02-26 14:17:54.785768,0 days 00:01:09.270464,0.012620827438780319,5,isotonic,custom,0.05340845080024364,rbf,,12.578034095575264,,PRUNED
173,0.0854754446515827,2026-02-26 14:17:54.814552,2026-02-26 14:19:08.033285,0 days 00:01:13.218733,0.017487781330987773,5,sigmoid,custom,0.038799729395517325,rbf,,13.563753950699885,,PRUNED
174,0.1026847971893566,2026-02-26 14:19:08.060611,2026-02-26 14:20:13.279314,0 days 00:01:05.218703,0.015374039417210099,5,sigmoid,custom,0.05274223339911882,rbf,,11.66280273393001,,COMPLETE
175,0.10259928476859423,2026-02-26 14:20:13.308978,2026-02-26 14:21:23.130661,0 days 00:01:09.821683,0.012547620887112186,5,sigmoid,custom,0.05664316376669971,rbf,,12.39319181256667,,COMPLETE
176,0.10260640097276227,2026-02-26 14:21:23.160799,2026-02-26 14:22:33.652090,0 days 00:01:10.491291,0.0136325962318942,5,sigmoid,custom,0.050279050837339155,rbf,,12.735440202712635,,COMPLETE
177,0.10292309525018947,2026-02-26 14:22:33.680970,2026-02-26 14:23:53.544328,0 days 00:01:19.863358,0.021489235835171747,5,sigmoid,custom,0.08209638620826606,rbf,,14.835345428236302,,COMPLETE
178,0.09071605950660763,2026-02-26 14:23:53.574834,2026-02-26 14:24:59.655449,0 days 00:01:06.080615,0.015648855678801477,5,sigmoid,custom,0.026807217520433593,rbf,,12.11232258311743,,PRUNED
179,0.10258981544965703,2026-02-26 14:24:59.679802,2026-02-26 14:26:16.285142,0 days 00:01:16.605340,0.011026632025822205,5,sigmoid,custom,0.0587297647784024,rbf,,13.743513282866152,,COMPLETE
180,0.10270299179838112,2026-02-26 14:26:16.318813,2026-02-26 14:27:36.345525,0 days 00:01:20.026712,0.010550779652183151,5,sigmoid,custom,0.06537979774336573,rbf,,14.333092677191058,,COMPLETE
181,0.08548309654823402,2026-02-26 14:27:36.384035,2026-02-26 14:29:04.154149,0 days 00:01:27.770114,0.014237806761832743,5,sigmoid,custom,0.03759684523447681,rbf,,16.660800208099012,,PRUNED
182,0.10433799846473757,2026-02-26 14:29:04.179901,2026-02-26 14:30:16.409015,0 days 00:01:12.229114,0.018619827256027625,5,sigmoid,custom,0.12219912393422969,rbf,,12.024351400977816,,COMPLETE
183,0.10294089694164894,2026-02-26 14:30:16.440492,2026-02-26 14:31:31.939957,0 days 00:01:15.499465,0.021208252382195578,5,sigmoid,custom,0.08247577692583206,rbf,,13.746333356110426,,COMPLETE
184,0.102583374387572,2026-02-26 14:31:31.969613,2026-02-26 14:32:43.447213,0 days 00:01:11.477600,0.012001747392482364,5,sigmoid,custom,0.05313190573770197,rbf,,12.931396246187669,,COMPLETE
185,0.10260923640350539,2026-02-26 14:32:43.477199,2026-02-26 14:33:53.433416,0 days 00:01:09.956217,0.011621882642568873,5,sigmoid,custom,0.06227872903395949,rbf,,12.471612896614365,,COMPLETE
186,0.10252566128767382,2026-02-26 14:33:53.464207,2026-02-26 14:35:14.353780,0 days 00:01:20.889573,0.014872429250307228,5,sigmoid,custom,0.059429532224914566,rbf,,14.785021580671664,,COMPLETE
187,0.1036412841932958,2026-02-26 14:35:14.386498,2026-02-26 14:36:37.251323,0 days 00:01:22.864825,0.016891686939844785,5,sigmoid,custom,0.09608768379964366,rbf,,14.919731863314555,,COMPLETE
188,0.08603852295497615,2026-02-26 14:36:37.281998,2026-02-26 14:38:05.448348,0 days 00:01:28.166350,0.010306545780925653,5,sigmoid,custom,0.03315308661673833,rbf,,16.356364571524065,,PRUNED
189,0.10279170292262405,2026-02-26 14:38:05.477105,2026-02-26 14:39:11.255999,0 days 00:01:05.778894,0.014509259687081841,5,sigmoid,custom,0.07220268755117222,rbf,,11.437604427303826,,COMPLETE
190,0.10242028256070472,2026-02-26 14:39:11.318962,2026-02-26 14:40:26.791561,0 days 00:01:15.472599,0.018845277275605688,5,sigmoid,custom,0.05769329359861117,rbf,,13.807632579679137,,COMPLETE
191,0.08569712634289149,2026-02-26 14:40:26.838368,2026-02-26 14:41:46.529748,0 days 00:01:19.691380,0.020627393421273194,5,sigmoid,custom,0.04225487982822324,rbf,,15.408714177914486,,PRUNED
192,0.10272962700807584,2026-02-26 14:41:46.556617,2026-02-26 14:43:03.057298,0 days 00:01:16.500681,0.018388590294523412,5,sigmoid,custom,0.07371296996145471,rbf,,13.862570026559709,,COMPLETE
193,0.10424000140576259,2026-02-26 14:43:03.086634,2026-02-26 14:44:45.293745,0 days 00:01:42.207111,0.015903514403272295,5,sigmoid,custom,0.10550587473512443,rbf,,19.893854311554893,,COMPLETE
194,0.10256151976727616,2026-02-26 14:44:45.323811,2026-02-26 14:45:59.719109,0 days 00:01:14.395298,0.01255944105853791,5,sigmoid,custom,0.05569388926554587,rbf,,13.38962211780007,,COMPLETE
195,0.1025755247048058,2026-02-26 14:45:59.761235,2026-02-26 14:47:14.497697,0 days 00:01:14.736462,0.011540790505004369,5,sigmoid,custom,0.058191943510719255,rbf,,13.447482218233144,,COMPLETE
196,0.08460208699831326,2026-02-26 14:47:14.530727,2026-02-26 14:48:34.970736,0 days 00:01:20.440009,0.014493859954898327,5,sigmoid,custom,0.04015685605580005,rbf,,14.961428496899174,,PRUNED
197,0.10242978560018523,2026-02-26 14:48:34.998473,2026-02-26 14:49:47.597644,0 days 00:01:12.599171,0.02361119600253496,5,sigmoid,custom,0.060131520465916265,rbf,,13.280601848066178,,COMPLETE
198,0.1024267347560005,2026-02-26 14:49:47.678140,2026-02-26 14:51:00.275756,0 days 00:01:12.597616,0.02643392647529251,5,sigmoid,custom,0.05951273609339564,rbf,,13.600252076083713,,COMPLETE
199,0.10263507808557296,2026-02-26 14:51:00.377666,2026-02-26 14:52:11.558627,0 days 00:01:11.180961,0.02601312627362827,5,sigmoid,custom,0.073111858065207,rbf,,12.963794652123001,,COMPLETE
200,0.1130875771163088,2026-02-26 14:52:11.599707,2026-02-26 14:52:12.796919,0 days 00:00:01.197212,0.004440252354684496,5,sigmoid,custom,,linear,4467.0,11.717529218236074,4.130510793289557e-05,PRUNED
201,0.10234078863893352,2026-02-26 14:52:12.822572,2026-02-26 14:53:06.788595,0 days 00:00:53.966023,0.022897663781240727,3,sigmoid,custom,0.09343740780295114,rbf,,25.77001454404118,,COMPLETE
202,0.10381241136831862,2026-02-26 14:53:06.837022,2026-02-26 14:53:45.076856,0 days 00:00:38.239834,0.022617547373072342,3,sigmoid,custom,0.11831357189083462,rbf,,13.44379892928524,,COMPLETE
203,0.11114963552542685,2026-02-26 14:53:45.114449,2026-02-26 14:54:16.260255,0 days 00:00:31.145806,0.028855705058091024,3,isotonic,custom,0.08448953095426329,rbf,,11.11151560148648,,COMPLETE
204,0.08478914847312824,2026-02-26 14:54:16.290757,2026-02-26 14:55:14.236674,0 days 00:00:57.945917,0.01905230502166043,3,sigmoid,custom,0.05871226332164794,rbf,,32.63961476818802,,PRUNED
205,0.08560477283622968,2026-02-26 14:55:14.263930,2026-02-26 14:57:05.395283,0 days 00:01:51.131353,0.021418849574126597,5,sigmoid,custom,0.06563354157555916,rbf,,28.576776751367394,,PRUNED
206,0.10277028584999934,2026-02-26 14:57:05.421651,2026-02-26 14:57:41.472630,0 days 00:00:36.050979,0.017786998610459254,3,sigmoid,custom,0.0902700052650472,rbf,,13.143432557446744,,COMPLETE
207,0.08787969729425475,2026-02-26 14:57:41.503727,2026-02-26 14:58:18.119031,0 days 00:00:36.615304,0.025487403168327396,3,sigmoid,custom,0.033762109388140955,rbf,,14.341581685295353,,PRUNED
208,0.08769910280527973,2026-02-26 14:58:18.145298,2026-02-26 15:00:05.963695,0 days 00:01:47.818397,0.016777407273404814,5,sigmoid,custom,0.0504535151377287,rbf,,24.78137279045637,,PRUNED
209,0.08590217365451525,2026-02-26 15:00:05.993133,2026-02-26 15:01:13.232872,0 days 00:01:07.239739,0.015168636960929783,5,sigmoid,custom,0.04089865162388551,rbf,,12.216433665987338,,PRUNED
210,0.10269484839762866,2026-02-26 15:01:13.299045,2026-02-26 15:02:35.440910,0 days 00:01:22.141865,0.021677209671548545,5,sigmoid,custom,0.07127527719440657,rbf,,15.530887861252172,,COMPLETE
211,0.08461726120689089,2026-02-26 15:02:35.474391,2026-02-26 15:04:42.173866,0 days 00:02:06.699475,0.027425016463126006,5,sigmoid,custom,0.05387486444916218,rbf,,54.30628118256405,,PRUNED
212,0.10505500102593841,2026-02-26 15:04:42.199698,2026-02-26 15:05:52.972634,0 days 00:01:10.772936,2.7281863829867574,5,sigmoid,custom,0.000159024912481373,rbf,,13.133254147337984,,PRUNED
213,0.10313297490703881,2026-02-26 15:05:52.999090,2026-02-26 15:06:31.639249,0 days 00:00:38.640159,0.018203769852557162,3,sigmoid,custom,0.09436373675253601,rbf,,14.156828561150014,,COMPLETE
214,0.08599545278445589,2026-02-26 15:06:31.669228,2026-02-26 15:09:19.817835,0 days 00:02:48.148607,0.012587166653939857,5,sigmoid,custom,0.05578070645700329,rbf,,98.54946758203985,,PRUNED
215,0.10258550360190541,2026-02-26 15:09:19.867115,2026-02-26 15:10:34.727441,0 days 00:01:14.860326,0.015021170481960743,5,sigmoid,custom,0.06364766949281511,rbf,,13.531061017490073,,COMPLETE
216,0.10276642855277915,2026-02-26 15:10:34.760758,2026-02-26 15:11:45.240069,0 days 00:01:10.479311,0.01554073520773416,5,sigmoid,custom,0.0737122282433347,rbf,,12.370790103911027,,COMPLETE
217,0.08455899512220977,2026-02-26 15:11:45.377779,2026-02-26 15:12:58.156335,0 days 00:01:12.778556,0.022046649137296946,5,sigmoid,custom,0.0439490795946822,rbf,,13.308794906800982,,PRUNED
218,0.10278624847102777,2026-02-26 15:12:58.182963,2026-02-26 15:14:30.035359,0 days 00:01:31.852396,0.013902708417792353,5,sigmoid,custom,0.06190872553361356,rbf,,17.467438078934574,,COMPLETE
219,0.08719529872369826,2026-02-26 15:14:30.160372,2026-02-26 15:15:49.459992,0 days 00:01:19.299620,0.018069455478256013,5,sigmoid,custom,0.03233386220092747,rbf,,14.863750183470154,,PRUNED
220,0.08386390393506825,2026-02-26 15:15:49.496848,2026-02-26 15:17:00.514775,0 days 00:01:11.017927,0.01374095595030358,5,sigmoid,custom,0.04803783217798716,rbf,,12.832755317408607,,PRUNED
221,0.10274460774354169,2026-02-26 15:17:00.543943,2026-02-26 15:18:17.219096,0 days 00:01:16.675153,0.016884219871286636,5,sigmoid,custom,0.07354292196798742,rbf,,13.703952661122553,,COMPLETE
222,0.1038470508888207,2026-02-26 15:18:17.260214,2026-02-26 15:19:26.933797,0 days 00:01:09.673583,0.011461579610995644,5,sigmoid,custom,0.10936306122195463,rbf,,11.838179781903023,,COMPLETE
223,0.08509464871548751,2026-02-26 15:19:27.021352,2026-02-26 15:20:43.074516,0 days 00:01:16.053164,0.01983269175089387,5,sigmoid,custom,0.040589549066884195,rbf,,14.108916772674311,,PRUNED
224,0.10257273962016515,2026-02-26 15:20:43.101768,2026-02-26 15:21:58.127266,0 days 00:01:15.025498,0.011793366878515985,5,sigmoid,custom,0.05828073443430695,rbf,,13.42593234439809,,COMPLETE
225,0.10257783529074038,2026-02-26 15:21:58.159759,2026-02-26 15:23:08.319768,0 days 00:01:10.160009,0.014925613969538119,5,sigmoid,custom,0.05835947535925813,rbf,,12.513410434366655,,COMPLETE
226,0.08325473181948183,2026-02-26 15:23:08.351599,2026-02-26 15:24:18.622946,0 days 00:01:10.271347,0.01030534502721959,5,sigmoid,custom,0.052226626300662264,rbf,,12.633507384488516,,PRUNED
227,0.10296293616378112,2026-02-26 15:24:18.652061,2026-02-26 15:25:24.039123,0 days 00:01:05.387062,0.014181204395402823,5,sigmoid,custom,0.0805076977897539,rbf,,11.338211592212867,,COMPLETE
228,0.10261555806815348,2026-02-26 15:25:24.070084,2026-02-26 15:26:33.054372,0 days 00:01:08.984288,0.012282084551598304,5,sigmoid,custom,0.057250192677515674,rbf,,12.107703178239216,,COMPLETE
229,0.08682134758410207,2026-02-26 15:26:33.083637,2026-02-26 15:28:32.741502,0 days 00:01:59.657865,0.023270200883780148,5,sigmoid,custom,0.04038755345676203,rbf,,37.63639839029178,,PRUNED
230,0.10350487645394288,2026-02-26 15:28:32.786795,2026-02-26 15:29:59.317043,0 days 00:01:26.530248,0.017336555214243925,5,sigmoid,custom,0.09306673424243073,rbf,,15.977062432260057,,COMPLETE
231,0.08362320468528271,2026-02-26 15:29:59.354423,2026-02-26 15:31:11.259214,0 days 00:01:11.904791,0.012361377981232165,5,sigmoid,custom,0.04865084990544309,rbf,,13.067454410882165,,PRUNED
232,0.10262787708078805,2026-02-26 15:31:11.378304,2026-02-26 15:32:32.158326,0 days 00:01:20.780022,0.019794591355462715,5,sigmoid,custom,0.06891380731672012,rbf,,15.054329795733697,,COMPLETE
233,0.11546658396741331,2026-02-26 15:32:32.188144,2026-02-26 15:32:34.372994,0 days 00:00:02.184850,0.007874459104268173,5,sigmoid,custom,,linear,9418.0,14.174712561775177,1.2671107337840621e-05,PRUNED
234,0.09969617333879309,2026-02-26 15:32:34.400059,2026-02-26 15:33:47.278218,0 days 00:01:12.878159,0.014659505442332493,5,sigmoid,custom,0.0045353321428286105,rbf,,13.428412533477161,,PRUNED
235,0.10259842049102619,2026-02-26 15:33:47.304495,2026-02-26 15:34:57.479112,0 days 00:01:10.174617,0.015349163711646742,5,sigmoid,custom,0.0636196746372845,rbf,,12.566699271084376,,COMPLETE
236,0.10251759969705825,2026-02-26 15:34:57.521976,2026-02-26 15:36:11.640910,0 days 00:01:14.118934,0.015993087587626655,5,sigmoid,custom,0.05985690626130207,rbf,,13.442839353187278,,COMPLETE
237,0.08469607284908026,2026-02-26 15:36:11.673615,2026-02-26 15:36:53.863250,0 days 00:00:42.189635,0.5673967990588745,5,sigmoid,custom,0.056304982539232606,rbf,,13.971340126229762,,PRUNED
238,0.08413491916652993,2026-02-26 15:36:53.888532,2026-02-26 15:38:11.914931,0 days 00:01:18.026399,0.018462399767441247,5,sigmoid,custom,0.044620192954028824,rbf,,14.721119217292308,,PRUNED
239,0.10303343069008408,2026-02-26 15:38:11.950467,2026-02-26 15:39:21.535938,0 days 00:01:09.585471,0.012244937088522489,5,sigmoid,custom,0.08445610489887254,rbf,,12.20735546157869,,COMPLETE
240,0.08779995831667224,2026-02-26 15:39:21.564754,2026-02-26 15:40:30.299356,0 days 00:01:08.734602,0.027401889523323578,5,sigmoid,custom,0.034531559956397215,rbf,,12.895925338380831,,PRUNED
241,0.08583636043249536,2026-02-26 15:40:30.326393,2026-02-26 15:41:35.792931,0 days 00:01:05.466538,0.022815580134882295,5,isotonic,custom,0.051377439229499354,rbf,,11.668182243153392,,PRUNED
242,0.10266022709481279,2026-02-26 15:41:35.824045,2026-02-26 15:42:50.878924,0 days 00:01:15.054879,0.01656944935397257,5,sigmoid,custom,0.06977339237565583,rbf,,13.321201763529066,,COMPLETE
243,0.08911216023151668,2026-02-26 15:42:50.922520,2026-02-26 15:43:28.352754,0 days 00:00:37.430234,0.013416946429013315,3,sigmoid,custom,0.02785551397202017,rbf,,14.314167135493205,,PRUNED
244,0.10257497610028403,2026-02-26 15:43:28.383174,2026-02-26 15:44:42.959035,0 days 00:01:14.575861,0.014533988051085606,5,sigmoid,custom,0.06212990665295097,rbf,,13.54113229978331,,COMPLETE
245,0.10250984302705916,2026-02-26 15:44:42.993189,2026-02-26 15:45:58.116030,0 days 00:01:15.122841,0.015910067093537334,5,sigmoid,custom,0.06025290860265426,rbf,,13.585995058699131,,COMPLETE
246,0.10297025152285677,2026-02-26 15:45:58.160644,2026-02-26 15:47:20.293634,0 days 00:01:22.132990,0.018537430591300808,5,sigmoid,custom,0.08100889067222099,rbf,,15.16089681952576,,COMPLETE
247,0.10256703788148402,2026-02-26 15:47:20.323783,2026-02-26 15:48:36.381969,0 days 00:01:16.058186,0.015298440307082137,5,sigmoid,custom,0.06361661526267409,rbf,,13.73760840129437,,COMPLETE
248,0.10251376659882305,2026-02-26 15:48:36.411303,2026-02-26 15:49:51.622965,0 days 00:01:15.211662,0.020944133458010498,5,sigmoid,custom,0.06577958024451229,rbf,,13.83330688550416,,COMPLETE
249,0.10383542233495009,2026-02-26 15:49:51.654442,2026-02-26 15:51:10.936270,0 days 00:01:19.281828,0.022703252237027415,5,sigmoid,custom,0.10729897538573635,rbf,,13.98323714136121,,COMPLETE
250,0.10276187873208031,2026-02-26 15:51:10.966106,2026-02-26 15:52:33.683279,0 days 00:01:22.717173,0.020542999121323992,5,sigmoid,custom,0.07383334387016621,rbf,,15.679025226498595,,COMPLETE
251,0.08693752118929339,2026-02-26 15:52:33.711748,2026-02-26 15:53:45.326702,0 days 00:01:11.614954,0.02964444135326987,5,sigmoid,custom,0.04247167320438064,rbf,,13.73189189161111,,PRUNED
252,0.10319697670341332,2026-02-26 15:53:45.353267,2026-02-26 15:55:07.232467,0 days 00:01:21.879200,0.01723976632232635,5,sigmoid,custom,0.08551621893146895,rbf,,14.884399355646796,,COMPLETE
253,0.1051698781455043,2026-02-26 15:55:07.264140,2026-02-26 15:56:28.191723,0 days 00:01:20.927583,0.02619623934861658,5,sigmoid,custom,0.13876598302958804,rbf,,13.512791867841464,,COMPLETE
254,0.10256924446823001,2026-02-26 15:56:28.221885,2026-02-26 15:57:47.055620,0 days 00:01:18.833735,0.017241422212209537,5,sigmoid,custom,0.06539920707767354,rbf,,14.489613916695705,,COMPLETE
