number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight_mode,params_gamma,params_kernel,params_max_iter,params_pos_weight,params_tol,state
30,0.10701331849692661,2026-02-26 10:47:35.653767,2026-02-26 10:48:07.100388,0 days 00:00:31.446621,29.264337561605398,5,sigmoid,balanced,0.05842867296505429,rbf,,,,COMPLETE
31,0.10675724384318439,2026-02-26 10:48:07.137056,2026-02-26 10:48:38.014562,0 days 00:00:30.877506,41.27812977330814,5,sigmoid,balanced,0.04033271090953131,rbf,,,,COMPLETE
32,0.10665651935711515,2026-02-26 10:48:38.075168,2026-02-26 10:49:09.206338,0 days 00:00:31.131170,45.21288185620837,5,sigmoid,balanced,0.034210911347614975,rbf,,,,COMPLETE
33,0.10674431277661,2026-02-26 10:49:09.266941,2026-02-26 10:49:41.337076,0 days 00:00:32.070135,50.17713621336573,5,sigmoid,balanced,0.023129879350141214,rbf,,,,COMPLETE
34,0.10685018670561527,2026-02-26 10:49:41.365759,2026-02-26 10:50:13.686648,0 days 00:00:32.320889,50.867535142487775,5,sigmoid,balanced,0.020535468579315996,rbf,,,,COMPLETE
35,0.10766983819845936,2026-02-26 10:50:13.713862,2026-02-26 10:50:48.041596,0 days 00:00:34.327734,50.54403931365894,5,sigmoid,balanced,0.011884115282463263,rbf,,,,COMPLETE
36,0.10744196368249144,2026-02-26 10:50:48.076002,2026-02-26 10:51:21.157662,0 days 00:00:33.081660,7.855860162749438,5,sigmoid,balanced,0.020778558504482635,rbf,,,,COMPLETE
37,0.1126399129068782,2026-02-26 10:51:21.189871,2026-02-26 10:51:53.027894,0 days 00:00:31.838023,42.97669744489191,3,isotonic,balanced,0.0009503533342390386,rbf,,,,PRUNED
38,0.11993674854660681,2026-02-26 10:51:53.075273,2026-02-26 10:52:28.703065,0 days 00:00:35.627792,12.475173689073277,5,isotonic,balanced,0.011809346629041196,rbf,,,,COMPLETE
39,0.10717148720451626,2026-02-26 10:52:28.736576,2026-02-26 10:53:08.767776,0 days 00:00:40.031200,41.96361815096058,5,sigmoid,balanced,0.10883076276957179,rbf,,,,COMPLETE
40,0.11705093483837148,2026-02-26 10:53:08.795400,2026-02-26 10:53:55.867301,0 days 00:00:47.071901,8.249636822927823,3,isotonic,balanced,0.0005297523653272855,rbf,,,,PRUNED
41,0.10704560774512392,2026-02-26 10:53:55.909360,2026-02-26 10:54:38.795498,0 days 00:00:42.886138,3.7159124192078026,5,sigmoid,balanced,0.01878051994358399,rbf,,,,COMPLETE
42,0.1070897054394186,2026-02-26 10:54:38.832478,2026-02-26 10:55:22.739715,0 days 00:00:43.907237,56.77318250807969,5,sigmoid,balanced,0.12373096048743278,rbf,,,,COMPLETE
43,0.10143038444121372,2026-02-26 10:55:22.771083,2026-02-26 10:55:39.372999,0 days 00:00:16.601916,29.995433152904575,3,isotonic,balanced,0.008139115128010202,rbf,,,,PRUNED
44,0.10672697167940329,2026-02-26 10:55:39.395948,2026-02-26 10:56:09.832657,0 days 00:00:30.436709,89.67591216318486,5,sigmoid,balanced,0.03783620945641945,rbf,,,,COMPLETE
45,0.10674172469799426,2026-02-26 10:56:09.866498,2026-02-26 10:56:40.442712,0 days 00:00:30.576214,62.77317820787261,5,sigmoid,balanced,0.03863087053261567,rbf,,,,COMPLETE
46,0.10678012475929663,2026-02-26 10:56:40.475794,2026-02-26 10:57:11.265017,0 days 00:00:30.789223,95.33072580438787,5,sigmoid,balanced,0.04126067101213696,rbf,,,,COMPLETE
47,0.1071589634668995,2026-02-26 10:57:11.291489,2026-02-26 10:57:47.225257,0 days 00:00:35.933768,11.830097418431336,5,sigmoid,balanced,0.09107690410077708,rbf,,,,COMPLETE
48,0.10830934247024385,2026-02-26 10:57:47.253157,2026-02-26 11:01:09.458486,0 days 00:03:22.205329,36.21251630870279,5,sigmoid,balanced,0.31264902808895867,rbf,,,,COMPLETE
