race_id,cohort,share_BASE_SIGNALS,share_G_pace,share_G_race_phase,share_G_track,share_G_traffic,share_G_tyre,share_G_weather,share_OTHER
2,FP,0.2728494879293176,0.05339610440753674,0.043863832744256495,0.4684603200428287,0.010121652426272458,0.04539469043379237,0.006299401430032661,0.09961451058590182
2,TP,0.35940393153528416,0.027657528338792797,0.004477769313510284,0.43226469571867954,0.016521374044479228,0.043864139654170124,0.007059645134179544,0.1087509162608417
24,TP,0.307860353593704,0.06216978215282241,0.006496708541169055,0.45710100118314295,0.015694263349860543,0.044143465013523904,0.0039490943840450755,0.10258533178167874
53,FN,0.14191309991526477,0.049621196283524696,0.050639599820956976,0.5600194259530115,0.013627515429907443,0.05419654284910267,0.00812160602041955,0.1218610137277359
53,FP,0.30474215263763266,0.01629977327111917,0.015214881140048986,0.4915940681214015,0.009206751081398701,0.04205756564455211,0.006340326726417676,0.11454448137737003
53,TP,0.3473628839550755,0.011127752671476133,0.009472687099459358,0.4615481333233983,0.014750291771665364,0.04279395832295922,0.00586885999495049,0.1070754328609593
73,FN,0.15616948451798632,0.012065991987024897,0.06046341896840526,0.5695303376897847,0.014078830743811478,0.05388616418850466,0.008841809924277827,0.12496396198012936
73,FP,0.3207369621583618,0.013048374749660805,0.013424117329474315,0.4564762679468848,0.022412202972192215,0.04915393106239091,0.006352904822260169,0.11839523895871795
73,TP,0.3423294665493379,0.010059337149184217,0.008304091514268936,0.4644476334077868,0.016990739372109934,0.043864049266005595,0.006009652637426363,0.1079950301038235
75,FN,0.17233715067517386,0.034572018036965274,0.01762958274977539,0.5489551159818846,0.011992286222524783,0.050307115638275834,0.010057173754812737,0.15414955694051205
75,TP,0.34937137475031854,0.006124913828889375,0.007805932499003963,0.4493701383261603,0.019820264500333543,0.04629263086461888,0.007843025558139767,0.11337171967246748
