model,n_rows_df,n_rows_used,pos_rate_used,pr_auc,roc_auc,baseline_threshold,baseline_f1,baseline_precision,baseline_recall,baseline_accuracy,best_threshold,best_f1,best_precision,best_recall,best_accuracy
tcn,97124,97124,0.028489353815740703,0.7425700638250303,0.9735475675145726,0.5,0.5394779949765207,0.3865414710485133,0.892663534513914,0.9565812775421111,0.969,0.7055449330783938,0.7490864799025578,0.6667871340802313,0.9841439808904081
tcn_gru,97124,97124,0.028489353815740703,0.7548001753660025,0.979750303864646,0.5,0.5193474168583978,0.3654157468727005,0.8973617636429346,0.9526790494625428,0.923,0.7031306225260885,0.7001074883554281,0.7061799783158655,0.9830114080968658
